algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_kept_honest,balance_kept_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,0,0.0,0.45807523772120473,1.9726345831155776,nan,0.23520388927310706,0.23513522297143935,,nan,nan,0,0,0,10662,34.916666666666664,102.43,4.986461043357849,4.986617460250854,9.906657068291487,9.906967823455364
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,1,0.0,0.5720657344162464,1.7060232591629028,nan,0.2043563960120082,0.20496301114559173,,nan,nan,0,0,0,10964,31.94736842105263,103.57,5.008912011196739,5.008925909996033,9.885139564172889,9.885166993596778
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,2,0.0,0.6220699836313724,1.4816301369667053,nan,0.18739349246025086,0.18869547590613364,,nan,nan,0,0,0,11058,32.85,104.01,5.0393500328063965,5.039286718368531,9.879128432970367,9.879004311514372
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,3,0.0,0.6512629842758179,1.305591191649437,nan,0.16591188743710517,0.16712139263749123,,nan,nan,0,0,0,11600,36.925925925925924,106.03,5.073651455066822,5.0729955244064335,9.880284237966826,9.879006897293657
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,4,0.0,0.6735184834897519,1.17598289757967,nan,0.14282085139304398,0.14383187770843506,,nan,nan,0,0,0,10916,31.61111111111111,103.47,5.107338163587782,5.106570987701416,9.879799404856607,9.878315355118216
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,5,0.0,0.6906464830040931,1.0816879427433015,nan,0.12288494486361742,0.12374565988779068,,nan,nan,0,0,0,11580,50.666666666666664,106.68,5.140330235163371,5.138472380638123,9.87755000740069,9.873979993386008
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,6,0.0,0.7022999830543994,1.0112710708379746,nan,0.10722508743405341,0.10785724438726901,,nan,nan,0,0,0,10848,30.0,103.08,5.170542107688056,5.168133959770203,9.86958744154208,9.864990742404464
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,7,0.0,0.7106307311356068,0.9572718946635723,nan,0.09539142014458775,0.09595292270183563,,nan,nan,0,0,0,11050,30.90909090909091,103.7,5.198677344755693,5.195738344192505,9.85735703685094,9.851784315952598
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,8,0.0,0.7171082323789597,0.9142375619709492,nan,0.08628993043676018,0.08683029167354107,,nan,nan,0,0,0,11710,39.0,106.57,5.224636007238318,5.221504874229431,9.840753785008532,9.834856204973121
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,9,0.0,0.7229367303848266,0.8790685796737671,nan,0.07911884732544422,0.0796371615678072,,nan,nan,0,0,0,11736,42.541666666666664,107.15,5.248372356096904,5.245654850006104,9.819777998351006,9.814693506491386
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,10,0.0,0.727838481515646,0.849782150387764,nan,0.07347544884309172,0.07388505704700947,,nan,nan,0,0,0,11542,38.75,106.12,5.271267294883728,5.268388166427612,9.797082666658387,9.791731570249393
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,11,0.0,0.7324814806878567,0.824822464287281,nan,0.06858194405212999,0.06902663819491864,,nan,nan,0,0,0,11890,45.708333333333336,107.93,5.2950968742370605,5.28988929271698,9.775980960618021,9.766366553365367
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,12,0.0,0.7362657301127911,0.8035639029741287,nan,0.06460251679643988,0.064861809797585,,nan,nan,0,0,0,12078,52.08695652173913,108.8,5.317191787388014,5.3102863073349,9.751545822756484,9.73888141119138
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,13,0.0,0.740270980745554,0.7848074394464493,nan,0.06115320739336312,0.06144644659012556,,nan,nan,0,0,0,10552,21.7,101.18,5.337469816207886,5.329670743942261,9.723693837566493,9.709485646506058
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,14,0.0,0.7437052308022976,0.7685391269624233,nan,0.05813207918778062,0.05887032017111778,,nan,nan,0,0,0,10898,36.2,103.55,5.352892939249674,5.348310570716858,9.686995652347186,9.67870305532374
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,15,0.0,0.7465572318434716,0.7543797276914119,nan,0.055846475306898354,0.05624088637530804,,nan,nan,0,0,0,10968,29.666666666666668,103.45,5.375841208866665,5.366086964607239,9.663883437828387,9.64634871611977
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,16,0.0,0.7492717313766479,0.7417164494097233,nan,0.05371090919710696,0.054110380820930004,,nan,nan,0,0,0,11810,51.55,107.79,5.3928508996963505,5.383209595680237,9.630046131502905,9.612829597211508
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,17,0.0,0.7521079814434052,0.7300995504856109,nan,0.05167785038240254,0.051723713614046575,,nan,nan,0,0,0,10802,28.88888888888889,102.82,5.410700851016575,5.399729413986206,9.597722323459031,9.578260740014253
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,18,0.0,0.7545732307434082,0.7199389629065991,nan,0.04990334193222225,0.05044704053550959,,nan,nan,0,0,0,11156,34.476190476190474,104.32,5.426884424118769,5.41559709072113,9.562466656925377,9.542577759203358
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,19,0.0,0.7567882311344146,0.7104133643209934,nan,0.04851850582286715,0.04871237900108099,,nan,nan,0,0,0,11270,41.72222222222222,105.19,5.442822376887004,5.430961804389954,9.526825849082847,9.50606573588686
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,20,0.0,0.7587864796817303,0.7020066930353641,nan,0.047056395877152685,0.04758544024080038,,nan,nan,0,0,0,11266,35.40909090909091,104.87,5.457805286754262,5.445837168693543,9.489575946485918,9.468766782489295
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,21,0.0,0.7606577296555043,0.6943955779075622,nan,0.04597353265620768,0.04591686632484197,,nan,nan,0,0,0,10734,30.666666666666668,102.74,5.474220212300619,5.460310583114624,9.45487378004056,9.430849575098048
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,22,0.0,0.762589481472969,0.6867916180193424,nan,0.044719312060624364,0.045090696625411514,,nan,nan,0,0,0,11346,36.04347826086956,105.17,5.490646548893141,5.474333000183106,9.42023338993162,9.392244439104415
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,23,0.0,0.7643714815378189,0.6804119713604451,nan,0.04354111198335886,0.044008077420294285,,nan,nan,0,0,0,10944,32.22222222222222,103.64,5.5068039894104,5.488005785942078,9.385177633260854,9.353140088602345
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,24,0.0,0.7660269810259343,0.6741515143215656,nan,0.0426906586997211,0.04295916859060526,,nan,nan,0,0,0,11032,33.36842105263158,103.98,5.516989557366622,5.501332893371582,9.34006167344641,9.313555513557299
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,25,0.0,0.7674362298846245,0.668761397600174,nan,0.042062558382749554,0.04212725549936294,,nan,nan,0,0,0,10794,34.642857142857146,103.09,5.534699950899396,5.514343934059143,9.307785518830745,9.273552508830628
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,26,0.0,0.7688112309575081,0.6632922476530075,nan,0.04125287678092718,0.04192520175129175,,nan,nan,0,0,0,10426,19.647058823529413,100.92,5.547104639165542,5.527075819969177,9.2666625293525,9.233203577263568
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,27,0.0,0.7702744805812836,0.6584248799085617,nan,0.040716040674597026,0.04092525482177734,,nan,nan,0,0,0,10700,23.782608695652176,101.53,5.561225580132526,5.53952018737793,9.228523109865604,9.192504301464789
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,28,0.0,0.7716722285747528,0.6536759892106057,nan,0.04016340097412467,0.04017277266830206,,nan,nan,0,0,0,11646,38.88461538461539,106.35,5.57609591117272,5.5516854095458985,9.191716713386587,9.15147809135431
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,29,0.0,0.7727657321095467,0.6494175416231155,nan,0.039288944453001025,0.03935540948063135,,nan,nan,0,0,0,10784,28.27777777777778,102.75,5.587721639209324,5.563610706329346,9.149679091319967,9.110198366851494
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,30,0.0,0.7739859803020954,0.6453531078994275,nan,0.03857751213014126,0.03895712684839964,,nan,nan,0,0,0,11106,29.115384615384617,103.49,5.6011580320505,5.5753890419006344,9.110739492553764,9.068824132391063
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,31,0.0,0.7752537290751934,0.6412724055349827,nan,0.03832002508454025,0.03866349309682846,,nan,nan,0,0,0,10838,31.0,103.11,5.6126972927766685,5.586887941360474,9.068848073752873,9.027146005270257
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,32,0.0,0.7760624819993973,0.6378740701079368,nan,0.038009565602988,0.03824082139879465,,nan,nan,0,0,0,11440,42.45,105.91,5.628431582450867,5.598194699287415,9.033844295925041,8.985312961664109
