algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,0,0.0,0.45814598788817723,1.9724788304169973,nan,0.2352038327852885,0.23516964085400105,,nan,nan,0,0,0,30800,9.907069802998256,9.906946172053752,4.986668791089739,4.986606562137604,65.85714285714286,151.695
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,1,0.0,0.5720573180913925,1.7055522553126017,nan,0.20452763204773267,0.20481100119650364,,nan,nan,0,0,0,31168,9.885592236837416,9.88510713384809,5.009141385555267,5.0088955783844,43.625,152.35
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,2,0.0,0.6217829835414886,1.4809918848673502,nan,0.18752112979690233,0.18856265537440778,,nan,nan,0,0,0,31306,9.881166275823732,9.878880479843371,5.040389537811279,5.039223551750183,50.13333333333333,152.77
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,3,0.0,0.6509453183412552,1.3048496214548746,nan,0.1660050875445207,0.1670391395688057,,nan,nan,0,0,0,31382,9.88265137522583,9.878821209332749,5.074867010116577,5.072900171279907,42.2,152.69
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,4,0.0,0.673305316567421,1.175422999461492,nan,0.14276857495307924,0.14377200111746788,,nan,nan,0,0,0,31208,9.882441301803391,9.878127543390486,5.108703885759626,5.106473898887634,49.357142857142854,152.585
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,5,0.0,0.6908356485764185,1.0812354564666748,nan,0.12290062442421913,0.12367926787585021,,nan,nan,0,0,0,30866,9.87643983211543,9.873766014468195,5.139752493964301,5.138361024856567,55.333333333333336,151.84
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,6,0.0,0.7023126488924026,1.0109203284978867,nan,0.10717402465641498,0.10797066297382116,,nan,nan,0,0,0,31172,9.868846737411047,9.86483913172411,5.170154062906901,5.168054533004761,45.93333333333333,152.415
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,7,0.0,0.7105006486177444,0.9570834461847941,nan,0.09531937402983506,0.09603204421699046,,nan,nan,0,0,0,31048,9.857579424366444,9.851617881083024,5.198794629838732,5.195650568008423,36.94444444444444,151.915
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,8,0.0,0.71672698199749,0.9141486895084381,nan,0.08620020153621832,0.08686961952596903,,nan,nan,0,0,0,31914,9.840767116769593,9.834672324966538,5.22464308531388,5.221407248973846,49.608695652173914,153.865
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,9,0.0,0.7228216473261515,0.8790548241138458,nan,0.07907103228072325,0.07965340796858073,,nan,nan,0,0,0,31738,9.823426002980979,9.814477713118274,5.250322103500366,5.245539515018463,54.94444444444444,153.745
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,10,0.0,0.7277783157428106,0.8497311703364054,nan,0.07343718764682611,0.07390467412769794,,nan,nan,0,0,0,32034,9.798267699111284,9.79148391020943,5.27190489518015,5.2682549142837525,60.10526315789474,154.46
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,11,0.0,0.7325083140532176,0.8247275070349376,nan,0.06846785016357898,0.06908811647444964,,nan,nan,0,0,0,31680,9.774674273187404,9.766057298789885,5.294389115439521,5.289721786975861,53.5,153.585
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,12,0.0,0.7364593128363291,0.8034243549903234,nan,0.06447695538401604,0.06506565371528268,,nan,nan,0,0,0,30700,9.749132170681182,9.73855728982575,5.31587570363825,5.310109574794769,39.0,151.355
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,13,0.0,0.7401756465435028,0.7847941762208939,nan,0.061113098971545696,0.061439812425523994,,nan,nan,0,0,0,30976,9.722286172913531,9.709148029272358,5.336697129642262,5.329485421180725,37.0,151.735
