algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,0,0.0,0.4588569886982441,1.97255424618721,nan,0.2351820106804371,0.23519558623433112,,nan,nan,0,0,0,50158,65.0,166.76,9.905826490021425,9.906993123685758,4.9860429763793945,4.986630194981893
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,1,0.0,0.573007985651493,1.7057252520322799,nan,0.20437070451676845,0.20508396541078885,,nan,nan,0,0,0,51210,58.5,168.36,9.886589938525713,9.88523742125897,5.009646932284038,5.008961596488953
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,2,0.0,0.6227379831671714,1.4812082636356354,nan,0.1874699553847313,0.18867390910784404,,nan,nan,0,0,0,51100,68.88888888888889,168.26666666666668,9.880174982643688,9.87909858200013,5.039883878495958,5.039334805806478
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,3,0.0,0.6515194842219353,1.3051158571243286,nan,0.16593183517456056,0.16715195884307227,,nan,nan,0,0,0,51242,53.07142857142857,168.33,9.88022712052647,9.879117744875062,5.073622124535697,5.073052446047465
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,4,0.0,0.6738579827547073,1.175563564300537,nan,0.1427743110060692,0.14374985456466674,,nan,nan,0,0,0,50968,61.44444444444444,168.05,9.881243282651464,9.878473717396378,5.1080845726860895,5.106652852694194
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,5,0.0,0.6910814818739891,1.081407346725464,nan,0.12286459565162659,0.12368861086666584,,nan,nan,0,0,0,50564,57.166666666666664,167.40333333333334,9.87606105205685,9.87409185287424,5.139555374781291,5.138530592918396
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,6,0.0,0.7024359819293022,1.0112013551592827,nan,0.10715889453887939,0.1079164866109689,,nan,nan,0,0,0,50646,55.57142857142857,167.52333333333334,9.87056927142442,9.86520686749331,5.171056474958148,5.168247184753418
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,7,0.0,0.7104244834184646,0.9573414489626885,nan,0.09532410111278296,0.09597577338417371,,nan,nan,0,0,0,51486,61.42857142857143,168.75333333333333,9.858895549805913,9.851979110812806,5.199488742010934,5.195841077168782
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,8,0.0,0.7166984817385673,0.9143029096722602,nan,0.08628552563488484,0.08672470147411028,,nan,nan,0,0,0,51670,64.0,169.03333333333333,9.842429182417032,9.834956805259042,5.225525506337484,5.221558284759522
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,9,0.0,0.7229009810090065,0.8792494323849678,nan,0.079191205650568,0.07954921536147594,,nan,nan,0,0,0,51628,75.16666666666667,169.08666666666667,9.819950112617587,9.814671520473713,5.248464345932007,5.245643099149068
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,10,0.0,0.7277949818968773,0.8499810001254082,nan,0.07350908651947975,0.07378827018042405,,nan,nan,0,0,0,51156,60.90909090909091,168.28666666666666,9.802428371499568,9.79160762944929,5.274143522435969,5.2683214807510375
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,11,0.0,0.7325514802336692,0.8248015311360359,nan,0.06843895509839058,0.06898769882818064,,nan,nan,0,0,0,51594,69.15384615384616,168.98333333333332,9.776601879902843,9.766109687091015,5.2954331911527195,5.289750162760416
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,12,0.0,0.7367394787073135,0.8033780747652054,nan,0.0644955057092011,0.06490323623021443,,nan,nan,0,0,0,50592,46.125,167.41,9.750604406174968,9.738524444956022,5.316678464412689,5.310091665585836
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,13,0.0,0.7404279813170433,0.7845833986997605,nan,0.061144347358495,0.06141899272799492,,nan,nan,0,0,0,50896,53.8,167.86,9.72267321106997,9.70907360840934,5.336909580230713,5.329444570541382
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,14,0.0,0.7437099811434745,0.768540911078453,nan,0.05828550262376666,0.05851974597821633,,nan,nan,0,0,0,50650,55.714285714285715,167.53333333333333,9.690964353867665,9.678086820993355,5.355085986001151,5.347970048586528
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,15,0.0,0.7466029796004295,0.7541814491152763,nan,0.055817004330456256,0.056092834112544857,,nan,nan,0,0,0,50698,47.77777777777778,167.56,9.658858964101027,9.645637802749741,5.373046186235216,5.365691496531169
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,16,0.0,0.7493464827537537,0.741349179148674,nan,0.053735817726701496,0.05398225860049327,,nan,nan,0,0,0,51270,71.6,168.51333333333332,9.63163028787358,9.61195269491513,5.393738031387329,5.382718528111775
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,17,0.0,0.7522054791450501,0.7300557470321656,nan,0.051857451498508456,0.05163760396341483,,nan,nan,0,0,0,50992,53.63636363636363,168.00666666666666,9.597727919628456,9.577206129754137,5.410704005848277,5.3991348791122435
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,18,0.0,0.7547219803929329,0.7197384443879128,nan,0.04968932470306754,0.05026877881338199,,nan,nan,0,0,0,51174,50.857142857142854,168.20666666666668,9.565086121313417,9.541455738619586,5.428371020725796,5.4149603223800655
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,19,0.0,0.7567399796843529,0.7103170755505562,nan,0.0485354870185256,0.04860252658526103,,nan,nan,0,0,0,50870,57.333333333333336,167.84666666666666,9.525208938317498,9.504823947862654,5.441898610856798,5.430252351760864
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,20,0.0,0.7590144819021225,0.7016833728551864,nan,0.04720154782757163,0.04729929859439532,,nan,nan,0,0,0,51138,52.23076923076923,168.19666666666666,9.48937380637888,9.467394763513624,5.457689028519851,5.445048069953918
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,21,0.0,0.7607069826126098,0.6941514506936073,nan,0.04577744372189045,0.046067895057300724,,nan,nan,0,0,0,50626,54.142857142857146,167.49,9.452996137087585,9.429368470153644,5.473133087158203,5.459453047116598
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,22,0.0,0.7626714807748795,0.686640421450138,nan,0.04465799614787102,0.04488619051873684,,nan,nan,0,0,0,51354,60.23076923076923,168.57,9.419441460243089,9.390683058521798,5.490184967334454,5.473422938982646
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,23,0.0,0.7643474811315536,0.6801437970995903,nan,0.04349722497165203,0.04389288605501254,,nan,nan,0,0,0,50496,40.5,167.24,9.379262428636736,9.351473201614791,5.503333210945129,5.487027730941772
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,24,0.0,0.7659564825892449,0.674170289337635,nan,0.04276891872286796,0.042741306995352106,,nan,nan,0,0,0,50612,47.5,167.44,9.345665780181426,9.311761836981303,5.520299792289734,5.5002734041213985
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,25,0.0,0.7674549797177315,0.6687104371190071,nan,0.04211233522742987,0.04222767206529776,,nan,nan,0,0,0,50990,63.333333333333336,168.06666666666666,9.297862256028482,9.271693700718666,5.528799268934462,5.513238628705342
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,26,0.0,0.7688339829444886,0.6630257984995842,nan,0.04103812303394079,0.04152677580714226,,nan,nan,0,0,0,50498,51.666666666666664,167.29333333333332,9.272566678509707,9.231240065839584,5.550638914108276,5.525900444984436
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,27,0.0,0.7703024789690971,0.6582841414213181,nan,0.04057776080444455,0.04096744978179534,,nan,nan,0,0,0,51068,67.88888888888889,168.19,9.237796670286977,9.190455044909452,5.566813945770264,5.538285279273987
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,28,0.0,0.7717624807357788,0.6534564253687859,nan,0.040233795940876005,0.04014559314896663,,nan,nan,0,0,0,50792,48.5,167.69,9.190285053077204,9.149350436337711,5.575227403640747,5.550394681294759
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,29,0.0,0.7727494820952415,0.6494255915284157,nan,0.03936034599319101,0.039387599589924015,,nan,nan,0,0,0,50692,52.375,167.57666666666665,9.162316390485529,9.108017405908827,5.595439255237579,5.562278790473938
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,30,0.0,0.7739929801225662,0.6451245617866516,nan,0.03840246526524425,0.038935157371064025,,nan,nan,0,0,0,51220,55.46153846153846,168.33,9.100280987930818,9.066526242716652,5.594728286449726,5.573976330757141
