algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,0,0.0,0.4576053879857063,1.9727553799152375,nan,0.23519015601277352,0.0,,nan,nan,0,0,0,116,9.907044825426548,0.0,4.986656218767166,0.0,7.25,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,1,0.0,0.571791584610939,1.706227406024933,nan,0.2043223575949669,0.0,,nan,nan,0,0,0,210,9.884786939243616,0.0,5.008733332157135,0.0,8.75,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,2,0.0,0.621759584069252,1.4818604996204376,nan,0.18739236435294152,0.0,,nan,nan,0,0,0,272,9.881499095792291,0.0,5.040559309500235,0.0,10.074074074074074,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,3,0.0,0.6508395842313767,1.30574334692955,nan,0.16593321415781975,0.0,,nan,nan,0,0,0,308,9.878946643122955,0.0,5.072964583124433,0.0,11.0,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,4,0.0,0.6735459830760956,1.176075931787491,nan,0.1428471536040306,0.0,,nan,nan,0,0,0,244,9.882059323050223,0.0,5.1085064227764425,0.0,9.384615384615385,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,5,0.0,0.6905445815324783,1.0818978593349458,nan,0.12288986638188362,0.0,,nan,nan,0,0,0,178,9.876949721691402,0.0,5.14001784324646,0.0,8.9,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,6,0.0,0.7023709818124771,1.0114731166362763,nan,0.1072371896058321,0.0,,nan,nan,0,0,0,182,9.867373404114918,0.0,5.169382203708995,0.0,8.272727272727273,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,7,0.0,0.7107647811174392,0.9574377448558807,nan,0.09540487292408943,0.0,,nan,nan,0,0,0,320,9.854602323377096,0.0,5.197224534791092,0.0,11.03448275862069,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,8,0.0,0.7172373824119568,0.9143957884311676,nan,0.08626839108765125,0.0,,nan,nan,0,0,0,330,9.84100542729742,0.0,5.224769608727817,0.0,11.379310344827585,0.0
balance,scale,fashion_mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,9,0.0,0.7230839821100234,0.8792516340017319,nan,0.07913237206637859,0.0,,nan,nan,0,0,0,254,9.820244115341257,0.0,5.24862148143627,0.0,9.407407407407407,0.0
