algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,0,0.0,0.3791194884479046,2.0957978487014772,nan,0.17500371396541595,0.17517175450921058,,nan,nan,0,0,0,50158,4.983988523483276,4.98387647151947,65.0,166.76,9.901744885828023,9.901522270957557
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,1,0.0,0.5556184864044189,1.890738245844841,nan,0.17934906728565692,0.18030826846758524,,nan,nan,0,0,0,51210,5.000523606936137,4.99987717628479,58.5,168.36,9.868584961765938,9.867309224202005
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,2,0.0,0.6529204827547074,1.6801618760824204,nan,0.18125126957893373,0.18238758345444997,,nan,nan,0,0,0,51100,5.026015440622966,5.025470161437989,68.88888888888889,168.26666666666668,9.852987333835795,9.851918369968402
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,3,0.0,0.7114524820446968,1.4801760250329972,nan,0.1762281972169876,0.1775602221985658,,nan,nan,0,0,0,51242,5.059918335505894,5.058530567487081,53.07142857142857,168.33,9.85354075234555,9.850838252458896
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,4,0.0,0.7520029830932617,1.2997321951389313,nan,0.16717647045850753,0.16876000826557477,,nan,nan,0,0,0,50968,5.099189705318874,5.0965527137120565,61.44444444444444,168.05,9.86403676479302,9.85893568331512
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,5,0.0,0.780062981247902,1.1453046959638595,nan,0.1548784840106964,0.15630274916688602,,nan,nan,0,0,0,50564,5.140655994415283,5.137027044296264,57.166666666666664,167.40333333333334,9.878175979498577,9.871202665599448
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,6,0.0,0.8001544782519341,1.0186152574419975,nan,0.14053513005375862,0.14198287730415662,,nan,nan,0,0,0,50646,5.182469776698521,5.1778145694732665,55.57142857142857,167.52333333333334,9.892355106870154,9.883469196299997
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,7,0.0,0.8143944776058197,0.9175564762949944,nan,0.12619699902832507,0.12759430448214212,,nan,nan,0,0,0,51486,5.221425907952445,5.217503337860108,61.42857142857143,168.75333333333333,9.900491221689695,9.893053527188183
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,8,0.0,0.8247324794530868,0.8378095972537994,nan,0.11324694454669952,0.11458594111104806,,nan,nan,0,0,0,51670,5.261026922861735,5.255323052406311,64.0,169.03333333333333,9.909297132366115,9.89855372656796
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,9,0.0,0.8325989779829979,0.7740875804424285,nan,0.10190002642571926,0.1033278286208709,,nan,nan,0,0,0,51628,5.298491756121318,5.290957339604696,75.16666666666667,169.08666666666667,9.913552095967871,9.899455097408996
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,10,0.0,0.8387419793009758,0.7231782990694046,nan,0.09224098697304725,0.09369250573217869,,nan,nan,0,0,0,51156,5.331686236641624,5.324358700116475,60.90909090909091,168.28666666666666,9.90937622604754,9.895757398341816
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,11,0.0,0.8441739809513092,0.6813721558451653,nan,0.08424149706959724,0.08567613944411277,,nan,nan,0,0,0,51594,5.365350869985727,5.355653196970621,69.15384615384616,168.98333333333332,9.905686184367163,9.88778202340285
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,12,0.0,0.8483884787559509,0.6471194052696227,nan,0.0774731871113181,0.07895055182278156,,nan,nan,0,0,0,50592,5.395455777645111,5.38500917116801,46.125,167.41,9.895079273830056,9.875920558886692
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,13,0.0,0.8518849790096283,0.6184765276312828,nan,0.07178958009928466,0.07332289261122545,,nan,nan,0,0,0,50896,5.421018362045288,5.412616591453553,53.8,167.86,9.875900877282172,9.860594702682471
