algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker,balance_kept_honest,balance_kept_attacker
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,0,0.0,0.380587789952755,2.0956192951202395,nan,0.17510453829169273,0.0,,nan,nan,0,0,0,116,4.983930796384811,0.0,9.901630198765783,0.0,7.25,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,1,0.0,0.5552813873887062,1.8903912811279298,nan,0.17942673817276955,0.0,,nan,nan,0,0,0,210,5.000148316224416,0.0,9.867844321672003,0.0,8.75,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,2,0.0,0.6514013830423355,1.6797330660820007,nan,0.18128123858571052,0.0,,nan,nan,0,0,0,272,5.026160964259395,0.0,9.853272617986521,0.0,10.074074074074074,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,3,0.0,0.7096643826961517,1.479835600376129,nan,0.17623323810100555,0.0,,nan,nan,0,0,0,308,5.059747099876404,0.0,9.853207292961118,0.0,11.0,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,4,0.0,0.7508269811868667,1.2995869557857513,nan,0.16711990615725517,0.0,,nan,nan,0,0,0,244,5.0995902464939995,0.0,9.864811584539996,0.0,9.384615384615385,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,5,0.0,0.7795115796327591,1.145363080739975,nan,0.15466145211458207,0.0,,nan,nan,0,0,0,178,5.140465903282165,0.0,9.877810704392223,0.0,8.9,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,6,0.0,0.799779779791832,1.0189880690574646,nan,0.1403677166700363,0.0,,nan,nan,0,0,0,182,5.182658607309515,0.0,9.892715548809901,0.0,8.272727272727273,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,7,0.0,0.8139817795753479,0.9181240102052689,nan,0.12604595765471457,0.0,,nan,nan,0,0,0,320,5.221882277521594,0.0,9.901356556751967,0.0,11.03448275862069,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,8,0.0,0.8242909796237946,0.8383499571084976,nan,0.11309867277741432,0.0,,nan,nan,0,0,0,330,5.259780966002365,0.0,9.906950336405052,0.0,11.379310344827585,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,9,0.0,0.8323763785362244,0.774684304356575,nan,0.10180484740436077,0.0,,nan,nan,0,0,0,254,5.296359450728805,0.0,9.90956252279004,0.0,9.407407407407407,0.0
