algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,balance_kept_honest,balance_kept_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,balance_threshold_honest,balance_threshold_attacker,n_dp_norm_honest,n_dp_norm_attacker,balance_local_norm_honest,balance_local_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,0.6313603477891995,0.37998732258876167,2.095593563715617,nan,1.0145470585141863,1.014952376484871,1000.0,nan,nan,0,0,0,30800,1.8000000000000003,1.8000000000000005,65.85714285714286,151.695,405.8189697265625,405.9809117126465,0.014731741448414656,0.6313603477891994,1.8000000000000003,1.8000000000000005,1.0,1.0,2318.5798444687107,2320.163013919169,9.901476044941065,9.901447923900088,405.8189697265625,405.9809117126465,4.983853203909738,4.983839049339294,0.26138318398472854,0.31097557633494644,1.0,1.8000000000000007,168.07383026123046,960.5253233902295
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,0.6721597360289637,0.5538586531082789,1.8905221597353616,nan,1.1114772632718086,1.837963877916336,1000.0,nan,nan,0,0,0,31168,1.795117160294169,1.9092285863253988,43.625,152.35,404.4737854003906,430.7434420776367,0.04626815215303446,0.6516877074834886,1.795117160294169,1.9092285863253988,0.9926897846162319,0.9286574152112007,2240.27474108569,2400.532110539334,9.87484387833086,9.918956852458042,404.4737854003906,430.7434420776367,5.003695070743561,5.026047613620758,0.2884359742852161,0.32410895238330945,0.9334005536856474,1.9007758881008632,185.24053796386718,1031.9016359304758
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,0.7364499985046827,0.6503803173700968,1.6800324638684592,nan,1.1150543292363484,2.7930395233631136,1000.0,nan,nan,0,0,0,31306,1.768252834054553,1.8265867380404452,50.13333333333333,152.77,398.8230244954427,411.9648287963867,0.08006729951764106,0.7200897694403321,1.768252834054553,1.8265867380404452,0.9977922717730204,0.964729867875576,2186.1679538374583,2252.3708202040893,9.880562712886883,10.244539956903566,398.8230244954427,411.9648287963867,5.0400816599528,5.225746695995331,0.3360762874867175,0.3571135017530573,0.9670365472172582,1.8225169307856157,176.75062225341796,966.5333666967593
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,0.776198302310784,0.70946298122406,1.4802760056654611,nan,1.07578002512455,3.646170930862427,1000.0,nan,nan,0,0,0,31382,1.751463280501817,1.8020918864006705,42.2,152.69,395.1440856933594,406.59284057617185,0.12510707764424528,0.7755789290683128,1.751463280501817,1.8020918864006705,0.9973315119743347,0.9683479139208794,2245.8463358107842,2235.7787796646608,9.861181698053365,11.289164432793008,395.1440856933594,406.59284057617185,5.063842058181763,5.79712933063507,0.3852958182138723,0.3814175393231365,0.9709827864711935,1.797489285864411,178.44289965820312,984.1453652982957
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,0.7880944607882495,0.7506363163391749,1.3001063831647237,nan,1.0376695053918021,4.458781590461731,1000.0,nan,nan,0,0,0,31208,1.7325744457244716,1.7796030337802609,49.357142857142854,152.585,390.41033717564176,401.67315856933595,0.15752029482158092,0.7872683139080013,1.7325744457244716,1.7796030337802609,0.9981765832219806,0.9709833270311355,2344.5885278871315,2255.5721551124834,9.867557900680728,13.355780983515706,390.41033717564176,401.67315856933595,5.101009947913034,6.904238348007202,0.4094195024561491,0.38491897350311566,0.9727623250996955,1.7765263971784804,171.60075286865234,967.8773408258331
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,0.8006348727737368,0.779116313457489,1.1461026823520661,nan,1.456139067808787,5.220995755195617,1000.0,nan,nan,0,0,0,30866,1.7356527538130475,1.762005417158191,55.333333333333336,151.84,391.3948262532552,397.5765855407715,0.17014612187460007,0.7994822201600368,1.7356527538130475,1.762005417158191,0.986310236983829,0.9709192407131195,2516.0715216412646,2316.3437832032587,9.944283153351183,16.51560148215003,391.3948262532552,397.5765855407715,5.175058523813884,8.594807982444763,0.42188056118877476,0.3889669565102884,0.9715820108874563,1.760870613473472,166.07574108886718,971.8268006708463
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,0.8133746058786891,0.799377646446228,1.0196915374199549,nan,1.2221073905626934,5.922886593341827,1000.0,nan,nan,0,0,0,31172,1.7352972851850736,1.7507028008717846,45.93333333333333,152.415,391.8650736490885,394.949478302002,0.1978213009863615,0.8120764477640003,1.7352972851850736,1.7507028008717846,0.976332179705302,0.9672443243861198,2794.799012013378,2406.8032885977486,9.927511524003881,20.66155413394649,391.8650736490885,394.949478302002,5.2008877436319985,10.824306111335755,0.4435233596974171,0.3914212133198117,0.9678783608037372,1.7496279974517817,169.73574353027342,1046.5652857995008
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,0.8270640686443221,0.8137433125575384,0.9188263680537542,nan,1.1156454914146,6.5679720330238345,1000.0,nan,nan,0,0,0,31048,1.7189187249661302,1.7432306203244756,36.94444444444444,151.915,387.9410705566406,393.2276879882813,0.23301583231124823,0.8249434433478149,1.7189187249661302,1.7432306203244756,0.9758031136459775,0.9613171654939652,3091.903421449401,2489.8598893904773,9.916678359787102,25.633824776839074,387.9410705566406,393.2276879882813,5.2299628522661,13.519037976264954,0.4697868767258749,0.3918795302872699,0.9625132529560579,1.7412232161205754,171.25695373535157,1107.2524789283696
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,0.8414581175747858,0.8240256460507711,0.8392411841948827,nan,1.3065877427225527,7.176065344810485,1000.0,nan,nan,0,0,0,31914,1.7367065702831679,1.734560325360574,49.608695652173914,153.865,391.9239568295686,391.1325842285156,0.26604991416909873,0.8381529263965539,1.7367065702831679,1.734560325360574,0.9548045733700627,0.9560962396860123,3463.691962074462,2497.1734282434986,9.950471579589658,31.29233182324796,391.9239568295686,391.1325842285156,5.282887189284615,16.613670778274535,0.4948911190600809,0.3914552954441479,0.9559630184964749,1.7347816869445183,174.48153570556642,1158.199201552825
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,0.8565548265171374,0.8319329786300659,0.7756526317199072,nan,1.3890729712115393,7.743815562725067,1000.0,nan,nan,0,0,0,31738,1.760011041614833,1.7261413524138716,54.94444444444444,153.745,396.74646843804254,389.30549423217775,0.2865790967517933,0.8517526817869387,1.760011041614833,1.7261413524138716,0.930133988459905,0.9507225123047829,3899.019939206897,2411.1061307791474,9.96236342936339,37.53909859151653,396.74646843804254,389.30549423217775,5.324579927656385,20.063505239486695,0.5126485307658516,0.39243903559385346,0.9490225424460315,1.7289379322561524,170.00507055664062,1104.8071701231072
