algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,balance_local_norm_honest,balance_local_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,5.194253122102357,0.3800203226010005,2.09559389034907,nan,0.33831140398979187,0.338446871638298,1000.0,nan,nan,0,0,0,30800,135.32463945661272,135.37864288330078,773.1550394080994,773.6829762349688,65.85714285714286,151.695,9.901476044941065,9.901447923900088,0.6002290721471661,0.6002290721471661,0.6002290721471661,0.6002290721471661,0.12119923951572166,5.194253122102358,135.32463945661272,135.37864288330078,4.983853203909738,4.983839049339294,1.0,1.0,2.150420792550376,2.5584214528700366,1.0,0.6002290721471663,56.046002105712894,320.29736104570094
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,5.641076522017706,0.5540906539559365,1.8904392731189728,nan,0.37359348870813847,0.6142886364459992,1000.0,nan,nan,0,0,0,31168,135.24486351013184,135.4183243560791,749.4353739751391,755.6463581430485,43.625,152.35,9.869312603702689,9.87370170143923,0.6002290721471661,0.6002290721471661,0.6002290721471661,0.6002290721471661,0.3665765412132673,5.641076522017706,135.24486351013184,135.4183243560791,5.00089231133461,5.003116316795349,0.9927114620804787,0.9307786080241204,2.476376533535043,2.7836655799926144,0.9353662268431099,0.6002290721471661,58.49516537475586,326.2404752244238
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,6.060769043005112,0.6505753171443939,1.679879635175069,nan,0.3782178958257039,0.9361177995800972,1000.0,nan,nan,0,0,0,31306,135.37906494140626,135.37435775756836,742.7043612731388,746.3085419464629,50.13333333333333,152.77,9.857139859305159,9.89810863021741,0.6002290721471663,0.6002290721471661,0.6002290721471663,0.6002290721471661,0.6103739953146687,6.06076904300511,135.37906494140626,135.37435775756836,5.028133646647135,5.049031844139099,0.9979330221811931,0.9696483474969864,2.790532014390845,2.970506099627848,0.9716216968935589,0.6002290721471663,58.21111505126953,320.80454761677936
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,6.480461563992518,0.7096116481224696,1.4800739204883575,nan,0.369184285402298,1.224839866757393,1000.0,nan,nan,0,0,0,31382,135.41684112548828,135.42527000427245,769.8455503953485,765.1535920332102,42.2,152.69,9.856203121254774,10.02481160622024,0.6002290721471659,0.6002290721471661,0.6002290721471659,0.6002290721471661,0.9250080053069124,6.480461563992519,135.41684112548828,135.42527000427245,5.061285495758057,5.1478680944442745,0.9975955069065094,0.9755037268996238,3.1471894287811555,3.130848744306376,0.9775120705366135,0.6002290721471663,59.58678164672852,336.85525882909803
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,6.900154084979923,0.7507879835367203,1.2999412683645883,nan,0.35969093229089466,1.4986112999916077,1000.0,nan,nan,0,0,0,31208,135.25248173304968,135.4775555419922,812.4582440550332,802.6975175020177,49.357142857142854,152.585,9.864304102391953,10.314557206453005,0.6002290721471661,0.6002290721471661,0.6002290721471661,0.6002290721471661,1.1515817185977326,6.900154084979922,135.25248173304968,135.4775555419922,5.099327904837472,5.332085146903991,0.998187780380249,0.9786777976155281,3.4510106651506076,3.279482906736293,0.9799541516281735,0.6002290721471663,57.978091705322264,343.827837834348
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,7.300194468373703,0.7792049813270568,1.1458615128199259,nan,0.5053803556495242,1.7565653014183045,1000.0,nan,nan,0,0,0,30866,135.3549075656467,135.43501014709472,872.096748787647,860.2409144521624,55.333333333333336,151.84,9.888307493415997,10.828705192306936,0.6002290721471661,0.6002290721471661,0.6002290721471661,0.6002290721471661,1.2440198130352165,7.300194468373702,135.3549075656467,135.43501014709472,5.145928488837348,5.635316517353058,0.987566716141171,0.9796005058288574,3.6664896751706104,3.4354468766595487,0.9799435483781915,0.6002290721471661,56.61039239501953,359.7941072590426
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,7.424627291164088,0.7995733127991358,1.019434360464414,nan,0.4258929709593455,1.9973132884502411,1000.0,nan,nan,0,0,0,31172,135.54058024088542,135.40802207946777,966.9477550126933,935.5073481795566,45.93333333333333,152.415,9.895544367604264,11.614467591911689,0.6002290721471663,0.6002290721471661,0.6002290721471663,0.6002290721471661,1.4403429699147479,7.424627291164087,135.54058024088542,135.40802207946777,5.184140586853028,6.084660995006561,0.9765687068303426,0.9781465494632721,3.8340566984144835,3.451201028122421,0.9780364674191142,0.6002290721471663,58.22942623901367,403.21137192220345
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,7.549060113954473,0.8138529803355535,0.9185725889603297,nan,0.39392345978154075,2.2206079745292664,1000.0,nan,nan,0,0,0,31048,135.46879069010416,135.39594444274903,1079.8288497621902,1024.9627689862907,36.94444444444444,151.915,9.905862283303069,12.694730021774248,0.600229072147166,0.6002290721471661,0.600229072147166,0.6002290721471661,1.6886990942783957,7.5490601139544715,135.46879069010416,135.39594444274903,5.224258555306329,6.695081157684326,0.9759394857618544,0.9746807998418808,4.032843502148827,3.447668651633099,0.974784728037108,0.6002290721471663,59.035254241943356,448.8589461859551
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,7.673492936744859,0.8241843124230702,0.8388698401053747,nan,0.4622912821562394,2.4308394765853882,1000.0,nan,nan,0,0,0,31914,135.45711019764775,135.34774139404297,1198.7916818340982,1116.669664275532,49.608695652173914,153.865,9.916066893319604,14.067583156377397,0.6002290721471659,0.6002290721471661,0.6002290721471659,0.6002290721471661,1.9285870733035833,7.673492936744861,135.45711019764775,135.34774139404297,5.26462111265763,7.468736958503723,0.9557176076847574,0.971239429116249,4.226549418680094,3.4413160026646405,0.9696385237668127,0.6002290721471663,60.37012362670898,501.8122830745813
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,7.797925759535243,0.8321049779653549,0.7752044622103373,nan,0.4889366577068965,2.6196675384044648,1000.0,nan,nan,0,0,0,31738,135.2952677408854,135.3727239227295,1331.517789465753,1203.6952753209646,54.94444444444444,153.745,9.91868124980685,15.715628864204641,0.600229072147166,0.6002290721471661,0.600229072147166,0.6002290721471661,2.081904166960398,7.797925759535246,135.2952677408854,135.3727239227295,5.301233132680257,8.39952513217926,0.9308854209052192,0.9644909211993218,4.368312803990337,3.452960064443752,0.9617161551199922,0.6002290721471663,59.01971920776367,529.412750549153
