algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,balance_local_norm_honest,balance_local_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,balance_threshold_honest,balance_threshold_attacker,balance_kept_honest,balance_kept_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,0.5312902227802184,0.3799743228157361,2.0955952191352845,nan,1.1272745983941215,1.1277248817682266,1000.0,nan,nan,0,0,0,30800,0.012396771864871764,0.5312902227802185,2576.199915849622,2577.9589843740064,4.983853203909738,4.983839049339294,450.9099818638393,451.0899159240723,9.901476044941065,9.901447923900088,65.85714285714286,151.695,2.0,2.0,2.0,2.0,1.0,1.0,450.9099818638393,451.0899159240723,0.21995415223101045,0.2616861888915521,1.0,2.0,186.74870611572265,1067.2503925714973
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,0.5423629562237864,0.5537733197212219,1.8905457524458567,nan,1.2299542725086212,2.040773819088936,1000.0,nan,nan,0,0,0,31168,0.03732198250167985,0.5417565723540443,2476.4315314866935,2654.4379073868936,5.004440605640411,5.03208338022232,447.20431327819824,476.50155059814455,9.87631519914641,9.930868500157153,43.625,152.35,1.9847620347498078,2.112046641005949,1.9847620347498078,2.112046641005949,0.9926210641860962,0.9280169308185577,447.20431327819824,476.50155059814455,0.23909581844262562,0.2686504455139409,0.9328024221791161,2.102618151653642,204.91115826416015,1141.0209719623315
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,0.555188092798212,0.6503086501359939,1.6800711027781168,nan,1.228417197863261,3.0996190226078033,1000.0,nan,nan,0,0,0,31306,0.06230609076029166,0.5545139096139523,2404.374631008886,2475.8138903825725,5.043161265055338,5.271205518245697,438.7638407389323,453.69560180664064,9.886599962558519,10.333657311423359,50.13333333333333,152.77,1.9453373398206952,2.0116144442887838,1.9453373398206952,2.0116144442887838,0.9977091590563456,0.9635613876581192,438.7638407389323,453.69560180664064,0.2591892183017559,0.27528392770600907,0.9659437903138094,2.006990460256127,194.64115594482422,1062.4567950832954
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,0.5699534350391947,0.7094276475906373,1.4803219211101533,nan,1.178420716524124,4.044248665571213,1000.0,nan,nan,0,0,0,31382,0.09466894776695535,0.568666085272605,2458.479221397641,2436.844940348006,5.0644460916519165,5.955473880767823,432.53883209228513,445.77107513427734,9.862357975617405,11.597520096696998,42.2,152.69,1.9172144250440257,1.975736806513936,1.9172144250440257,1.975736806513936,0.9972701489925384,0.9666621282696723,432.53883209228513,445.77107513427734,0.2842678027692152,0.2810414309249193,0.9694446756081148,1.9704165900166712,195.60998333740235,1073.077144995108
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,0.586922560062573,0.7506049821774164,1.3001457770665488,nan,1.1308384793145316,4.945571205615997,1000.0,nan,nan,0,0,0,31208,0.11830701236893655,0.584982695029127,2553.43206185377,2435.2228126016826,5.101409469332014,7.258753821849823,425.20455496651783,438.1851084899902,9.868330747778577,14.041567131856887,49.357142857142854,152.585,1.8869852092562414,1.9413688017739867,1.8869852092562414,1.9413688017739867,0.9981650710105896,0.9692918279767037,425.20455496651783,438.1851084899902,0.3049772854330128,0.2864397457074238,0.971180731726584,1.9378109966560033,187.1797709350586,1045.5852227725784
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,0.6094702993986901,0.7790876473983129,1.1461545201142629,nan,1.5870903333028157,5.788797948360443,1000.0,nan,nan,0,0,0,30866,0.12786095096849076,0.6045762708067763,2725.8808623532755,2476.585428496529,5.181730482313368,9.211099424362182,424.21766153971356,431.7073361206055,9.957103847880717,17.69985409981846,55.333333333333336,151.84,1.8812061612164281,1.9132682419661393,1.8812061612164281,1.9132682419661393,0.9861388471391466,0.9688592427968978,424.21766153971356,431.7073361206055,0.31854707890380507,0.29358673729329515,0.9696033405915402,1.9118875782017979,180.31885235595703,1039.7000269209705
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,0.6377870552341273,0.799343646367391,1.0197510335842768,nan,1.3286246458689372,6.563979508876801,1000.0,nan,nan,0,0,0,31172,0.14951892652744492,0.6287042069043539,3013.5349630294554,2543.3444049987766,5.2050705909729,11.74759515762329,422.57643025716146,426.8939587402344,9.935495788849972,22.423938384256243,45.93333333333333,152.415,1.8712962896876306,1.8923036170065615,1.8712962896876306,1.8923036170065615,0.9762378613154093,0.9647450226545334,422.57643025716146,426.8939587402344,0.3411930386782085,0.30137272337287047,0.9655468486076177,1.890837989519194,183.4348764038086,1107.7438108903943
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,0.6792275970493215,0.8137036472558975,0.9188828305403391,nan,1.2049695915646024,7.276111135482788,1000.0,nan,nan,0,0,0,31048,0.17923186748438197,0.6589208788931161,3317.1216579471848,2589.3503914848006,5.231253332561916,14.783458857536315,416.22679138183594,423.0495010375977,9.919125275450703,28.031328458061907,36.94444444444444,151.915,1.8442488035226223,1.8754354001273845,1.8442488035226223,1.8754354001273845,0.9757866428958045,0.9584670010209083,416.22679138183594,423.0495010375977,0.3711074720478756,0.31053804078105296,0.9598970631940649,1.8728603600407525,184.20396490478515,1155.1565362800193
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,0.7485787744551243,0.823989312450091,0.8393206840753555,nan,1.4105171716731528,7.956492028236389,1000.0,nan,nan,0,0,0,31914,0.21078915587655975,0.7013956509240842,3697.352153841165,2537.3216835613216,5.286979467972465,18.24878063201904,418.4448281993037,418.3621856689453,9.958179505449175,34.37210876078937,49.608695652173914,153.865,1.8542269799401812,1.855316077579693,1.8542269799401812,1.855316077579693,0.9546824590019558,0.9540684819221497,418.4448281993037,418.3621856689453,0.4070317538955695,0.3245267920037892,0.9541318069124436,1.8552037491236002,186.5933363647461,1185.006872501222
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,0.8238125430535217,0.8318879783153534,0.7757480835914612,nan,1.5034738149907854,8.598820533752441,1000.0,nan,nan,0,0,0,31738,0.2319893027549676,0.7652232208877986,4141.306957965426,2386.738369167258,5.329513019985622,22.101758909225463,421.4590030246311,413.7637110900879,9.971593314027004,41.35269968213042,54.94444444444444,153.745,1.8696389434852945,1.8345865512257087,1.8696389434852945,1.8345865512257087,0.930064727862676,0.9501241040229798,421.4590030246311,413.7637110900879,0.44528287000809996,0.3469456709531741,0.9484678252574501,1.8374807854489772,180.67800854492188,1103.7823981536585
