algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,balance_threshold_honest,balance_threshold_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,balance_kept_honest,balance_kept_attacker,balance_local_norm_honest,balance_local_norm_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3800186559557915,2.095591790676117,nan,0.5636371799877712,0.5638625544309616,1000.0,nan,nan,0,0,0,30800,1.0,1.0,225.45499093191964,225.54495796203614,225.45499093191964,225.54495796203614,1.0,1.0,9.901476044941065,9.901447923900088,1.0,1.0,0.04447437226608758,1.9060445256894676,65.85714285714286,151.695,4.983853203909738,4.983839049339294,1288.099957924811,1288.9794921870032,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,2.0058664393858714,0.5540323200821876,1.890456329981486,nan,0.6079124510288239,1.0229713463783263,1000.0,nan,nan,0,0,0,31168,0.9927724450826645,0.9303673622012139,220.24023723602295,234.18896530151366,220.24023723602295,234.18896530151366,0.977459481936513,1.0380202158895413,9.870525608199806,9.883771327937588,0.977459481936513,1.0380202158895413,0.1386905163925376,1.9822805113155733,43.625,152.35,5.001506954431534,5.008218710422516,1220.375479753261,1306.4642098735435,0.8761265143617518,0.9844515343606771,0.9349899609331731,1.0335342355967243,100.7232737121582,561.6376993015217
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.2512908608147244,0.6505359842379888,1.6799126064777374,nan,0.599503739674886,1.5577172380685806,1000.0,nan,nan,0,0,0,31306,0.9979497114817302,0.968477859199047,212.84703979492187,219.0991532897949,212.84703979492187,219.0991532897949,0.94369542259437,0.971450967813235,9.862402230137688,9.976288082897492,0.94369542259437,0.971450967813235,0.2399947780707086,2.222226616633936,50.13333333333333,152.77,5.030817985534668,5.088911235332489,1167.4915981660224,1205.4970050900267,1.0328875134959996,1.097896400327238,0.9705340349396994,0.9695145344258723,94.02507250976562,517.2235499809913
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.446162865402859,0.7096119813124339,1.4801177831490835,nan,0.5650703579187393,2.0367326772212984,1000.0,nan,nan,0,0,0,31382,0.9975459396839141,0.9736453565955162,206.6962448120117,211.63802726745607,206.6962448120117,211.63802726745607,0.9161740275246355,0.9380175157552886,9.857187090088987,10.32050455277158,0.9161740275246355,0.9380175157552886,0.3822145836068214,2.4376620264994515,42.2,152.69,5.061790776252747,5.2997101783752445,1175.0014959762864,1187.3483259376371,1.2043935607638736,1.1938488729384789,0.9758181368762796,0.9360317440979563,92.9230606994629,521.9393902141063
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.578289307564679,0.7507506501674652,1.2999728584289552,nan,0.533549353480339,2.491770304441452,1000.0,nan,nan,0,0,0,31208,0.9981859539236341,0.9767333257198334,200.21710423060827,204.8440328979492,200.21710423060827,204.8440328979492,0.8885293512554332,0.9075561256306787,9.864895234886575,11.067745456584882,0.8885293512554332,0.9075561256306787,0.48789901618415965,2.5603550364099745,49.357142857142854,152.585,5.099633489336286,5.721443972587585,1202.6132721410618,1195.8467233498202,1.3168814242744857,1.2416158494541296,0.9781367686864372,0.9063113833818309,87.54369207763672,512.0118609598778
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.795137669641356,0.7791836470365524,1.1459085615475972,nan,0.7510168022579617,2.919919110536575,1000.0,nan,nan,0,0,0,30866,0.9873818887604607,0.977401228249073,196.54116990831164,198.598021774292,196.54116990831164,198.598021774292,0.8715684854163479,0.8801589195284899,9.899093027786668,12.332805108693973,0.8715684854163479,0.8801589195284899,0.5325981276813905,2.758855468532821,55.333333333333336,151.84,5.151541339026557,6.418058216571808,1265.3751885057925,1229.0544389001961,1.4231010640219628,1.320835907179369,0.9778310174576974,0.8797889965284457,82.9769497680664,514.3985289531828
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,3.1378070833700447,0.7995686467488606,1.0194875645637511,nan,0.6234093447526295,3.3187453150749207,1000.0,nan,nan,0,0,0,31172,0.9765335202217102,0.9755488342046738,193.04706217447918,193.03997787475586,193.04706217447918,193.03997787475586,0.8548710629367625,0.8556935418343863,9.902350601292955,14.155960565177093,0.8548710629367625,0.8556935418343863,0.634308524980836,3.065046147501529,45.93333333333333,152.415,5.1877062797546385,7.416114463806152,1377.0558936987277,1282.1619285264103,1.6066035739891131,1.4387891534237518,0.9756175332291182,0.8556361595857147,83.00740301513672,554.176448221526
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,3.3764375017695283,0.8138643123706182,0.9186224981149038,nan,0.5539832148287032,3.6879506242275237,1000.0,nan,nan,0,0,0,31048,0.9759623408317566,0.9716121843457222,187.33726501464844,188.03750305175782,187.33726501464844,188.03750305175782,0.830068793801966,0.8335949621170505,9.907929257469782,16.51008046739682,0.830068793801966,0.8335949621170505,0.7725283994137774,3.359641372197549,36.94444444444444,151.915,5.225348658031887,8.707261080741882,1493.1976183169586,1346.4298595086852,1.807373588527286,1.5444089715626805,0.971971371578514,0.8333038106047959,81.95914276123047,592.3270580628846
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,3.4865730093648155,0.8241683131456375,0.8389387234052023,nan,0.6488041787043862,4.03330908536911,1000.0,nan,nan,0,0,0,31914,0.9555274844169617,0.9672730740904808,185.4138356084409,183.18490768432616,185.4138356084409,183.18490768432616,0.8216111808758878,0.8123717727940423,9.922549253149098,19.33402190160182,0.8216111808758878,0.8123717727940423,0.9204142082202702,3.4565720994642386,49.608695652173914,153.865,5.268062715945036,10.264785523414611,1639.962911764847,1399.2066129876155,1.9348773647178574,1.5709516930841063,0.9660616455591313,0.8133247162284925,81.80299951171875,635.1209391362293
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,3.645363720339337,0.832095312277476,0.7752902017037073,nan,0.6967964056465361,4.343125293254852,1000.0,nan,nan,0,0,0,31738,0.9306192298730215,0.9597814506292344,184.02243381076389,179.09368560791015,184.02243381076389,179.09368560791015,0.8163433515530875,0.7940815102184701,9.926180673595251,22.563134129121682,0.8163433515530875,0.7940815102184701,1.0215651475080818,3.5859909901279456,54.94444444444444,153.745,5.305241346359253,12.05930820941925,1810.5208299511048,1432.028872587437,2.0473354845560277,1.6126637310824972,0.9573735608420241,0.7959196439066494,78.26228186035156,637.9902989132146
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,3.874752652844321,0.8382793128490448,0.7244239016373952,nan,0.6806470500795465,4.636129570007324,1000.0,nan,nan,0,0,0,32034,0.9757863220415617,0.9534000664949417,171.2675138774671,174.85623390197753,171.2675138774671,174.85623390197753,0.7587561545030482,0.7753403005048216,9.960959432411968,26.12821386253228,0.7587561545030482,0.7753403005048216,1.1806186998340715,3.7649426421330556,60.10526315789474,154.46,5.359440301593981,14.058144030570984,1849.1407289497276,1433.6954376916215,2.214348276753665,1.6606641963039606,0.9553422530492147,0.773901493317453,76.45065908813477,643.7455227767383
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,4.217581439637883,0.843632647395134,0.6827332669496536,nan,0.7745353364282184,4.916044917106628,1000.0,nan,nan,0,0,0,31680,0.9593954583009084,0.9484113386273384,168.75871192084418,170.54806381225586,168.75871192084418,170.54806381225586,0.7481153021445295,0.7560120464687153,9.977594267289964,29.982995282820802,0.7481153021445295,0.7560120464687153,1.2912745677712614,4.017542977662253,53.5,153.585,5.404299418131511,16.24009552001953,2007.8722968425245,1399.79453965221,2.381781931727658,1.7426756990819159,0.9493182842884589,0.7553600217080029,74.29453915405273,632.201218547215
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,4.685249952402631,0.8478389805555344,0.6484975186983745,nan,0.8037743622606451,5.1806555843353275,1000.0,nan,nan,0,0,0,30700,0.9501788832924583,0.9439714562892914,165.05372758345172,166.1437950897217,165.05372758345172,166.1437950897217,0.7324353397363048,0.7367661146022284,9.950745305870822,34.09230235276481,0.7324353397363048,0.7367661146022284,1.3654941963742955,4.3734072055414375,39.0,151.355,5.425808603113348,18.589392223358153,2122.1549580225073,1338.054931237195,2.5686594000411525,1.8692978293001505,0.9442950662278451,0.7365403396092183,70.08870004272461,581.9093815713732
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,5.215324719008927,0.8513703111807506,0.619861815571785,nan,0.7519775295958799,5.436288182735443,1000.0,nan,nan,0,0,0,30976,0.926514720215517,0.9409251007437706,163.88551599839155,161.82145820617677,163.88551599839155,161.82145820617677,0.7268105883506699,0.7170539411498812,10.009895656727394,38.42484911512298,0.7268105883506699,0.7170539411498812,1.466437472859355,4.871219832743289,37.0,151.735,5.49456994673785,21.091930265426637,2270.396698368546,1254.3623095551113,2.828350416812929,2.05339483751486,0.9397961769235849,0.7178182867831228,70.30069082641602,578.938411566575
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,5.328326998746077,0.8547359774510066,0.5953776802619298,nan,0.852202660507626,5.67131474018097,1000.0,nan,nan,0,0,0,30632,0.9422387546963162,0.9370109239220619,157.12665473090277,157.51661376953126,157.12665473090277,157.51661376953126,0.6949986623503995,0.6984335919351546,9.935229683620662,42.95800608700892,0.6949986623503995,0.6984335919351546,1.5380766429475503,5.23932051190191,42.55555555555556,151.245,5.490063455369738,23.737969512939454,2341.167361219737,1161.9270851521258,3.0185741905292947,2.1869302388675242,0.9372360458214317,0.698285676307103,65.83492529296875,506.9118465628056
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,5.484302282774488,0.857535645365715,0.5745424811045329,nan,0.8116226885467768,5.90272433757782,1000.0,nan,nan,0,0,0,31250,0.9178914315998554,0.9348876431584359,155.37253093719482,153.2069214630127,155.37253093719482,153.2069214630127,0.6899828863230675,0.6791456233623973,9.920066102239238,47.662776938268216,0.6899828863230675,0.6791456233623973,1.6550154759423832,5.371728154200007,45.8125,152.585,5.518350929021835,26.513929109573365,2464.819141975602,1063.795632200552,3.141700547245433,2.2240362910643587,0.9336286645244669,0.6799483835817062,66.25468957519531,504.3924654234401
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,5.673603461771649,0.8599339791138967,0.5564023556311926,nan,0.9047862968661569,6.092368025779724,1000.0,nan,nan,0,0,0,31002,0.929815644567663,0.9284300243854523,149.5548650568182,149.58439041137694,149.5548650568182,149.58439041137694,0.66221230531229,0.6630697040683934,9.883954038355801,52.52650137859641,0.66221230531229,0.6630697040683934,1.7359478624571174,5.517418175723049,53.09090909090909,152.09,5.5350399884310635,29.414977493286134,2513.3648763656647,980.5760605075867,3.24853598776349,2.2749417667594143,0.9285022605086954,0.6630250055550422,63.12396319580078,447.5244514830793
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,5.9356610203036695,0.8619616444905599,0.5407343834638596,nan,0.6441846210509539,6.278059420585632,1000.0,nan,nan,0,0,0,31054,0.9124245867133141,0.9235470306873321,147.42758178710938,145.8165357208252,147.42758178710938,145.8165357208252,0.6530842273035777,0.6464052488715928,9.833213146793241,57.50575224806009,0.6530842273035777,0.6464052488715928,1.9001513367289415,5.709237550315801,40.125,152.06,5.543458431959152,32.41877730369568,2617.6583428132853,897.5694108651925,3.423785822163685,2.3266948394588542,0.922723145948516,0.6468999880147026,63.04429690551758,442.79283131610214
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,6.268194748269161,0.8640233103434245,0.526861547032992,nan,0.725478982552886,6.482149317264557,1000.0,nan,nan,0,0,0,30858,0.8856977485120296,0.9231561920046807,148.117657661438,141.54682151794432,148.117657661438,141.54682151794432,0.6570055483217813,0.6275288471890245,9.826560530394165,62.591005458217516,0.6570055483217813,0.6275288471890245,2.0555812423731767,5.975507360481695,35.0,151.49,5.576762795448303,35.52160387039184,2754.175791119256,825.6728305773432,3.623551689616584,2.403962839543844,0.9203814924867065,0.6297123065321917,61.35849365234375,418.4027575467535
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,6.687887269256566,0.8656339792410532,0.5146983769536019,nan,0.7864868532527577,6.642160112857819,1000.0,nan,nan,0,0,0,31020,0.921652306209911,0.9181258979439736,141.15803389115766,138.42744194030763,141.15803389115766,138.42744194030763,0.6256074314411055,0.6137352360897999,9.827864396367541,67.79350276502576,0.6256074314411055,0.6137352360897999,2.164761383934403,6.314059439619789,53.81818181818182,152.14,5.614810336719859,38.73147254943848,2787.6702115682515,765.1702701113808,3.8244806062085575,2.5162818870748573,0.918309739133193,0.6143541657052708,58.476453521728516,367.3968526990538
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,7.107579790243972,0.8671733125050862,0.5037872450550397,nan,0.6355300426483155,6.799909195899963,1000.0,nan,nan,0,0,0,30732,0.9097430984179179,0.9143837943673134,139.3675313313802,136.48746337890626,139.3675313313802,136.48746337890626,0.6185365082532253,0.6051506364657139,9.750956972821513,73.0703233716956,0.6185365082532253,0.6051506364657139,2.290625315136658,6.703346894215624,32.333333333333336,151.235,5.608135159810384,42.025439224243165,2851.61187423376,717.919925612135,4.055713946768243,2.647601799951546,0.9140600248824718,0.606084534497401,58.776011291503906,372.7163264718668
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,7.5272723112313775,0.8685383129119874,0.4940313541889191,nan,0.8075487862030665,6.948259325027466,1000.0,nan,nan,0,0,0,30810,0.8795404136180878,0.9108177387714386,139.95190048217773,135.7311399078369,139.95190048217773,135.7311399078369,0.6205344541930643,0.6016758444574467,9.748481398277121,78.41649418795511,0.6205344541930643,0.6016758444574467,2.3867758992375236,7.114110102398938,40.833333333333336,151.6,5.644214312235515,45.40189191818237,2961.610327528904,682.9318918723177,4.277709580502089,2.79464966010773,0.9090473241401169,0.6027433129330476,57.651301574707034,344.2514046096208
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,7.658660653048859,0.8698813116550446,0.48520369072755176,nan,0.7809207204141115,7.063210515975952,1000.0,nan,nan,0,0,0,31378,0.8613645308896115,0.9042532762885094,140.07392321134867,135.44863815307616,140.07392321134867,135.44863815307616,0.6209919054181468,0.6004646759532221,9.738125366586612,83.82042128196802,0.6209919054181468,0.6004646759532221,2.5299925557760745,7.478138504789054,43.68421052631579,152.74,5.675932030928762,48.85529771804809,3090.7864204332304,654.2118516601819,4.5092509353812655,2.90577245549739,0.9005323349068698,0.6022455771396767,59.50226434326172,379.13462464053555
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,7.783093475839243,0.8709203128019969,0.47729774852593737,nan,0.8628962269196143,7.1598408722877505,1000.0,nan,nan,0,0,0,30674,0.9034822766597455,0.8967206871509552,137.42274709848257,135.449951171875,137.42274709848257,135.449951171875,0.6101570192602264,0.6004696125978505,9.764075233646432,89.25087714940669,0.6101570192602264,0.6004696125978505,2.6723671316445414,7.66935017194405,33.07692307692308,151.22,5.729124215932993,52.36843729019165,3202.751638056987,632.8287157084317,4.671160347764345,2.935813839201385,0.8971333663228532,0.6010608627697326,57.752971893310544,336.4030288728543
