algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,balance_kept_honest,balance_kept_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,balance_threshold_honest,balance_threshold_attacker,noise_norm_honest,noise_norm_attacker,balance_local_norm_honest,balance_local_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3800186559557915,2.095591790676117,nan,0.5636371799877712,0.5638625544309616,1000.0,nan,nan,0,0,0,30800,1288.099957924811,1288.9794921870032,1.0,1.0,65.85714285714286,151.695,1.0,1.0,225.45499093191964,225.54495796203614,0.04447437226608758,1.9060445256894676,9.901476044941065,9.901447923900088,225.45499093191964,225.54495796203614,4.983853203909738,4.983839049339294,1.0,1.0,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.9662916402676698,0.5540353203813235,1.8904573690891266,nan,0.6224845498800278,1.0229713463783263,1000.0,nan,nan,0,0,0,31168,1257.5414819473426,1346.2519696308177,1.0072275549173355,1.0696326377987861,43.625,152.35,0.9927724450826645,0.9303673622012139,226.94755744934082,241.32108123779298,0.1338015449117618,1.9547152361964317,9.870525608199806,9.883771327937588,226.94755744934082,241.32108123779298,5.001506954431534,5.008218710422516,1.0072275549173355,1.0696326377987861,0.8621670214256296,0.9687639460476763,0.9349899609331731,1.065010039066827,103.7907543334961,578.7421152746422
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.050163360971365,0.6505329845348994,1.6799166305859883,nan,0.6301483631134033,1.5577174180746078,1000.0,nan,nan,0,0,0,31306,1239.6853661673474,1280.0410808014403,1.002050264676412,1.0315220239758491,50.13333333333333,152.77,0.9979497353235881,0.9684779760241509,226.0087626139323,232.64746154785155,0.22303369022171585,2.038805433084504,9.862402105498981,9.976287956700803,226.0087626139323,232.64746154785155,5.0308179219563804,5.088911170959473,1.002050264676412,1.0315220239758491,0.9493423873668311,1.0086236292887807,0.9705341452776,1.0294658547224,99.83924749755859,549.2069933055965
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.1460968423497313,0.7096019810438157,1.480126986503601,nan,0.6150054425001145,2.036733140945435,1000.0,nan,nan,0,0,0,31382,1285.649328492323,1299.1634258696522,1.0024645268917083,1.02635441750288,42.2,152.69,0.9975354731082916,0.9736455824971199,226.16407470703126,231.56883712768555,0.33802468343309533,2.130389549803729,9.857374105917994,10.320504241697584,226.16407470703126,231.56883712768555,5.061886811256409,5.299710018634796,1.0024645268917083,1.02635441750288,1.0549706299813488,1.044325721674446,0.9758173907344991,1.0241826092655009,101.67409783935547,571.0913434875539
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.249191954028853,0.7507559829950332,1.2999822771549225,nan,0.5992663204669952,2.4917751932144165,1000.0,nan,nan,0,0,0,31208,1355.9515185920025,1348.3098458743418,1.0018028659479958,1.0232647588849069,49.357142857142854,152.585,0.9981971340520042,0.9767352411150932,225.74163055419922,230.96057014465333,0.4209301808213241,2.2268171705200626,9.865041304964661,11.067745212146455,225.74163055419922,230.96057014465333,5.099708999906268,5.721443846225738,1.0018028659479958,1.0232647588849069,1.1432849767008195,1.0769131317293996,0.9781392901857323,1.0218607098142678,98.70499371337891,577.2905808703129
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.352821972315564,0.7791779800256093,1.1459193634986877,nan,0.8415681653552585,2.9199261379241945,1000.0,nan,nan,0,0,0,30866,1470.1449768478496,1427.9623699776555,1.012755937046475,1.022596418261528,55.333333333333336,151.84,0.9872440629535251,0.977403581738472,228.37935553656683,230.7374503326416,0.45387790979487525,2.3244792380348644,9.901612289323989,12.33280817365128,228.37935553656683,230.7374503326416,5.152852376302083,6.418059811592102,1.012755937046475,1.022596418261528,1.2021184410908712,1.1129703725640805,0.9778273345180676,1.0221726654819325,96.40580853271484,597.6475575743234
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.4539050189270677,0.7995576467116674,1.0194976552327475,nan,0.7094679713249207,3.3187515902519227,1000.0,nan,nan,0,0,0,31172,1648.6718694941899,1535.0394600632997,1.0234740813573202,1.0244493198394775,45.93333333333333,152.415,0.9765259186426799,0.9755506801605225,231.1209940592448,231.1103938293457,0.5244566282711378,2.4194263907830633,9.902829726358311,14.155971596704056,231.1209940592448,231.1103938293457,5.187957286834717,7.41612024307251,1.0234740813573202,1.0244493198394775,1.282444533275908,1.140560028132167,0.9756187200546265,1.0243812799453735,99.37778735351563,663.4759401101455
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.484422432523741,0.8138516455888748,0.9186388963460922,nan,0.6562819646464454,3.6879331743717194,1000.0,nan,nan,0,0,0,31048,1842.1493997653747,1661.0675101519817,1.0240662561522589,1.0283923986554147,36.94444444444444,151.915,0.975933743847741,0.9716076013445855,231.12035454644098,231.9787742614746,0.6140358966361215,2.4769726637098173,9.90847018686957,16.510096922821777,231.12035454644098,231.9787742614746,5.225633939107259,8.707269759178162,1.0240662561522589,1.0283923986554147,1.3592106034655997,1.1462491733307962,0.9719648057714515,1.0280351942285486,101.11184246826171,730.7443824523461
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.5136143904732773,0.8241556463638942,0.8389646911621094,nan,0.7698995496915735,4.033263710737228,1000.0,nan,nan,0,0,0,31914,2084.578263437025,1778.7390579616401,1.044529984826627,1.0327377811074256,49.608695652173914,153.865,0.955470015173373,0.9672622188925744,235.7201677405316,232.87610343933105,0.698744231906032,2.5044365947298832,9.924384849210064,19.334022548260208,235.7201677405316,232.87610343933105,5.269037267436152,10.264785866737366,1.044529984826627,1.0327377811074256,1.4210211770355725,1.1384903252391028,0.9660459826345401,1.03395401736546,103.99356909179687,807.3862233027593
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.542632692749976,0.8320819805065791,0.7753217911720276,nan,0.8142731520864699,4.343140006065369,1000.0,nan,nan,0,0,0,31738,2371.528055898195,1875.9199155366794,1.0693551301956177,1.0402152955532074,54.94444444444444,153.745,0.9306448698043823,0.9597847044467926,241.0570102267795,234.60563453674317,0.7509783892569978,2.529799722866581,9.929451563351995,22.56309735391614,241.0570102267795,234.60563453674317,5.306989537345038,12.059288554191589,1.0693551301956177,1.0402152955532074,1.4625069227008312,1.1353579865588899,0.9573786630543,1.0426213369457,102.52030618286133,835.7429762270069
