algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_threshold_honest,balance_threshold_attacker,nsr_honest,nsr_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.3224927136171427,0.3800246558586756,2.095591475168864,nan,0.6763646687780108,0.67663503408432,1000.0,nan,nan,0,0,0,30800,9.901476044941065,9.901447923900088,1545.719978962547,1546.7754492950346,4.983853203909738,4.983839049339294,65.85714285714286,151.695,1.2,1.1999999999999997,0.03085816331773333,1.3224927136171427,270.5459943498884,270.6539598083496,1.2,1.1999999999999997,270.5459943498884,270.6539598083496,1.0,1.0,0.5475119834374972,0.6513917689889069,1.0,1.1999999999999995,112.04922784423829,640.3502594234894
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.3641079466955075,0.5540149868528048,1.89046791156133,nan,0.7452674582600594,1.227097402215004,1000.0,nan,nan,0,0,0,31168,9.871370253156318,9.89069315600856,1504.2602307614525,1610.8222539651304,5.0019349455833435,5.011726078987121,43.625,152.35,1.2049993934772396,1.2801387522798608,0.09317696016287695,1.3555336983530966,271.50931549072266,288.8136360168457,1.2049993934772396,1.2801387522798608,271.50931549072266,288.8136360168457,0.9928168170154095,0.9300125542283059,0.5981196554389648,0.6720608181708155,0.9346647218421653,1.274572873850037,124.21375250244141,692.4652289704186
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,1.4275429486025537,0.6505226500829061,1.6799360664685568,nan,0.7523830095926921,1.8678975176811219,1000.0,nan,nan,0,0,0,31306,9.866014509133173,10.029641374797928,1478.5083849207772,1526.0529891325673,5.032660611470541,5.11612678527832,50.13333333333333,152.77,1.1952778356433422,1.2312644536292512,0.15581552508668936,1.4188338331512858,269.5905253092448,277.6969546508789,1.1952778356433422,1.2312644536292512,269.5905253092448,277.6969546508789,0.9979407827059428,0.9677714604139328,0.6610228483125279,0.7022628169802563,0.9698762968529102,1.2287537593511642,119.16649761962891,654.7764472006502
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,1.5072786878523665,0.7095809809366862,1.4801540772120159,nan,0.7317311227321625,2.4411346983909605,1000.0,nan,nan,0,0,0,31382,9.858141576537045,10.518610829016403,1529.0311247793538,1540.0130790820851,5.062280917167664,5.401440267562866,42.2,152.69,1.1922214062492704,1.2219854687869312,0.23709103593255615,1.4927128940849974,268.9747375488281,275.7076274108887,1.1922214062492704,1.2219854687869312,268.9747375488281,275.7076274108887,0.997500142455101,0.9724725189805031,0.7393397791935327,0.7318669466185703,0.9747477574781938,1.2192796449198713,121.04204046630859,677.1664766240083
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,1.5979418079926848,0.7507596492767334,1.3000056354204814,nan,0.710808949811118,2.9863036942481993,1000.0,nan,nan,0,0,0,31208,9.86553947179389,11.555614884917286,1607.7010795096962,1586.181366074153,5.099966526031494,5.973646881580353,49.357142857142854,152.585,1.1878276713429987,1.2147528900519955,0.296072522886114,1.576362421911736,267.6596156529018,274.1812174987793,1.1878276713429987,1.2147528900519955,267.6596156529018,274.1812174987793,0.9981937749045235,0.9754852184653282,0.8081884824963629,0.7615593809511678,0.9769708249613503,1.212991427145799,117.16695623779297,679.4881766559326
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,1.7008111054617414,0.7791759810845057,1.1459599415461221,nan,0.9980222980181376,3.4990532195568083,1000.0,nan,nan,0,0,0,30866,9.910275107871136,13.26479140767407,1737.7785307369913,1665.7362841035124,5.157360553741455,6.903068907260895,55.333333333333336,151.84,1.1974989635523843,1.2104481185885458,0.3198936698896614,1.6667883707255828,270.0394524468316,273.12405364990235,1.1974989635523843,1.2104481185885458,270.0394524468316,273.12405364990235,0.9870026310284933,0.976048583984375,0.8586515502240302,0.7960224723329961,0.9765202893594805,1.209890499472156,114.1103316040039,697.5745271946708
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,1.8025707635631845,0.7995073131720225,1.0195407835642496,nan,0.840278685092926,3.97573513507843,1000.0,nan,nan,0,0,0,31172,9.907759568912752,15.659432192652194,1942.9714039676364,1774.2798761911038,5.190539964040121,8.20376272201538,45.93333333333333,152.415,1.2062501814883742,1.2093626644642936,0.37091492779037705,1.759382943828249,272.3955057779948,272.8259413146973,1.2062501814883742,1.2093626644642936,272.3955057779948,272.8259413146973,0.9765339374542237,0.9738930916786194,0.9263021342055258,0.8261142732808164,0.9740773367327313,1.2091455144892296,117.30224169921875,768.0010925954706
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,1.8875397494006714,0.813863312403361,0.9186793273687363,nan,0.7741196950276693,4.415669577121735,1000.0,nan,nan,0,0,0,31048,9.910139387805998,18.675906258645412,2164.6450105765084,1899.5552270062421,5.226514259974162,9.849497222900391,36.94444444444444,151.915,1.2033751422818997,1.2109667765835286,0.43615181611797466,1.8491264314888318,271.5884094238281,273.1628691101074,1.2033751422818997,1.2109667765835286,271.5884094238281,273.1628691101074,0.9759056402577294,0.9694450199604034,1.0013416622663174,0.8498241975759188,0.9699784656730267,1.210339944393486,119.04233038330078,837.7493111832512
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,1.9045863249360588,0.8241209799051284,0.8390223687887192,nan,0.9077738238417584,4.826309518814087,1000.0,nan,nan,0,0,0,31914,9.929710565234894,22.225547745196774,2442.1975477604437,2005.3999191831442,5.271864787391994,11.799949431419373,49.608695652173914,153.865,1.2238399896209367,1.2130822561892924,0.49893727729971915,1.8976464497419454,276.1851581075917,273.54265686035154,1.2238399896209367,1.2130822561892924,276.1851581075917,273.54265686035154,0.9553604566532633,0.9645429918169975,1.0584209462766097,0.8553873661003562,0.9635959141992133,1.2141917982024213,122.12158001708984,914.5010548702381
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,1.9216793629595161,0.8320489790042241,0.7753911091883977,nan,0.9616455203957028,5.195394313335418,1000.0,nan,nan,0,0,0,31738,9.936216236416762,26.228186523300778,2769.3522920139253,2073.692328051641,5.310605049133301,14.018167123794555,54.94444444444444,153.745,1.2490555075368215,1.2185269344651954,0.5379595629339722,1.9160184042873079,281.5655466715495,274.82105361938477,1.2490555075368215,1.2185269344651954,281.5655466715495,274.82105361938477,0.9306338230768839,0.9567705506086349,1.0891830994753067,0.8531371652130958,0.9546124721885821,1.2210476423334948,120.06478112792969,929.1736137331578
