algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,balance_kept_honest,balance_kept_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,2.410703046206268,0.3800186559557915,2.095591790676117,nan,0.5636371799877712,0.5638625544309616,1000.0,nan,nan,0,0,0,30800,1.0,1.0,0.05624973774481293,2.410703046206269,65.85714285714286,151.695,225.45499093191964,225.54495796203614,1.0,1.0,225.45499093191964,225.54495796203614,1.0,1.0,1288.099957924811,1288.9794921870032,4.983853203909738,4.983839049339294,9.901476044941065,9.901447923900088,0.9980310611293951,1.1873881085365645,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,2.499987379262032,0.5540343201160431,1.8904570102691651,nan,0.6175785288214684,1.0229713463783263,1000.0,nan,nan,0,0,0,31168,0.9972054732934891,1.0589896152253724,0.17042845420474728,2.4846580644094733,43.625,152.35,224.68939113616943,238.919896774292,0.9972054732934891,1.0589896152253724,224.68939113616943,238.919896774292,0.9927724450826645,0.9303673622012139,1245.0287333066929,1332.8565409353466,5.001506954431534,5.008218710422516,9.870525608199806,9.883771327937588,1.0961202982866378,1.231635999401252,0.9349899609331731,1.054413012119307,102.75801922607423,572.9835358399528
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.6354143174349285,0.6505336503187815,1.6799152608712513,nan,0.6197285334269206,1.5577172583341599,1000.0,nan,nan,0,0,0,31306,0.9822083439174617,1.0110966201699056,0.28577885714406664,2.6201690753274796,50.13333333333333,152.77,221.5334930419922,228.0407559967041,0.9822083439174617,1.0110966201699056,221.5334930419922,228.0407559967041,0.997949731349945,0.9684778732061387,1215.1379252137535,1254.694904403597,5.030817953745524,5.088911190032959,9.862402167818335,9.976287994092415,1.2195349444174317,1.2957546344094286,0.9705340493557065,1.0090811590360143,97.8623071899414,538.3320995178515
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.8099022609048907,0.7096036469936371,1.4801250322659811,nan,0.5978783577680588,2.0367329716682434,1000.0,nan,nan,0,0,0,31382,0.9728350130579348,0.9960211392592293,0.43651953211919714,2.7874913473263008,42.2,152.69,219.47941360473632,224.72496017456055,0.9728350130579348,0.9960211392592293,219.47941360473632,224.72496017456055,0.9975377500057221,0.9736455011367798,1247.667068249697,1260.7643627433256,5.061853575706482,5.299710087776184,9.857309383955323,10.320504376341551,1.3769082582020387,1.36367776025692,0.9758175237612291,0.9939133096045665,98.66916061401368,554.2124278273182
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,3.0230989953565635,0.7507553160190582,1.2999800376097361,nan,0.5765125964369092,2.491774550676346,1000.0,nan,nan,0,0,0,31208,0.9625145820828485,0.9831422111672091,0.5467450292364328,2.988444368307853,49.357142857142854,152.585,216.88858795166016,221.90452995300294,0.9625145820828485,0.9831422111672091,216.88858795166016,221.90452995300294,0.9982044526508876,0.9767349940538407,1302.7965898091643,1295.4451806223578,5.09968216078622,5.721443898677826,9.864989386506595,11.067745313611463,1.5234247648650008,1.4377981306977698,0.9781395380742082,0.9817927401056155,94.83469244384766,554.6563767635997
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,3.2701493835041275,0.7791783128182094,1.1459172042210897,nan,0.8101752797762553,2.9199251627922056,1000.0,nan,nan,0,0,0,30866,0.9632903654232732,0.9727241145601988,0.5924217443017873,3.221807632083221,55.333333333333336,151.84,217.22472974989148,219.4843238067627,0.9632903654232732,0.9727241145601988,217.22472974989148,219.4843238067627,0.9873206814130148,0.9774032536149025,1398.5337038746084,1358.3179640817473,5.152391698625353,6.41805958032608,9.900727060830677,12.332807729255379,1.6441760994143606,1.5296035383420572,0.9778303198837207,0.9723178765590874,91.70377465820313,568.5007923024419
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,3.3608990226908353,0.799562646150589,1.019496167699496,nan,0.6792062997817994,3.318757303953171,1000.0,nan,nan,0,0,0,31172,0.9638735106321284,0.9647884562814971,0.6901106911668775,3.3531865719456824,45.93333333333333,152.415,217.6619893391927,217.65121795654298,0.9638735106321284,0.9647884562814971,217.6619893391927,217.65121795654298,0.9765238801638285,0.9755523574352264,1552.6275821557256,1445.6450796777685,5.187868118286133,7.416119120121002,9.902659520455533,14.155969453201909,1.7553410434783991,1.5694475383791775,0.9756201380907104,0.9647246228640992,93.59034686279297,624.8368593357791
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,3.4149807064053435,0.8138553124666214,0.9186337055762609,nan,0.6199517349402109,3.687936794757843,1000.0,nan,nan,0,0,0,31048,0.9548225756101307,0.9588658330241492,0.8161607534635368,3.404142640150172,36.94444444444444,151.915,215.49283599853516,216.2953742980957,0.9548225756101307,0.9588658330241492,215.49283599853516,216.2953742980957,0.975944976011912,0.9716085493564606,1717.6060568293317,1548.7622970498694,5.225530756844415,8.707270965576171,9.908274540104578,16.510099210306674,1.8513535081381913,1.568075899527055,0.9719666029335162,0.9585319860817073,94.27589181518555,681.3387368658036
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,3.4744677424781703,0.8241563129425049,0.8389564945300421,nan,0.7266884368398915,4.033287425041198,1000.0,nan,nan,0,0,0,31914,0.9641837142012643,0.9533318875241812,0.9412413950061717,3.4578945712513356,49.608695652173914,153.865,217.58834838867188,214.97055725097655,0.9641837142012643,0.9533318875241812,217.58834838867188,214.97055725097655,0.9555122515429622,0.9672678950428962,1924.4161045181738,1641.9822925430153,5.268680759098219,10.264789171218872,9.92371335539288,19.334028772347175,1.9479026655042373,1.567124527936234,0.9660554295698089,0.9544511342218175,95.99728692626954,745.3160578250422
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,3.539148858985706,0.8320853122075399,0.7753113257884979,nan,0.7723836998144785,4.343128602504731,1000.0,nan,nan,0,0,0,31738,0.9773385372184712,0.950687503364891,1.0206274659524381,3.5132927492101476,54.94444444444444,153.745,220.3144031100803,214.4139256286621,0.9773385372184712,0.950687503364891,220.3144031100803,214.4139256286621,0.9306213061014811,0.9597821819782257,2167.3391974604615,1714.4581129387097,5.306345330344306,12.059302439689636,9.92824624305401,22.56312333387697,2.0176935792555217,1.5731036755673942,0.9573744032361092,0.9528880474445444,93.69688876342774,763.8074562840604
