algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,balance_kept_honest,balance_kept_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.801313002016974,0.3800186559557915,2.095591790676117,nan,0.5636371799877712,0.5638625544309616,1000.0,nan,nan,0,0,0,30800,1.0,1.0,225.45499093191964,225.54495796203614,4.983853203909738,4.983839049339294,9.901476044941065,9.901447923900088,1288.099957924811,1288.9794921870032,1.0,1.0,0.04203063671372939,1.8013130020169743,1.0,1.0,225.45499093191964,225.54495796203614,65.85714285714286,151.695,0.7457435828350274,0.8872339717300244,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.826018192991312,0.5540343201160431,1.8904570102691651,nan,0.6175785288214684,1.0229713463783263,1000.0,nan,nan,0,0,0,31168,0.9927724450826645,0.9303673622012139,224.68939113616943,238.919896774292,5.001506954431534,5.008218710422516,9.870525608199806,9.883771327937588,1245.0287333066929,1332.8565409353466,0.9972054732934891,1.0589896152253724,0.12651985962145917,1.822961043561204,0.9972054732934891,1.0589896152253724,224.68939113616943,238.919896774292,43.625,152.35,0.8050963331973571,0.9046004570464312,0.9349899609331731,1.054413012119307,102.75801922607423,572.9835358399528
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,1.860566088045786,0.6505336503187815,1.6799152608712513,nan,0.6197285334269206,1.5577172583341599,1000.0,nan,nan,0,0,0,31306,0.997949731349945,0.9684778732061387,221.5334930419922,228.0407559967041,5.030817953745524,5.088911190032959,9.862402167818335,9.976287994092415,1215.1379252137535,1254.694904403597,0.9822083439174617,1.0110966201699056,0.21130070198755097,1.8572950700838142,0.9822083439174617,1.0110966201699056,221.5334930419922,228.0407559967041,50.13333333333333,152.77,0.8696984492260562,0.9236170535312238,0.9705340493557065,1.0090811590360143,97.8623071899414,538.3320995178515
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,1.9040551440381843,0.7096036469936371,1.4801250322659811,nan,0.5978783577680588,2.0367329716682434,1000.0,nan,nan,0,0,0,31382,0.9975377500057221,0.9736455011367798,219.47941360473632,224.72496017456055,5.061853575706482,5.299710087776184,9.857309383955323,10.320504376341551,1247.667068249697,1260.7643627433256,0.9728350130579348,0.9960211392592293,0.3209787652394805,1.8989312848170916,0.9728350130579348,0.9960211392592293,219.47941360473632,224.72496017456055,42.2,152.69,0.9521597730705248,0.9411118487877645,0.9758175237612291,0.9939133096045665,98.66916061401368,554.2124278273182
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,1.9576772131107976,0.7507553160190582,1.2999800376097361,nan,0.5765125964369092,2.491774550676346,1000.0,nan,nan,0,0,0,31208,0.9982044526508876,0.9767349940538407,216.88858795166016,221.90452995300294,5.09968216078622,5.721443898677826,9.864989386506595,11.067745313611463,1302.7965898091643,1295.4451806223578,0.9625145820828485,0.9831422111672091,0.40063508737344194,1.9490766174582694,0.9625145820828485,0.9831422111672091,216.88858795166016,221.90452995300294,49.357142857142854,152.585,1.020011699407373,0.9575598181500601,0.9781395380742082,0.9817927401056155,94.83469244384766,554.6563767635997
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.021816348952396,0.7791783128182094,1.1459172042210897,nan,0.8101752797762553,2.9199251627922056,1000.0,nan,nan,0,0,0,30866,0.9873206814130148,0.9774032536149025,217.22472974989148,219.4843238067627,5.152391698625353,6.41805958032608,9.900727060830677,12.332807729255379,1398.5337038746084,1358.3179640817473,0.9632903654232732,0.9727241145601988,0.4321678774177073,2.0083522851809477,0.9632903654232732,0.9727241145601988,217.22472974989148,219.4843238067627,55.333333333333336,151.84,1.0626416405230037,0.9786566102923476,0.9778303198837207,0.9723178765590874,91.70377465820313,568.5007923024419
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.0968607055059048,0.799562646150589,1.019496167699496,nan,0.6792062997817994,3.318757303953171,1000.0,nan,nan,0,0,0,31172,0.9765238801638285,0.9755523574352264,217.6619893391927,217.65121795654298,5.187868118286133,7.416119120121002,9.902659520455533,14.155969453201909,1552.6275821557256,1445.6450796777685,0.9638735106321284,0.9647884562814971,0.5011037983959574,2.076436374009875,0.9638735106321284,0.9647884562814971,217.6619893391927,217.65121795654298,45.93333333333333,152.415,1.1312368286415244,0.9981446057339269,0.9756201380907104,0.9647246228640992,93.59034686279297,624.8368593357791
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.1834690621400186,0.8138553124666214,0.9186337055762609,nan,0.6199517349402109,3.687936794757843,1000.0,nan,nan,0,0,0,31048,0.975944976011912,0.9716085493564606,215.49283599853516,216.2953742980957,5.225530756844415,8.707270965576171,9.908274540104578,16.510099210306674,1717.6060568293317,1548.7622970498694,0.9548225756101307,0.9588658330241492,0.5897503385886176,2.152375274863555,0.9548225756101307,0.9588658330241492,215.49283599853516,216.2953742980957,36.94444444444444,151.915,1.2148003130985925,1.0147816896537458,0.9719666029335162,0.9585319860817073,94.27589181518555,681.3387368658036
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.2861974940096252,0.8241563129425049,0.8389564945300421,nan,0.7266884368398915,4.033287425041198,1000.0,nan,nan,0,0,0,31914,0.9555122515429622,0.9672678950428962,217.58834838867188,214.97055725097655,5.268680759098219,10.264789171218872,9.92371335539288,19.334028772347175,1924.4161045181738,1641.9822925430153,0.9641837142012643,0.9533318875241812,0.6748592789060704,2.2369110949714224,0.9641837142012643,0.9533318875241812,217.58834838867188,214.97055725097655,49.608695652173914,153.865,1.299680005332211,1.032031805977986,0.9660554295698089,0.9544511342218175,95.99728692626954,745.3160578250422
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.4057154313722795,0.8320853122075399,0.7753113257884979,nan,0.7723836998144785,4.343128602504731,1000.0,nan,nan,0,0,0,31738,0.9306213061014811,0.9597821819782257,220.3144031100803,214.4139256286621,5.306345330344306,12.059302439689636,9.92824624305401,22.56312333387697,2167.3391974604615,1714.4581129387097,0.9773385372184712,0.950687503364891,0.7283932517889923,2.3271260000558778,0.9773385372184712,0.950687503364891,220.3144031100803,214.4139256286621,54.94444444444444,153.745,1.3678863510957466,1.054714102454555,0.9573744032361092,0.9528880474445444,93.69688876342774,763.8074562840604
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,2.5162132404739745,0.8382736466328303,0.7244476705789566,nan,0.7710604918630499,4.636126413345337,1000.0,nan,nan,0,0,0,32034,0.9757674556029471,0.9533994409441948,209.1904706453022,213.5700128173828,5.360752908807052,14.058140268325806,9.963399020589897,26.128206870091,2258.450090059976,1751.134724440553,0.9267639309406306,0.9470033475710465,0.8160307301412403,2.425085746419035,0.9267639309406306,0.9470033475710465,209.1904706453022,213.5700128173828,60.10526315789474,154.46,1.4596527366523582,1.0704165396696617,0.9553400449556847,0.9452474164478599,93.3772430114746,786.2749931985005
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,2.5511549744647564,0.8436159793535868,0.6827646507819494,nan,0.8838460312949287,4.916050710678101,1000.0,nan,nan,0,0,0,31680,0.9593348999818166,0.9484124279022217,210.29856448703342,212.51576698303222,5.407847510443793,16.240090827941895,9.98414487131388,29.98298662015367,2501.3372595891697,1744.252812056747,0.9322633200080644,0.9420480433387888,0.8731636662267094,2.510248618202025,0.9322633200080644,0.9420480433387888,210.29856448703342,212.51576698303222,53.5,153.585,1.5279976470168353,1.0874050004905866,0.9493142833950323,0.9412401304032243,92.57705511474609,787.7492661679089
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,2.5916337399057556,0.8478313134113947,0.6485277942816416,nan,0.9096815586090088,5.18063460111618,1000.0,nan,nan,0,0,0,30700,0.9500361951914701,0.9439676314592361,209.852914983576,211.2109210205078,5.429977200248024,18.589391269683837,9.958390368829022,34.0923006037591,2697.1517459749516,1701.0136563578521,0.9312343562979897,0.9366166894936285,0.9094380610744824,2.5588235439412426,0.9312343562979897,0.9366166894936285,209.852914983576,211.2109210205078,39.0,151.355,1.5691922542211865,1.0954360463627242,0.9442840020803479,0.9363360939241876,89.10113253784179,739.7428009545898
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,2.6323584011629695,0.8513499762614568,0.6198985709746678,nan,0.8688288892016691,5.43635085105896,1000.0,nan,nan,0,0,0,30976,0.9265543327612036,0.9409359344840049,212.54019703584558,209.86897171020507,5.50021224863389,21.09191925048828,10.020174687441465,38.424829048332555,2944.0176576552717,1626.8113050958304,0.9425877357438606,0.9299593169817493,0.955878337605067,2.595633047720917,0.9425877357438606,0.9299593169817493,212.54019703584558,209.86897171020507,37.0,151.735,1.611780221651407,1.0974573857902958,0.939809265224615,0.9309486401105783,91.17395538330078,750.8211223986114
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,2.682587496033151,0.8547096447149912,0.595413312514623,nan,0.9523765047391256,5.671397936344147,1000.0,nan,nan,0,0,0,30632,0.9421774413850572,0.9370246440172195,207.91099378797742,208.4122344970703,5.493912908766005,23.7379896068573,9.942195942564519,42.9580424504664,3097.2910746193,1537.395718311257,0.9196267529225365,0.9241063797496075,0.9869523880392915,2.633259269807884,0.9196267529225365,0.9241063797496075,207.91099378797742,208.4122344970703,42.55555555555556,151.245,1.6454751407467283,1.1028269505471358,0.9372465348129637,0.9239134771589681,87.10729168701172,670.7095266676502
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,2.7427850217507546,0.8574953116973241,0.5745848272244135,nan,0.9323403108865023,5.90280377626419,1000.0,nan,nan,0,0,0,31250,0.9177841804921627,0.9349002319574357,209.7518129348755,206.8052660369873,5.522093802690506,26.513990106582643,9.926794480822462,47.66288658957018,3326.3499121696814,1435.9563140327873,0.9314717880637763,0.9167398660427141,1.0366987854478156,2.6743799825071233,0.9314717880637763,0.9167398660427141,209.7518129348755,206.8052660369873,45.8125,152.585,1.6917712642715388,1.1053226708161628,0.9336323762933413,0.9178311195257558,89.43416442871094,680.8257228025449
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,2.8015235127043665,0.8599156457185745,0.5564424699544906,nan,1.0183330151167782,6.0922573280334475,1000.0,nan,nan,0,0,0,31002,0.929807104847648,0.9284131234884262,205.95779835094106,206.0000708770752,5.538831970908425,29.415078020095827,9.890725404163243,52.5266808899222,3460.403307536449,1350.4214775585767,0.9119582285998448,0.9131461011570401,1.0634489978718977,2.7183013749091423,0.9119582285998448,0.9131461011570401,205.95779835094106,206.0000708770752,53.09090909090909,152.09,1.7253899486867954,1.114693683681498,0.9284857955024141,0.9130841741516886,86.93109991455079,616.2974637892326
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,2.854255591537823,0.8619356443484624,0.540779793659846,nan,0.7701849471777678,6.277973763942718,1000.0,nan,nan,0,0,0,31054,0.9122839383780956,0.923534378707409,207.1548547744751,204.86699172973633,5.546119570732117,32.4188236618042,9.837933583518605,57.505834479967795,3677.702455751047,1261.027479714034,0.9176677716371847,0.9081761709601262,1.1292453097358592,2.765254633021785,0.9176677716371847,0.9081761709601262,207.1548547744751,204.86699172973633,40.125,152.06,1.7836490390502298,1.1124611534473616,0.9227010127570894,0.90887925249176,88.57575204467773,622.0974704696471
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,2.927571696271482,0.8640046453475952,0.5269031316041947,nan,0.8340717889368534,6.4821646118164065,1000.0,nan,nan,0,0,0,30858,0.8856582827866077,0.9231583589315414,209.83509826660156,202.88281425476075,5.579396903514862,35.521608142852784,9.831201972626703,62.59101298652695,3900.749499458457,1183.4792286047216,0.9307764417212301,0.8994537451917124,1.1878871966661166,2.81843788391274,0.9307764417212301,0.8994537451917124,209.83509826660156,202.88281425476075,35.0,151.49,1.840107471564766,1.1131856943687766,0.9203805755133982,0.9017739449346396,87.86784884643555,598.2156754245593
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,3.024090906826263,0.8656033128499985,0.5147458961606026,nan,0.9417090036652305,6.642258830070496,1000.0,nan,nan,0,0,0,31020,0.9208426746455106,0.9181395605206489,201.35541742498225,201.78853309631347,5.623868942260742,38.73148401260376,9.84372009612177,67.79352282953857,3971.8372934228387,1115.4704057853937,0.8924190071637838,0.8946543720794294,1.2306851379394155,2.8763242756539387,0.8924190071637838,0.8946543720794294,201.35541742498225,201.78853309631347,53.81818181818182,152.14,1.8889407930252247,1.1199590112631743,0.9182804811622294,0.8945378364677133,85.145232421875,533.5685827694599
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,3.123361819005933,0.8671573132276535,0.5038357884685198,nan,0.7797818561395009,6.7998860383033755,1000.0,nan,nan,0,0,0,30732,0.909651509920756,0.9143807229399681,201.1309377034505,200.47037269592286,5.609916496276855,42.025499420166014,9.754054211875797,73.07042803533814,4114.850995987415,1054.5276908953188,0.89270184040002,0.8888298882633342,1.276046179616452,2.939862896567853,0.89270184040002,0.8888298882633342,201.1309377034505,200.47037269592286,32.333333333333336,151.235,1.9415728663970124,1.1283056546771322,0.9140507778456045,0.889100024458917,86.22207720947266,545.2566062377499
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,3.2249931558392353,0.8685133115450541,0.4940817532936732,nan,0.9348542392253876,6.948313813209534,1000.0,nan,nan,0,0,0,30810,0.8794919649759928,0.9108249285817146,204.8383903503418,199.16481025695802,5.648197094599406,45.40194019317627,9.755360314923433,78.41657756676639,4334.308407525075,1002.2021935428534,0.9082661606734708,0.8828681539951155,1.3056938322877076,3.0096882671256857,0.9082661606734708,0.8828681539951155,204.8383903503418,199.16481025695802,40.833333333333336,151.6,1.987291606222899,1.1443895330668687,0.9090513646040322,0.8843057770146451,84.5820454711914,504.9042791977431
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,3.3432353448777508,0.8698383108774821,0.48527286847432455,nan,0.9350068506441618,7.06326979637146,1000.0,nan,nan,0,0,0,31378,0.8606157616565102,0.9042608538269996,206.23794314735815,198.35649688720704,5.689241685365376,48.8553736114502,9.76096057370034,83.82055149132573,4548.687334465668,958.3104812336518,0.9143772693728114,0.8793512624671886,1.3537974607927306,3.084294411671634,0.9143772693728114,0.8793512624671886,206.23794314735815,198.35649688720704,43.68421052631579,152.74,2.0459962411442922,1.1554733070443497,0.9004742933190577,0.8823900484544346,87.17964059448242,556.1743112031561
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,3.46651654439744,0.8708789799610773,0.4773714018861453,nan,0.9838805565467248,7.1597378015518185,1000.0,nan,nan,0,0,0,30674,0.90300085911384,0.8967077362537385,196.30638122558594,197.73639793395995,5.746243440187895,52.36854288101196,9.793251314887899,89.2510571065301,4567.637017738158,923.95975096591,0.8716026793513432,0.8766027769283758,1.410288461008121,3.1644067659760036,0.8716026793513432,0.8766027769283758,196.30638122558594,197.73639793395995,33.07692307692308,151.22,2.1119357829952743,1.16397483966223,0.8970918235644488,0.8762976066537211,84.19852508544922,488.342462847556
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,24,3.5739282231705976,0.8718243112166723,0.4702171422044436,nan,0.8205784300963084,7.253122992515564,1000.0,nan,nan,0,0,0,30930,0.8472693701585133,0.8900558543205261,204.39366455078124,197.0463655090332,5.723551305135091,55.93233959197998,9.689763162541356,94.6914065899736,4794.663196396052,888.9877876455764,0.9067700297381098,0.8731129892191877,1.4580209380842784,3.248885220489374,0.9067700297381098,0.8731129892191877,204.39366455078124,197.0463655090332,38.13333333333333,151.79,2.1743666510463164,1.1767115594695008,0.8870707507743392,0.8754611548367869,84.95035614013672,499.4350109501122
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,25,3.6025706469406114,0.8728789766629537,0.46364581912755964,nan,0.7355416417121887,7.347210252285004,1000.0,nan,nan,0,0,0,30858,0.9279683927694956,0.884628147482872,188.31680043538412,195.99465354919434,5.71163809299469,59.54448810577392,9.605344969448437,100.13683289679494,4568.53125156543,859.1201485130505,0.8348990551884136,0.8686524721561429,1.5239614966526827,3.340081349572495,0.8348990551884136,0.8686524721561429,188.31680043538412,195.99465354919434,42.833333333333336,151.72,2.250409437820607,1.1831655949676416,0.8870813689141903,0.8667419013843844,82.91746463012696,453.2928094427905
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,26,3.633620970550489,0.8737616439660391,0.4575504465897878,nan,0.9250296308444097,7.4109030532836915,1000.0,nan,nan,0,0,0,30894,0.8635489023648776,0.8766086754202843,197.74895418607272,195.3970458984375,5.79939838556143,63.20528038024902,9.688129431132166,105.58697581103864,4850.654600531683,835.3782403562093,0.8762624210197646,0.8661926622951586,1.5733891024476516,3.4290191647229373,0.8762624210197646,0.8661926622951586,197.74895418607272,195.3970458984375,41.46153846153846,151.775,2.315641127357766,1.1953497486326077,0.8758116000694848,0.8668072485083974,83.3002911682129,460.2683157563076
