algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,balance_kept_honest,balance_kept_attacker,balance_local_norm_honest,balance_local_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,balance_threshold_honest,balance_threshold_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3800129892428716,2.095600757598877,nan,203.47300720214844,203.5543684387207,1000.0,0.0,nan,0,30800,0,0,1288.099957924811,1288.9794921870032,0.0,0.0,4.983853203909738,4.983839049339294,1.0,1.0,0.04447437226608758,1.9060445256894676,225.45499093191964,225.54495796203614,225.45499093191964,225.54495796203614,9.901476044941065,9.901447923900088,1.0,1.0,1.0,1.0,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.976972811591185,0.5541239867607752,1.890436483224233,nan,201.3656940460205,198.978455657959,1000.0,0.0,nan,0,31168,0,0,1245.4868241783258,1332.4716010188088,0.0,0.0,5.000569611787796,5.000243427753449,0.9972790902253806,1.058393477703344,0.13517188521039794,1.9625237754616816,224.70615768432617,238.7852864074707,224.70615768432617,238.7852864074707,9.868675752815625,9.868032025256442,0.9972790902253806,1.058393477703344,0.9926980882883072,0.9309694910049439,0.8661126413109114,0.9731822093160186,0.9355419796926004,1.0538664860383096,102.70471160888673,572.8442187812299
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.1006010330494584,0.6505793168147405,1.6798792938391367,nan,200.0247833251953,207.8747644805908,1000.0,0.0,nan,0,31306,0,0,1215.7393528438556,1256.6089487659037,0.0,0.0,5.02663288116455,5.026425187587738,0.9823099517280803,1.0093257186636242,0.22737058984801597,2.084890401612252,221.5564422607422,227.64125106811522,221.5564422607422,227.64125106811522,9.85419776263521,9.85379060069832,0.9823099517280803,1.0093257186636242,0.9978460709253947,0.9702845492959022,0.9703785145537105,1.031037681377162,0.9722074461537739,1.0074408977146327,97.70319369506836,539.1157600916771
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.2766037484986508,0.7095859817663829,1.48006751537323,nan,198.33137969970704,209.2691716003418,1000.0,0.0,nan,0,31382,0,0,1247.5223462729468,1271.6234015686846,0.0,0.0,5.060920643806457,5.060172023773194,0.9727280467768239,0.9930797857538814,0.34880857231919254,2.2483098192914266,219.45529708862304,224.0614183807373,219.45529708862304,224.0614183807373,9.855492618962982,9.854034777646843,0.9727280467768239,0.9930797857538814,0.997647973895073,0.9766764321923256,1.108609071108086,1.09838914184358,0.9785829359834844,0.9912296276650582,98.40277923583984,558.5502544783917
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.4296297547824577,0.7507793160279592,1.2999575718243916,nan,195.77940259660994,209.97928604125977,1000.0,0.0,nan,0,31208,0,0,1303.0857201212773,1324.045421169718,0.0,0.0,5.099151713507516,5.098908236026764,0.9625832785554981,0.9800180807697002,0.43825297504419486,2.4242540982123297,216.90409088134766,221.1995004272461,216.90409088134766,221.1995004272461,9.863963272209757,9.863492281530778,0.9625832785554981,0.9800180807697002,0.998132952622005,0.9799866226315498,1.2326534243114489,1.1643197093211646,0.9811737657150376,0.9788774862323224,94.55311471557617,566.1045686312829
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.4829835040152073,0.779172314008077,1.145863382021586,nan,196.88438754611545,210.2371482849121,1000.0,0.0,nan,0,30866,0,0,1399.9276519291407,1415.4996189677413,0.0,0.0,5.14187150531345,5.140086035728455,0.9627994705066502,0.9691221651875503,0.4761440700483792,2.4744276077080474,217.11386108398438,218.67170783996582,217.11386108398438,218.67170783996582,9.880511679566844,9.87708075892446,0.9627994705066502,0.9691221651875503,0.9878367450502183,0.9811898788809776,1.2754574851122467,1.1824602086669955,0.9814761075676913,0.968849896038612,91.37673263549804,591.3985453218211
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.5419341461529523,0.7995879795153936,1.0194495252768199,nan,191.53790995279948,209.9457593536377,1000.0,0.0,nan,0,31172,0,0,1552.3052372652237,1545.5919932398524,0.0,0.0,5.1820014953613285,5.181598043441772,0.9637665350729056,0.960761416440267,0.556922798563005,2.529751975940888,217.63781331380207,216.7426094818115,217.63781331380207,216.7426094818115,9.891461246321605,9.890691132875938,0.9637665350729056,0.960761416440267,0.9766374707221985,0.9798284155130387,1.3460544695141583,1.1960505072260423,0.9796057914578638,0.9609710758797535,93.22617819213868,664.8059544138976
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.6071387156660086,0.8138236463069916,0.9185844604174296,nan,188.67064751519098,209.23377311706543,1000.0,0.0,nan,0,31048,0,0,1717.7446589045894,1710.5425130464625,0.0,0.0,5.223386579089695,5.222044858932495,0.9547997775091355,0.9543029752724465,0.6616648649579088,2.5900654883218612,215.48753356933594,215.26623352050783,215.48753356933594,215.26623352050783,9.90420890489064,9.90166483189746,0.9547997775091355,0.9543029752724465,0.9759694271617465,0.976502251625061,1.4330251143034896,1.205529801027148,0.9764582569446039,0.9543439956406135,93.86404461669922,746.0558129391501
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.6859046004080804,0.8241426461935043,0.8388760491212209,nan,186.35759171195653,208.51342247009276,1000.0,0.0,nan,0,31914,0,0,1924.1945050058089,1893.7346183806408,0.0,0.0,5.261906333591627,5.260642924308777,0.9638231668529794,0.9479090873376202,0.7658275798167868,2.656144854606981,217.5070973271909,213.74803337097168,217.5070973271909,213.74803337097168,9.910953528037846,9.908573859929867,0.9638231668529794,0.9479090873376202,0.9559028278226438,0.9731423443555832,1.5219544897328647,1.2160549589816347,0.9713642776279706,0.9495504497988456,95.50453982543945,846.0067945825235
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.7625461871570587,0.8321333114306132,0.775202511548996,nan,183.28940667046442,207.13249656677246,1000.0,0.0,nan,0,31738,0,0,2168.358790374602,2094.9822080743033,0.0,0.0,5.297805176840888,5.297094948291779,0.976950058063178,0.9443637859268111,0.8319931135324538,2.72610763820863,220.22680494520398,212.98834983825682,220.22680494520398,212.98834983825682,9.912267496542633,9.91093864900531,0.976950058063178,0.9443637859268111,0.9310463700029585,0.9667014309763908,1.5896389234029242,1.2314057825085531,0.9637574351161992,0.9470543955527496,93.12350491333008,916.053799683207
