algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,balance_threshold_honest,balance_threshold_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3800129892428716,2.095600757598877,nan,9.638195582798549,9.642049570083618,1000.0,0.0,nan,0,30800,0,0,1288.099957924811,1288.9794921870032,9.901476044941065,9.901447923900088,1.0,1.0,0.04447437226608758,1.9060445256894676,225.45499093191964,225.54495796203614,1.0,1.0,4.983853203909738,4.983839049339294,0.0,0.0,1.0,1.0,225.45499093191964,225.54495796203614,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.976972811591185,0.5541239867607752,1.8904364824295044,nan,9.538375437259674,9.425294528007507,1000.0,0.0,nan,0,31168,0,0,1245.4868189091076,1332.4718413634907,9.868675752815625,9.868032067603378,0.9972790828489345,1.0583935930709607,0.13517188554636694,1.9625237290091389,224.70615673065186,238.78531158447265,0.9926980957388878,0.9309693744778633,5.000569611787796,5.000243449211121,0.0,0.0,0.9972790828489345,1.0583935930709607,224.70615673065186,238.78531158447265,0.8661126229314758,0.9731821893348637,0.9355418723490503,1.0538665923137733,102.70472164916993,572.8443147504877
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.10060122342691,0.6505793168147405,1.6798792938391367,nan,9.474858601888021,9.846697001457214,1000.0,0.0,nan,0,31306,0,0,1215.7393528438556,1256.6075840961057,9.85419776263521,9.853790610046222,0.9823099517280803,1.0093259842024935,0.22737059018398498,2.084889802566507,221.5564422607422,227.6413111114502,0.9978460709253947,0.9702842783927917,5.02663288116455,5.026425192356109,0.0,0.0,0.9823099517280803,1.0093259842024935,221.5564422607422,227.6413111114502,0.9703782751369938,1.0310374249553402,0.9722071941508803,1.0074411447275347,97.70321771240235,539.1152142237581
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.2766036187556695,0.7095859817663829,1.4800676035881042,nan,9.394644784927369,9.912749967575074,1000.0,0.0,nan,0,31382,0,0,1247.5223513701908,1271.6261845367526,9.855492618962982,9.854034791575529,0.9727280438846707,0.9930798354989142,0.3488085731821744,2.2483091038246967,219.45529708862304,224.06143028259277,0.9976479768753052,0.9766763809323311,5.060920643806457,5.0601720309257505,0.0,0.0,0.9727280438846707,0.9930798354989142,219.45529708862304,224.06143028259277,1.1086087854391833,1.0983888582324963,0.9785828896544196,0.9912296726248921,98.40278399658203,558.5513678695087
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.429629849983241,0.7507789826393128,1.2999577116966248,nan,9.273761817387172,9.946387777328491,1000.0,0.0,nan,0,31208,0,0,1303.0857135408478,1324.0430618161479,9.863963272209757,9.863492286142826,0.9625832744649614,0.9800180544266442,0.4382529765412753,2.4242542346587634,216.90408979143416,221.19949363708497,0.9981329568794796,0.9799866500496864,5.099151713507516,5.098908238410949,0.0,0.0,0.9625832744649614,0.9800180544266442,216.90408979143416,221.19949363708497,1.2326534797882704,1.1643197647909374,0.9811737916179907,0.9788774613450386,94.55311196899414,566.1036247056029
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.482983724319528,0.7791736473639806,1.145863609711329,nan,9.326099077860514,9.958612341880798,1000.0,0.0,nan,0,30866,0,0,1399.9288725766683,1415.5019522172631,9.880511679566844,9.877080790994267,0.9627998673904938,0.9691211908377143,0.47614402231029773,2.4744281798889123,217.11394924587674,218.67148918151855,0.9878363278177049,0.9811909031867981,5.14187150531345,5.140086052417755,0.0,0.0,0.9627998673904938,0.9691211908377143,217.11394924587674,218.67148918151855,1.2754576853417434,1.1824604160983125,0.9814770697976984,0.9688489807371162,91.3766467590332,591.3995005932852
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.541934036682974,0.7995879795153936,1.0194496830304465,nan,9.072848701477051,9.94481035232544,1000.0,0.0,nan,0,31172,0,0,1552.3052372652237,1545.5899243013116,9.891461246321605,9.89069111012114,0.9637665388151416,0.9607603889158085,0.5569227507589353,2.5297533854896934,217.63781331380207,216.74237686157227,0.9766374667485554,0.9798295065760613,5.1820014953613285,5.181598031520844,0.0,0.0,0.9637665388151416,0.9607603889158085,217.63781331380207,216.74237686157227,1.3460550046512387,1.196051044760167,0.9796068061229795,0.9609701203041342,93.22608514404297,664.8051268384813
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.6071371438415403,0.813822979927063,0.9185845373074214,nan,8.937031004163954,9.911070852279662,1000.0,0.0,nan,0,31048,0,0,1717.7446702884727,1710.542398739733,9.904208854660405,9.90166475956592,0.9547997775091355,0.9543032259157074,0.6616648171538392,2.5900669920948642,215.48753356933594,215.26628868103026,0.9759694271617465,0.9765019828081131,5.2233865525987415,5.222044820785523,0.0,0.0,0.9547997775091355,0.9543032259157074,215.48753356933594,215.26628868103026,1.433025687130249,1.2055303672701703,0.9764580103235507,0.9543442255885594,93.86406668090821,746.0557676262781
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.685882438923263,0.8241423128048578,0.8388761428991953,nan,8.82746522322945,9.876932411193847,1000.0,0.0,nan,0,31914,0,0,1924.194500611419,1893.7314166630877,9.910953528037846,9.90857386442055,0.9638231644607175,0.947910846941881,0.765827530941828,2.6561446540864324,217.5070960003397,213.74843078613281,0.95590283041415,0.9731404381990433,5.261906333591627,5.260642926692963,0.0,0.0,0.9638231644607175,0.947910846941881,217.5070960003397,213.74843078613281,1.52195438019967,1.2160548733568992,0.9713625683378211,0.9495520276725233,95.50469873046875,846.0055136933604
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.762541298593299,0.8321333114306132,0.7752025949954987,nan,8.682186073727078,9.81152982711792,1000.0,0.0,nan,0,31738,0,0,2168.3528543758175,2094.9908895123726,9.912267942627123,9.910938608857705,0.9769448981133492,0.9443646526168006,0.8319932148863945,2.7261069050314433,220.22563086615668,212.98854499816895,0.9310520158873664,0.9667004826664924,5.297805415259467,5.297094926834107,0.0,0.0,0.9769448981133492,0.9443646526168006,220.22563086615668,212.98854499816895,1.5896386909444138,1.2314055428429271,0.96375703128106,0.947054764630277,93.12354071044922,916.0570585624785
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,2.853288185723632,0.8382489800453186,0.7243224849303563,nan,8.812460748772873,9.754848604202271,1000.0,0.0,nan,0,32034,0,0,2258.7806327434314,2303.8771988107833,9.909587541514806,9.908730515708504,0.9262993818216492,0.940021612542806,0.938698472413585,2.8012324018338823,209.08576644094367,211.99524620056152,0.9762808617792631,0.9611154514551162,5.331799933784886,5.331338815689087,0.0,0.0,0.9262993818216492,0.940021612542806,209.08576644094367,211.99524620056152,1.683712044181704,1.2375770608191952,0.9624311719855217,0.938831099375217,92.74335760498047,1007.3845435685638
