algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3800129892428716,2.095600757598877,nan,10.709105900355748,10.71338816165924,1000.0,0.0,nan,0,30800,0,0,1.0,1.0,1.0,1.0,0.04447437226608758,1.9060445256894676,225.45499093191964,225.54495796203614,0.0,0.0,9.901476044941065,9.901447923900088,4.983853203909738,4.983839049339294,1.0,1.0,225.45499093191964,225.54495796203614,1288.099957924811,1288.9794921870032,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.976972811591185,0.5541239867607752,1.8904364836215972,nan,11.732437551021576,19.449019985198973,1000.0,0.0,nan,0,31168,0,0,0.9972790828489345,1.0583935939561342,0.9972790828489345,1.0583935939561342,0.13517188554636694,1.9625237283856192,224.70615673065186,238.7853116607666,0.0,0.0,9.868675752815625,9.868032048782517,5.000569611787796,5.000243439674377,0.9926980957388878,0.9309693735837936,224.70615673065186,238.7853116607666,1245.4868189091076,1332.471843983219,0.8661126226820678,0.9731821890549578,0.935541871521208,1.0538665931333786,102.7047216796875,572.8443157983791
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.1006011628220493,0.6505793168147405,1.6798792934417726,nan,11.771673838297525,29.651837043762207,1000.0,0.0,nan,0,31306,0,0,0.9823099556230399,1.0093259850788596,0.9823099556230399,1.0093259850788596,0.22737058978748606,2.0848898006046026,221.5564422607422,227.64130981445314,0.0,0.0,9.85419776263521,9.853790628742027,5.02663288116455,5.026425201892852,0.9978460669517517,0.970284277498722,221.5564422607422,227.64130981445314,1215.7393528438556,1256.6075799422042,0.9703782741143328,1.0310374238657425,0.9722071930419567,1.0074411458145003,97.70321719360352,539.1152125621974
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.2766034890128393,0.7095863149563472,1.48006760319074,nan,11.361947965621948,38.81836446762085,1000.0,0.0,nan,0,31382,0,0,0.9727280467768239,0.9930798314499001,0.9727280467768239,0.9930798314499001,0.34880857225866263,2.2483091131231574,219.45529708862304,224.06142906188964,0.0,0.0,9.855492665391937,9.854034791575529,5.060920667648316,5.0601720309257505,0.997647973895073,0.9766763851046563,219.45529708862304,224.06142906188964,1247.5223462729468,1271.6261824414514,1.1086087886044604,1.0983888615648778,0.9785828931765123,0.9912296692068933,98.40278350830079,558.5513668274984
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.429629849983241,0.7507789826393128,1.2999577112992604,nan,10.952295712062291,47.501326179504396,1000.0,0.0,nan,0,31208,0,0,0.9625832744649614,0.980018205612879,0.9625832744649614,0.980018205612879,0.4382529756177636,2.4242541887476396,216.90408979143416,221.19952850341798,0.0,0.0,9.863963272209757,9.863492286142826,5.099151713507516,5.098908238410949,0.9981329568794796,0.9799864926934242,216.90408979143416,221.19952850341798,1303.0857135408478,1324.043550994707,1.2326534608697142,1.1643197453327616,0.9811736445560634,0.9788776026405854,94.55312591552735,566.1038203770265
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.4829837429777215,0.7791736473639806,1.1458636085192362,nan,15.404112286037869,55.69358652114868,1000.0,0.0,nan,0,30866,0,0,0.962799879989981,0.9691211451960723,0.962799879989981,0.9691211451960723,0.4761440200853639,2.474428135995942,217.11395263671875,218.67147827148438,0.0,0.0,9.880511679566844,9.877080772668663,5.14187150531345,5.140086042881012,0.9878363145722283,0.9811909511685372,217.11395263671875,218.67147827148438,1399.9288941041539,1415.501337713699,1.2754576664495951,1.1824603971635304,0.9814771151428587,0.9688489376034655,91.37664245605468,591.3992551793544
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.5419341461006195,0.7995876463254293,1.0194496806462605,nan,12.908051109313964,63.33287691116333,1000.0,0.0,nan,0,31172,0,0,0.9637665313306696,0.9607603600070351,0.9637665313306696,0.9607603600070351,0.5569227494527935,2.529753345377202,217.63781331380207,216.74237045288086,0.0,0.0,9.891461246321605,9.890691082815378,5.1820014953613285,5.1815980172157285,0.9766374746958415,0.9798295372724533,217.63781331380207,216.74237045288086,1552.3052372652237,1545.590373026212,1.3460549878225567,1.1960510283228039,0.9796068352322246,0.9609700928900794,93.22608258056641,664.8053063284415
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.6071371974141844,0.813822979927063,0.9185845388968785,nan,11.779535823398167,70.42377834320068,1000.0,0.0,nan,0,31048,0,0,0.954799765159135,0.9543034006990899,0.954799765159135,0.9543034006990899,0.661664816857032,2.5900667882548047,215.48753102620444,215.26632774353027,0.0,0.0,9.904208854660405,9.901664773128084,5.2233865525987415,5.22204482793808,0.9759694404072232,0.9765017953515053,215.48753102620444,215.26632774353027,1717.7446449197196,1710.5425807904962,1.433025605416141,1.2055302887819026,0.9764578394386747,0.9543443849205616,93.86408221435546,746.0558395333082
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.6858826223760635,0.8241423128048578,0.8388761434952418,nan,13.815433377804963,77.09776844024658,1000.0,0.0,nan,0,31914,0,0,0.963823169245241,0.9479113077513145,0.963823169245241,0.9479113077513145,0.7658275295438361,2.656144080412579,217.5070973271909,213.74853462219238,0.0,0.0,9.910953528037846,9.908573837476451,5.261906333591627,5.260642912387848,0.9559028252311375,0.9731399390101433,217.5070973271909,213.74853462219238,1924.1945237555278,1893.7333790346654,1.5219541498913334,1.2160546597040864,0.971362120100201,0.9495524414479974,95.50474032592773,846.0062997066204
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.7625413435945,0.8321333114306132,0.775202600757281,nan,14.685192743937174,83.11454765319824,1000.0,0.0,nan,0,31738,0,0,0.9769450433787991,0.9443645172475595,0.9769450433787991,0.9443645172475595,0.8319932067096121,2.7261062887908696,220.22566562228732,212.98851646423338,0.0,0.0,9.912267992192067,9.910938608857705,5.297805441750421,5.297094926834107,0.931051856941647,0.9667006307840347,220.22566562228732,212.98851646423338,2168.3590371358414,2094.9948748738248,1.5896384395421148,1.231405304653578,0.963757154044755,0.9470546524327077,93.1235305480957,916.0588752864203
