algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,0,1.9060445256894678,0.4572629880309105,1.972793643951416,nan,0.5643462240695953,0.0,1000.0,nan,nan,0,0,0,116,4.986656218767166,0.0,0.06099342482206297,0.0,1.0,0.0,225.73837089538574,0.0,955.1733451340266,0.0,225.73837089538574,0.0,1.0,0.0,1.0,0.0,7.25,0.0,9.940123408521481,0.0,0.06099342482206297,0.3354638365213463,1.0,1.0,7.223627868652343,30.565547044288852
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,1,1.9374729703746503,0.5713081841468811,1.706316811800003,nan,0.5934010545412699,0.0,1000.0,nan,nan,0,0,0,210,5.0095506111780805,0.0,0.14595653608614217,0.0,0.9901104420423508,0.0,225.89192581176758,0.0,1112.8882884945128,0.0,225.89192581176758,0.0,1.0018426719546796,0.0,1.0018426719546796,0.0,8.75,0.0,9.952529366954039,0.0,0.14595653608614217,0.5089331504443152,0.9901104420423508,1.0018426719546796,10.842812438964843,53.41863784773662
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,2,2.0311419890058953,0.6216351833343506,1.4819783639907838,nan,0.5916617623081913,0.0,1000.0,nan,nan,0,0,0,272,5.042869832780626,0.0,0.24772323100023896,0.0,0.9984764125612047,0.0,222.3929556387442,0.0,1184.095949263233,0.0,222.3929556387442,0.0,0.9856267240782968,0.0,0.9856267240782968,0.0,10.074074074074074,0.0,9.985384879126308,0.0,0.24772323100023896,0.6466243277951119,0.9984764125612047,0.9856267240782968,12.009219604492188,63.94118126021458
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,3,2.088734866909077,0.6507399837970733,1.3058977332115174,nan,0.5865078696182796,0.0,1000.0,nan,nan,0,0,0,308,5.073544263839722,0.0,0.3513292693123262,0.0,0.9979722521134785,0.0,220.76640919276647,0.0,1334.6112783433696,0.0,220.76640919276647,0.0,0.9782653710425121,0.0,0.9782653710425121,0.0,11.0,0.0,10.012691982002268,0.0,0.3513292693123262,0.7500136393647598,0.9979722521134785,0.9782653710425121,12.362918914794921,74.7382315872287
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,4,2.1488509653154715,0.6733067831993103,1.1762680723667145,nan,0.5650763442883124,0.0,1000.0,nan,nan,0,0,0,244,5.108772901388315,0.0,0.4523740307375404,0.0,0.9990727351262019,0.0,218.52673985407904,0.0,1528.0499728929017,0.0,218.52673985407904,0.0,0.9694046442128018,0.0,0.9694046442128018,0.0,9.384615384615385,0.0,10.048664625145697,0.0,0.4523740307375404,0.8279754142855267,0.9990727351262019,0.9694046442128018,11.36339047241211,79.4585985904309
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,5,2.1928147881200895,0.6903047816753387,1.0821381239891052,nan,0.7038369327783585,0.0,1000.0,nan,nan,0,0,0,178,5.145413970947265,0.0,0.5110786531258955,0.0,0.9803328007459641,0.0,221.09494400024414,0.0,1807.0647514943041,0.0,221.09494400024414,0.0,0.9796854764933052,0.0,0.9796854764933052,0.0,8.9,0.0,10.087055895873107,0.0,0.5110786531258955,0.8672206102930743,0.9803328007459641,0.9796854764933052,8.843797760009766,72.28259005977216
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,6,2.1928147881200895,0.7022083822488785,1.0117170659303665,nan,0.6467976488850333,0.0,1000.0,nan,nan,0,0,0,182,5.17387749932029,0.0,0.5827122263464004,0.0,0.9712885997512124,0.0,221.193339954723,0.0,2069.2363697581804,0.0,221.193339954723,0.0,0.9804995927289297,0.0,0.9804995927289297,0.0,8.272727272727273,0.0,10.10910248893998,0.0,0.5827122263464004,0.9080535112186244,0.9712885997512124,0.9804995927289297,9.732506958007813,91.04640026935994
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,7,2.306525886344287,0.7105217815637589,0.9577411057949066,nan,0.6319671211571529,0.0,1000.0,nan,nan,0,0,0,320,5.199319296869739,0.0,0.6779186051757025,0.0,0.9727687835693359,0.0,218.8602189688847,0.0,2313.3384332998303,0.0,218.8602189688847,0.0,0.9712873167434908,0.0,0.9712873167434908,0.0,11.03448275862069,0.0,10.125006211397755,0.0,0.6779186051757025,0.9542006978584447,0.9727687835693359,0.9712873167434908,12.693892700195313,134.1736291313902
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,8,2.3343009883280597,0.7170013827085495,0.9147541717290878,nan,0.7106303305461489,0.0,1000.0,nan,nan,0,0,0,330,5.230085027628932,0.0,0.7505068652209153,0.0,0.9310559034347534,0.0,226.10580233869882,0.0,2628.969569093934,0.0,226.10580233869882,0.0,1.00267490679706,0.0,1.00267490679706,0.0,11.379310344827585,0.0,10.151025310282844,0.0,0.7505068652209153,0.9854783262522666,0.9310559034347534,1.00267490679706,13.114136535644532,152.4802350074482
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,9,2.4111788129895197,0.722885381937027,0.8795855711698533,nan,0.6889527793283816,0.0,1000.0,nan,nan,0,0,0,254,5.254114292286061,0.0,0.8187308454531625,0.0,0.9101504396509241,0.0,228.90048782913775,0.0,2894.1762006096064,0.0,228.90048782913775,0.0,1.0141386876910745,0.0,1.0141386876910745,0.0,9.407407407407407,0.0,10.163727874543394,0.0,0.8187308454531625,1.0094422868341355,0.9101504396509241,1.0141386876910745,12.360626342773438,156.28551483291878
