algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,trust_honest,trust_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,0.23904768922901146,0.3795523226261139,2.0957297333081564,nan,1.6909120423453194,1.6915872639417648,1000.0,nan,nan,0,0,0,30800,1.0,1.0,3864.2998729266524,3866.9384874170228,0.0055777794153436,0.23904768922901148,3.0,3.0,676.364972795759,676.634875793457,3.0,3.0,676.364972795759,676.634875793457,0.09896574334081075,0.11774257472746642,1.0,3.0,280.1230599365234,1600.8755931877822
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,0.24852206068965174,0.551703320145607,1.8913735127449036,nan,1.8466821312904358,2.9910360491275787,1000.0,0.0,nan,0,17,0,31151,0.9909363612532616,0.9067582520842552,3731.2607384606317,4046.0867491963604,0.016814932203018378,0.24802037562998358,2.9970698633506165,3.247091432314899,675.2905235290527,732.5816314697265,2.9970698633506165,3.247091432314899,675.2905235290527,732.5816314697265,0.10929710957380447,0.12281533504318931,0.9129936675782557,3.228571316095323,314.6419493408203,1737.8350433092844
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,0.2584117553766033,0.6482416502634685,1.6813980853557586,nan,1.8484309196472168,4.481528389453888,1000.0,0.0,nan,0,2,0,31304,0.995721427599589,0.9287657237052918,3631.488400026122,3685.5393400144308,0.028045621781581296,0.2577362110930316,2.953177572891854,3.1500672492743855,666.0805257161459,710.4604284667969,2.953177572891854,3.1500672492743855,666.0805257161459,710.4604284667969,0.11992185750616141,0.12742030937387724,0.9334370518839636,3.136330760224442,304.16658715820313,1583.1603880065559
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,0.2684383329530706,0.707412314414978,1.4820491818586985,nan,1.7861546993255615,5.800179867744446,1000.0,0.0,nan,0,126,0,31256,0.9952264636754989,0.9242452672123909,3744.1262442078114,3375.056489097291,0.04255849899256226,0.2676102903322921,2.925233971661555,3.131884126882212,659.9546325683593,706.6241693115235,2.925233971661555,3.131884126882212,659.9546325683593,706.6241693115235,0.1325792155284542,0.13123059154969774,0.9306981032544916,3.1130977491348806,309.04785302734376,1499.7876454072286
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,0.2791013489449712,0.7491626503070196,1.3016386723518372,nan,1.7268487215042114,7.11567697763443,1000.0,0.0,nan,0,1,0,31207,0.9973606892994472,0.9297479924559593,3903.9351977526353,3046.507803559464,0.05308907291534081,0.27791421227335533,2.8899757830001684,3.0848604782396603,651.2146083286831,696.281480102539,2.8899757830001684,3.0848604782396603,651.2146083286831,696.281480102539,0.1430191286585466,0.13464141694102827,0.9341712529971221,3.072111012195955,296.74660107421874,1327.9133069608592
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,0.29037533865287857,0.7775579802195232,1.1480355672041576,nan,2.394842187563578,8.366652879714966,1000.0,0.0,nan,0,2,0,30864,0.9771480626530118,0.9335404425859452,4164.125293585618,2689.3164366994806,0.057332751470146895,0.28864232600644973,2.918900579136048,3.043343133156773,658.2232191297743,686.69611328125,2.918900579136048,3.043343133156773,658.2232191297743,686.69611328125,0.14985658128466803,0.13858306446122387,0.935418282684527,3.0379843628879373,286.52646325683594,1150.6808299643333
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,0.30201775869686465,0.7975329802433649,1.0218451438347498,nan,2.0261175632476807,9.687446403503419,1000.0,0.0,nan,0,38,0,31134,0.9735573728879293,0.9492130470275879,4664.219340845482,2236.760897978829,0.06681598536180083,0.30030613753480045,2.9000017859195704,2.9687816539874325,654.8803141276042,669.7399822998046,2.9000017859195704,2.9687816539874325,654.8803141276042,669.7399822998046,0.16021204623100066,0.14217007150065925,0.9509114883666815,2.9639830585408373,287.54240234375,1034.6309394168961
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,0.317611079556236,0.8120639799038569,0.9209689404567083,nan,1.8524851004282634,10.92114531993866,1000.0,0.0,nan,0,95,0,30953,0.9736198948489295,0.9590819102525711,5152.979945488006,1835.1601764361833,0.0798079545417471,0.3134033139639099,2.8709714007518263,2.9116367817264233,647.9499681260851,656.7897094726562,2.8709714007518263,2.9116367817264233,647.9499681260851,656.7897094726562,0.1732460983106122,0.1457648690109298,0.9602822943018117,2.908279089719347,286.04208264160155,919.5713486120414
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,0.33807074615684485,0.8219349791606267,0.8424604793389638,nan,2.152874355730803,12.005177230834962,1000.0,0.0,nan,0,124,0,31790,0.9475599605104198,0.9596992266178132,5760.8120021046725,1533.496035665077,0.09357671401155272,0.32890861526961956,2.914573812133884,2.880955947203268,657.7275417162025,649.6381826782226,2.914573812133884,2.880955947203268,657.7275417162025,649.6381826782226,0.18770947451477948,0.15038728469051596,0.9584471946874542,2.8844232606266047,290.1107399902344,878.3957663628456
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,0.37124758286017934,0.8295903114477793,0.7795016745726268,nan,2.2929662466049194,12.962170939445496,1000.0,0.0,nan,0,38,0,31700,0.9245585964785682,0.954827633202076,6475.954833540643,1326.3283606749872,0.10330277877603174,0.3472515052230994,2.948638309830286,2.8656468600010845,664.6870795355903,646.3032223510742,2.948638309830286,2.8656468600010845,664.6870795355903,646.3032223510742,0.2008822693548588,0.15671594665479915,0.9523283549405019,2.8724993650328536,282.45002380371096,763.665718277458
