algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,0.6313603477891995,0.37984098931153615,2.095632566610972,nan,1.0145470585141863,1.014952376484871,1000.0,nan,nan,0,0,0,30800,405.8189697265625,405.9809117126465,1.8000000000000003,1.8000000000000005,0.014731741448414656,0.6313603477891994,1.0,1.0,1.8000000000000003,1.8000000000000005,2318.5798444687107,2320.163013919169,405.8189697265625,405.9809117126465,0.26138318398472854,0.31097557633494644,1.0,1.8000000000000007,168.07383026123046,960.5253233902295
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,0.6721597360289637,0.5531176533301672,1.8907868055502575,nan,1.1102280914783478,1.824851331114769,1000.0,0.0,nan,0,17,0,31151,404.72602462768555,433.40786239624026,1.7962428354719626,1.9210362290362049,0.046251193428185726,0.6499611564613629,0.9920581243932247,0.922031686604023,1.7962428354719626,1.9210362290362049,2239.114546513292,2408.631233452111,404.72602462768555,433.40786239624026,0.28773517864145665,0.32332293605492474,0.9272188301439639,1.9117922739573718,186.31437774658204,1035.1041588692694
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,0.7190377018691071,0.6496603175004323,1.6804720528920492,nan,1.1129418770472208,2.7555305755138395,1000.0,0.0,nan,0,2,0,31304,399.1138102213542,417.12006317138673,1.7695402155704323,1.849445077953164,0.07997387924426169,0.6945778034204195,0.9970626115798951,0.9517742517590523,1.7695402155704323,1.849445077953164,2183.3468151474403,2236.2171013200104,399.1138102213542,417.12006317138673,0.3258154489147248,0.34612219145361,0.9549339047698088,1.8438703201125086,178.8214395751953,959.9872449824273
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,0.77506290810739,0.7088626484076183,1.480831474463145,nan,1.0745566934347153,3.5829589653015135,1000.0,0.0,nan,0,126,0,31256,395.3921524047852,413.2094827270508,1.7525638546448854,1.8314174536108367,0.12501185018678063,0.7569844653136643,0.9967014610767364,0.9515597674250603,1.7525638546448854,1.8314174536108367,2246.298484070884,2150.049066205305,395.3921524047852,413.2094827270508,0.37780089623753405,0.3738821204703005,0.9556635577570308,1.8242489446139318,181.09947918701172,949.8715658449572
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,0.7861845543887187,0.7502449834346772,1.3005607759952544,nan,1.0373709968158178,4.376817102432251,1000.0,0.0,nan,0,1,0,31207,390.4712568010603,408.6394689941406,1.732844386783451,1.8104683906761057,0.15742470735365488,0.785191801147007,0.9980204956872123,0.9531361070275307,1.732844386783451,1.8104683906761057,2343.528512156448,2082.6428686150875,390.4712568010603,408.6394689941406,0.40853154487099574,0.3840593403277351,0.9560724689024631,1.8053901848139693,174.38898278808594,898.6759457864154
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,0.7981821365646723,0.7787243135770162,1.1467113562424978,nan,1.4499076406160991,5.1116437292098995,1000.0,0.0,nan,0,2,0,30864,392.53528849283856,405.4325,1.7407072623338389,1.7968229144291132,0.17004597529441814,0.7964357846309836,0.9833582043647766,0.9505844470858574,1.7407072623338389,1.7968229144291132,2508.8909440443776,2035.0676058108336,392.53528849283856,405.4325,0.4206018990290444,0.38774010832503153,0.9519957572079161,1.7944064509417572,169.2386351928711,859.1870793171323
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,0.8098576367386052,0.7989219788710277,1.0203574160734812,nan,1.2202560782432557,5.800106928348542,1000.0,0.0,nan,0,38,0,31134,392.17206013997395,402.61671783447264,1.736655732582235,1.7846912055720612,0.1977160405384052,0.8080022456065582,0.9755308190981548,0.9471942520141602,1.736655732582235,1.7846912055720612,2796.129148960701,1945.838292579973,392.17206013997395,402.61671783447264,0.44183052256566646,0.38984485874598745,0.9491712218107179,1.7813398935030031,172.8118489379883,862.2191915008102
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,0.8232054967937029,0.8132433136304219,0.9194655279318492,nan,1.1143498453829024,6.483849461078644,1000.0,0.0,nan,0,94,0,30954,388.1995832655165,397.88834411621093,1.7200613748035154,1.7638933686578588,0.2329054959966881,0.8201791585050694,0.9751222795910306,0.9490055173635483,1.7200613748035154,1.7638933686578588,3091.512724382145,1767.8615258364562,388.1995832655165,397.88834411621093,0.4678149610000406,0.39011365504483386,0.9511619472722395,1.7602742132019955,173.13052264404297,818.4390684123396
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,0.8372338158943307,0.8234376454353333,0.8402019749085109,nan,1.3022273312444272,7.164352552890778,1000.0,0.0,nan,0,127,0,31787,392.72029843537706,391.71677627563474,1.740241350993812,1.737151462307454,0.2659309963649863,0.8332957213926332,0.9526772499084473,0.9545368257164956,1.740241350993812,1.737151462307454,3461.1868732975972,1534.7082490677153,392.72029843537706,391.71677627563474,0.49287688637604504,0.3897139155777729,0.9543450309022126,1.7374701503782441,174.75184423828125,773.0978957987757
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,0.8531962838167344,0.8313136464357376,0.7768002436558405,nan,1.3852468497223325,7.780409262180329,1000.0,0.0,nan,0,40,0,31698,397.31273566351996,387.63990829467775,1.762527237128262,1.7187567181799717,0.28645326641550667,0.8472180746041107,0.9286044571134779,0.955211443901062,1.762527237128262,1.7187567181799717,3893.7159615489695,1326.9714437889165,397.31273566351996,387.63990829467775,0.5107591896909482,0.3908344233120795,0.9530145367351147,1.7223707977261606,169.35922180175783,670.9623521313295
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,0.8694161218246915,0.8373439804712931,0.7261992247899374,nan,1.3728530814773159,8.34704710483551,1000.0,0.0,nan,0,45,0,31989,378.4508843672903,384.3422546386719,1.6766361485385206,1.704227332502177,0.3195259833993154,0.8618919735390398,0.9705724935782584,0.9536319524049759,1.6766361485385206,1.704227332502177,4065.533671302959,1164.1954826480223,378.4508843672903,384.3422546386719,0.5364723794552051,0.38858521074088215,0.9551016797213794,1.7018335768158326,168.1180354614258,620.1684725687213
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,0.8858805471711739,0.8424269805351893,0.6851681081453959,nan,1.5675784448782604,8.86264193058014,1000.0,0.0,nan,0,4,0,31676,380.80370246039496,381.9932217407227,1.6880720867060393,1.6933114002639493,0.34026649017053584,0.8771993061599954,0.9531345268090566,0.9498853430151939,1.6880720867060393,1.6933114002639493,4458.647675667636,1036.612826064835,380.80370246039496,381.9932217407227,0.5550396165663197,0.3886573184798462,0.9501536242458799,1.6928787963921952,166.5062219848633,575.156446749969
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,0.904624735918563,0.8465129806598027,0.6509599830706915,nan,1.6122579682957043,9.301320185661316,1000.0,0.0,nan,0,11,0,30689,380.5297379927202,381.0489793395996,1.688615759886825,1.6897574195795755,0.35325053199390555,0.8928886466132926,0.9422728040001609,0.9415576830506325,1.688615759886825,1.6897574195795755,4801.131635987135,941.9071376132778,380.5297379927202,381.0489793395996,0.5691057778416604,0.39040944661493415,0.9415949642375747,1.6896979017756883,160.7912459716797,482.3877510370281
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,0.9227610681627488,0.8499019773801167,0.6228102791309357,nan,1.546900731675765,9.71773265838623,1000.0,0.0,nan,0,101,0,30875,384.46761007869947,380.08738403320314,1.7050671069749974,1.6842191840044691,0.36917440604455387,0.909074933979891,0.921233990613152,0.9344241052865982,1.7050671069749974,1.6842191840044691,5232.141854696068,868.1383556046267,384.46761007869947,380.08738403320314,0.5851346172186886,0.391387019114221,0.9333907783306139,1.6858524314261234,165.10685235595705,525.148165301517
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,0.944880432383831,0.8531893122196198,0.5982458913326263,nan,1.700026763810052,10.08886785030365,1000.0,0.0,nan,0,3,0,30629,375.80523681640625,379.0177627563477,1.662255830899073,1.6805828394042102,0.3800511941187887,0.9255361788152503,0.9377503726217482,0.9260386627912521,1.662255830899073,1.6805828394042102,5506.97408397202,808.2455236554338,375.80523681640625,379.0177627563477,0.5982451879973733,0.39376064727958754,0.9265429947935223,1.6797936380810223,158.37159936523437,422.4237429736699
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,0.9667068460305258,0.8557916450500488,0.5778646264473597,nan,1.6444144658744335,10.424066228866577,1000.0,0.0,nan,0,50,0,31200,381.2832660675049,378.4271116638184,1.6931687600708403,1.6775190008488048,0.3964728627085256,0.9424180796199451,0.9071214199066162,0.9172227677702903,1.6931687600708403,1.6775190008488048,5908.961342515785,758.1893382239883,381.2832660675049,378.4271116638184,0.6148509494730935,0.39444682623222593,0.9164745197803886,1.6786782422726594,163.5719091796875,492.36249825010043
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,0.9872747186321734,0.8581879808505376,0.5596431823571523,nan,1.8215250372886658,10.71653736114502,1000.0,0.0,nan,0,5,0,30997,372.1002363725142,378.11205322265624,1.6476288089562146,1.6760517960835324,0.40574832893784796,0.959630650095333,0.925827600739219,0.9072972205281258,1.6476288089562146,1.6760517960835324,6203.0539512291,716.7891283853944,372.1002363725142,378.11205322265624,0.6273012574008419,0.3977571590436984,0.9082632593069031,1.6745700289821082,159.43102648925782,423.182838281198
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,1.0081116598427466,0.8603333113590876,0.5439922320842743,nan,1.3561076559126377,10.955822038650513,1000.0,0.0,nan,0,74,0,30980,375.9567241668701,378.4009426879883,1.6654165086994728,1.6774617941551395,0.42863014873380756,0.9769266659370612,0.903318740427494,0.8953868874907494,1.6654165086994728,1.6774617941551395,6582.167747073916,682.5449124188838,375.9567241668701,378.4009426879883,0.647948755615109,0.39627746871750696,0.8959744321527304,1.6765695507880531,163.39099224853516,483.64733287391886
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,1.0365760215438051,0.8623326442639033,0.53020572245121,nan,1.487202849239111,11.187694463729859,1000.0,0.0,nan,0,103,0,30755,379.2408046722412,378.07389022827147,1.6822184218081084,1.676137637691018,0.44981100987504563,0.9942843469508494,0.8811216093599796,0.8851660650968551,1.6822184218081084,1.676137637691018,6994.740468165655,652.7281054670316,379.2408046722412,378.07389022827147,0.6676003447053672,0.39536299945635467,0.8848664757830126,1.676588066144136,163.36526184082032,484.9229371681136
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,1.0719722200406734,0.8639506457249323,0.5181479270259539,nan,1.6596400250088086,11.361593441963196,1000.0,0.0,nan,0,17,0,31003,366.60195367986506,378.54618515014647,1.62480872041954,1.6783419776820114,0.46547684912156057,1.0120092382056345,0.9084448380903765,0.8724809104204178,1.62480872041954,1.6783419776820114,7077.69683291438,626.5491085436142,366.60195367986506,378.54618515014647,0.6840898047551901,0.396310264803818,0.874355807123591,1.6755511443650104,159.48371704101564,406.3289737415621
