algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,5.194253122102357,0.3800179891784986,2.095594390233358,nan,0.33831140398979187,0.338446871638298,1000.0,nan,nan,0,0,0,30800,1.0,1.0,135.32463945661272,135.37864288330078,135.32463945661272,135.37864288330078,0.6002290721471661,0.6002290721471661,773.1550394080994,773.6829762349688,0.6002290721471661,0.6002290721471661,0.12119923951572166,5.194253122102358,2.150420792550376,2.5584214528700366,1.0,0.6002290721471663,56.046002105712894,320.29736104570094
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,5.641076522017706,0.5540206537644068,1.8904641624291738,nan,0.3736607078462839,0.6138349342346191,1000.0,0.0,nan,0,17,0,31151,0.9928133115172386,0.930090813934803,135.24486351013184,135.4183243560791,135.24486351013184,135.4183243560791,0.6002290721471661,0.6002290721471661,749.2512103838559,755.2468194825499,0.6002290721471661,0.6002290721471661,0.3665765412132673,5.641076522017706,2.476376533535043,2.7836655799926144,0.9347369248668352,0.6002290721471661,58.49516537475586,326.0747665253033
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,6.060769043005112,0.6505259833733241,1.6799330393473306,nan,0.3782167911529541,0.9343792307376861,1000.0,0.0,nan,0,2,0,31304,0.9979318777720133,0.9678474798798561,135.37906494140626,135.37435775756836,135.37906494140626,135.37435775756836,0.6002290721471663,0.6002290721471661,742.4675646875602,743.8158077160192,0.6002290721471663,0.6002290721471661,0.6103739953146687,6.06076904300511,2.790532014390845,2.970506099627848,0.9699463913607043,0.6002290721471663,58.21111505126953,319.80035002703454
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,6.480461563992518,0.7095903142293294,1.4801437282562255,nan,0.36913283467292785,1.2211396270990371,1000.0,0.0,nan,0,126,0,31256,0.9975176572799682,0.972556634247303,135.41684112548828,135.42527000427245,135.41684112548828,135.42527000427245,0.6002290721471659,0.6002290721471661,769.8247291577613,756.4274622388901,0.6002290721471659,0.6002290721471661,0.9250080053069124,6.480461563992519,3.1471894287811555,3.130848744306376,0.9748258181593635,0.6002290721471663,59.58678164672852,333.36397406186654
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,6.900154084979923,0.7507676496108373,1.299986340602239,nan,0.3597038154091154,1.4938760232925414,1000.0,0.0,nan,0,1,0,31207,0.9982073860509055,0.975585375726223,135.25248173304968,135.4775555419922,135.25248173304968,135.4775555419922,0.6002290721471661,0.6002290721471661,812.403539706922,783.6958805232773,0.6002290721471661,0.6002290721471661,1.1515817185977326,6.900154084979922,3.4510106651506076,3.279482906736293,0.9770653203269032,0.6002290721471663,57.978091705322264,336.22565132110475
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,7.300194468373703,0.7792049803336462,1.1459376446406047,nan,0.5050363904900022,1.7502983921766282,1000.0,0.0,nan,0,2,0,30864,0.987108416027493,0.9761060070991516,135.3549075656467,135.43501014709472,135.3549075656467,135.43501014709472,0.6002290721471661,0.6002290721471661,871.2458493320675,826.0241130345856,0.6002290721471661,0.6002290721471661,1.2440198130352165,7.300194468373702,3.6664896751706104,3.4354468766595487,0.9765797950434343,0.6002290721471661,56.61039239501953,346.09207050181146
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,7.424627291164088,0.7995509801308314,1.0195136004686356,nan,0.4258611619472504,1.9886856824159622,1000.0,0.0,nan,0,38,0,31134,0.9765492677688599,0.9739215043187142,135.54058024088542,135.40802207946777,135.54058024088542,135.40802207946777,0.6002290721471663,0.6002290721471661,966.881285123368,880.7798615148292,0.6002290721471663,0.6002290721471661,1.4403429699147479,7.424627291164087,3.8340566984144835,3.451201028122421,0.9741048366524453,0.6002290721471663,58.22942623901367,381.3183831596327
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,7.549060113954473,0.8138843135039011,0.918649506966273,nan,0.3939094427559111,2.2087593483924866,1000.0,0.0,nan,0,94,0,30954,0.97591832280159,0.969480319917202,135.46879069010416,135.39594444274903,135.46879069010416,135.39594444274903,0.600229072147166,0.6002290721471661,1079.879393679086,941.9805762639351,0.600229072147166,0.6002290721471661,1.6886990942783957,7.5490601139544715,4.032843502148827,3.447668651633099,0.9700118981370138,0.6002290721471663,59.035254241943356,415.6678886780211
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,7.673492936744859,0.8241476462284724,0.8389834888776143,nan,0.4621017290198285,2.4143025636672975,1000.0,0.0,nan,0,127,0,31787,0.9554451678110205,0.9646330714225769,135.45711019764775,135.34774139404297,135.45711019764775,135.34774139404297,0.6002290721471659,0.6002290721471661,1198.2712713697492,993.2046447855241,0.6002290721471659,0.6002290721471661,1.9285870733035833,7.673492936744861,4.226549418680094,3.4413160026646405,0.9636854401083805,0.6002290721471663,60.37012362670898,452.40233639721816
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,7.797925759535243,0.8320683123668035,0.7753387540578842,nan,0.48872792224089306,2.5991458439826967,1000.0,0.0,nan,0,39,0,31699,0.9306485321786668,0.9569378432631492,135.2952677408854,135.3727239227295,135.2952677408854,135.3727239227295,0.600229072147166,0.6002290721471661,1330.6363414151806,1022.9556684774639,0.600229072147166,0.6002290721471661,2.081904166960398,7.797925759535246,4.368312803990337,3.452960064443752,0.9547671662011278,0.6002290721471663,59.01971920776367,457.085175681932
