algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,2.969313182636736,0.3799869891007741,2.0955961855252583,nan,0.4509097252573286,0.4510901203751564,1000.0,nan,nan,0,0,0,30800,180.36399841308594,180.43596893310547,0.7999999999999999,0.8,0.06928397426152384,2.9693131826367365,1030.4799987585318,1031.1836083751948,180.36399841308594,180.43596893310547,1.0,1.0,0.7999999999999999,0.8,1.2292956576116087,1.4625306792274435,1.0,0.7999999999999998,74.6994835510254,426.90016333269733
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,3.273012354994531,0.5539203200737636,1.8904958367347717,nan,0.4940393287688494,0.817414118051529,1000.0,0.0,nan,0,17,0,31151,179.75624656677246,191.3316163635254,0.7977857408226428,0.8480590104617065,0.21343108032296645,3.261878655074102,995.7241262595074,1066.5296664725165,179.75624656677246,191.3316163635254,0.9927454739809036,0.929272318482399,0.7977857408226428,0.8480590104617065,1.432810110223421,1.6105040791431295,0.9339740337045105,0.8443350645625166,82.28484643554688,458.47503862931086
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,3.370753552607692,0.6504233173529307,1.6799902061621348,nan,0.49567065834999086,1.2429132944345473,1000.0,0.0,nan,0,2,0,31304,177.24227600097657,182.88075813293457,0.7858352264226146,0.8108644462461253,0.35962207028450127,3.360205616140659,971.7752336235403,1001.6394404635338,177.24227600097657,182.88075813293457,0.9978623112042745,0.9659437566995621,0.7858352264226146,0.8108644462461253,1.5598554886269644,1.6579574711229834,0.9681706325952397,0.8091182216072758,78.46957153320312,429.8090331941197
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,3.49416713958736,0.7095289812485377,1.480217072168986,nan,0.47822667956352233,1.6232214522361756,1000.0,0.0,nan,0,126,0,31256,175.59899215698243,180.4252907562256,0.7783365567877121,0.7996770416282095,0.5536765364757592,3.476800642420942,998.1433999462037,997.5836747484416,175.59899215698243,180.4252907562256,0.9974494576454163,0.9699614584445954,0.7783365567877121,0.7996770416282095,1.7229261788538324,1.7055767425251505,0.9724603674628518,0.7977369975518007,79.19407598876953,438.95920589722476
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,3.6375760033728977,0.7506933166583379,1.300046226978302,nan,0.4612040179116385,1.9852538925409318,1000.0,0.0,nan,0,1,0,31207,173.5121132986886,178.21771995544432,0.7700171437129723,0.7895892804151663,0.6966574807351894,3.6143115856919565,1042.096959537503,1011.0312979282788,173.5121132986886,178.21771995544432,0.9981973256383624,0.9727337121963501,0.7700171437129723,0.7895892804151663,1.8637191227178962,1.75418327410583,0.9743995560663883,0.7883088602570788,76.14542715454101,433.59123403836156
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,3.810364228906951,0.7791709808508555,1.1460170634587605,nan,0.6475605203045739,2.3253866255283357,1000.0,0.0,nan,0,2,0,30864,173.88075256347656,176.34562210083007,0.771079831160184,0.7815396134875945,0.7540812272525153,3.772010880670152,1118.416014095863,1043.6171335460585,173.88075256347656,176.34562210083007,0.9867325756284926,0.9729874920845032,0.771079831160184,0.7815396134875945,1.96125308861957,1.8134896763153563,0.9735793856342444,0.7810891922390457,73.66810238647462,437.5783416721489
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,3.9944567189792552,0.799467312892278,1.0195957829554876,nan,0.5432287335395813,2.6395571529865265,1000.0,0.0,nan,0,38,0,31134,174.14947204589845,175.08581314086913,0.7711867839841419,0.7761074384673993,0.8787341249199134,3.945575850663322,1242.1454143986218,1091.3406876468225,174.14947204589845,175.08581314086913,0.9764071106910706,0.9698759472370148,0.7711867839841419,0.7761074384673993,2.105470815217277,1.8687558566323565,0.9703316098035768,0.7757641369918231,75.2588094177246,473.8006374906877
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,4.203040530589516,0.8138536463181177,0.9187292327483495,nan,0.49585923221376205,2.9283122766017913,1000.0,0.0,nan,0,95,0,30953,172.41452280680338,174.25737411499023,0.7639476745620171,0.7725060153314525,1.038961275579914,4.130697915112539,1374.1132242462936,1140.9555667351844,172.41452280680338,174.25737411499023,0.9758248362276289,0.9643512231111526,0.7639476745620171,0.7725060153314525,2.275655931392964,1.916952724417543,0.9652985856620544,0.7717993633413157,75.90987246704101,505.85030276694033
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,4.442785024930936,0.8240993120272955,0.8390989730755488,nan,0.581064593532811,3.198665453195572,1000.0,0.0,nan,0,127,0,31787,174.12321339482847,173.37232048034667,0.7715803565967754,0.7688561620545161,1.1934822584972684,4.328488387843484,1539.2098332275884,1164.6474486457419,174.12321339482847,173.37232048034667,0.9551962225333505,0.9588850784301758,0.7715803565967754,0.7688561620545161,2.4474847102357544,1.9653859195245906,0.9585046134722073,0.7691371327920585,77.35859600830078,536.6626317867658
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,4.705699564000449,0.8320116456349691,0.7754762150843938,nan,0.6176786522070566,3.4467780447006224,1000.0,0.0,nan,0,39,0,31699,176.28350490993924,172.79338760375975,0.7820130010704239,0.7661479976759046,1.291822965509125,4.537571972881765,1732.987020806383,1149.9187028609758,176.28350490993924,172.79338760375975,0.9304268558820089,0.9521257042884826,0.7820130010704239,0.7661479976759046,2.590122568458181,2.0255032348450475,0.9503340562549206,0.7674579520846263,75.46356121826172,522.3550138934202
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,5.00183211090885,0.8382066462437312,0.7246394890546799,nan,0.6157920737015573,3.6904130351543425,1000.0,0.0,nan,0,48,0,31986,167.4866260729338,171.63214042663574,0.7420065801323004,0.761042919795272,1.448372374932467,4.767792869289569,1807.0542520634788,1097.3326914059594,167.4866260729338,171.63214042663574,0.9749448832712675,0.9486468720436096,0.7420065801323004,0.761042919795272,2.776140572675308,2.074153167913241,0.9509284346615343,0.7593913652126398,75.01734796142578,507.60113814079585
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,5.235141533735342,0.8434693135817846,0.6830594929059347,nan,0.7051172670390871,3.929076908826828,1000.0,0.0,nan,0,4,0,31676,168.41354624430338,170.1595965576172,0.7465807431873936,0.7542896050606867,1.5514197709573172,5.02627376826021,1997.2352227864176,1019.5530272343333,168.41354624430338,170.1595965576172,0.9582603606912825,0.9475038188695908,0.7465807431873936,0.7542896050606867,2.941361369878474,2.146984392380249,0.9483919736989047,0.7536530935298643,74.12672628784179,479.7216789140444
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,5.292805868594079,0.8477133129040401,0.6488228893280029,nan,0.725932860916311,4.150845907926559,1000.0,0.0,nan,0,12,0,30688,168.0849179354581,168.73782638549804,0.7458858637473456,0.7482682955940667,1.6161923665587048,5.224758264712116,2154.2047922199577,936.7199663414699,168.0849179354581,168.73782638549804,0.9487700462341309,0.9454123157262803,0.7458858637473456,0.7482682955940667,3.059618725820069,2.204553236822514,0.9455873632883008,0.7481440929859438,71.1929987487793,422.08049196542703
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,5.348405664254787,0.851193645397822,0.6202502465248108,nan,0.6936841186355142,4.359510445594788,1000.0,0.0,nan,0,101,0,30875,170.1724027745864,167.53781387329101,0.754692399322502,0.7423833638625449,1.6987501195252361,5.3020908079684155,2348.1817960247695,856.2196459786621,170.1724027745864,167.53781387329101,0.9256685937152189,0.9431909424066544,0.754692399322502,0.7423833638625449,3.140086394902508,2.210725442885059,0.9418182238455741,0.7433476661796845,72.80098724365234,422.32603945630694
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,5.4166835490904885,0.8545479782422384,0.5957534052928288,nan,0.7609543204307556,4.548166763782501,1000.0,0.0,nan,0,3,0,30629,166.43485514322916,166.3719317626953,0.7361707609599729,0.7376983342891663,1.7535038561311436,5.356677637975763,2472.834310493257,785.0207332602009,166.43485514322916,166.3719317626953,0.9415025777286954,0.9393061682581901,0.7361707609599729,0.7376983342891663,3.194773368868991,2.2150144563264944,0.9394007504841928,0.737632553619488,69.54460009765624,358.51931089295897
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,5.490153639760866,0.8572716444730759,0.5749803060293197,nan,0.743772342801094,4.72736453294754,1000.0,0.0,nan,0,52,0,31198,168.02567195892334,165.28601264953613,0.7461705921740991,0.7326917867839456,1.8397286643944453,5.412413562040185,2656.2942745240366,723.754662972375,168.02567195892334,165.28601264953613,0.9163418188691139,0.9359169909358025,0.7461705921740991,0.7326917867839456,3.268802623452741,2.210634772777752,0.9344669781901218,0.7336902168128459,71.4912265625,374.50328197371914
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,5.5537798364251545,0.8597383117675781,0.5568372416496277,nan,0.8141299323602156,4.876844425201416,1000.0,0.0,nan,0,5,0,30997,164.82059409401634,164.7115096282959,0.7298080818464883,0.7301205658728207,1.8875969413747469,5.4701282062327,2765.5606386618074,676.1557065300932,164.82059409401634,164.7115096282959,0.9294528527693315,0.9289944735169411,0.7298080818464883,0.7301205658728207,3.320609447317928,2.219458513160324,0.9290183700656439,0.7301042752363769,69.51065692138671,331.304616662597
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,5.6031774800807,0.861725645661354,0.5411760063966116,nan,0.6146071702241898,5.012939100265503,1000.0,0.0,nan,0,73,0,30981,165.87396621704102,164.15649093627928,0.7347980347349801,0.7277098602806277,2.000200262671792,5.52974497503252,2938.961951117196,633.9492074756912,165.87396621704102,164.15649093627928,0.9113004058599472,0.9218024653196335,0.7347980347349801,0.7277098602806277,3.412018147616083,2.203434115048214,0.9210245349892864,0.7282349102402093,70.97056329345703,347.62646542602675
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,5.677994213525048,0.8638133120536804,0.5273133301734925,nan,0.6662770416587591,5.155219314098358,1000.0,0.0,nan,0,101,0,30757,167.96811199188232,163.12532440185547,0.7450649879586094,0.7231916348696825,2.1023322872819237,5.592819831987478,3119.335505294108,598.7604804881317,167.96811199188232,163.12532440185547,0.8849940747022629,0.9177280223369598,0.7450649879586094,0.7231916348696825,3.4985273051641452,2.191252179069992,0.9153032854751304,0.7248118832466401,70.62510934448242,339.3229283646642
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,5.775037084232852,0.8654053119818369,0.5151695453127225,nan,0.7508401355960153,5.265841360092163,1000.0,0.0,nan,0,20,0,31000,161.3880421031605,162.66784118652345,0.7152815741371775,0.7212093208308261,2.177771673132715,5.658018956256456,3172.6158193591427,569.8956162299745,161.3880421031605,162.66784118652345,0.9188075553287159,0.90984739869833,0.7152815741371775,0.7212093208308261,3.5698705863822107,2.1893123247629784,0.9103145158686344,0.720900291382342,68.6176734008789,297.7557945178909
