algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,0.5312902227802184,0.3797899892926216,2.0956449635823566,nan,1.1272745983941215,1.1277248817682266,1000.0,nan,nan,0,0,0,30800,2576.199915849622,2577.9589843740064,0.012396771864871764,0.5312902227802185,1.0,1.0,2.0,2.0,450.9099818638393,451.0899159240723,2.0,2.0,450.9099818638393,451.0899159240723,0.21995415223101045,0.2616861888915521,1.0,2.0,186.74870611572265,1067.2503925714973
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,0.5420175146343653,0.5528996534148852,1.8908718876043955,nan,1.228475734591484,2.023103832602501,1000.0,0.0,nan,0,17,0,31151,2475.048474821293,2665.949073840508,0.03732063118955826,0.5414935684012566,0.9919481053948402,0.9199811521172524,1.9860879142300623,2.127878924091277,447.50097846984863,480.0740818786621,1.9860879142300623,2.127878924091277,447.50097846984863,480.0740818786621,0.23898980607423764,0.26853102350116564,0.9253120375452218,2.1173758863237797,206.3496640625,1145.5811807304844
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,0.5542736242054983,0.64945998330911,1.680599045753479,nan,1.2256805340449015,3.050315833091736,1000.0,0.0,nan,0,2,0,31304,2400.9580270371243,2455.271826156198,0.06230229754713359,0.5534168354518705,0.9968584140141805,0.9482350301742554,1.9469885432734104,2.041361234620351,439.1368041992188,460.4044688415527,1.9469885432734104,2.041361234620351,439.1368041992188,460.4044688415527,0.25874811270902837,0.2748108764765254,0.9516273592793665,2.0347770933635876,197.33589166259765,1054.1374712735926
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,0.5674682993592224,0.7086953143278758,1.4809866154193878,nan,1.1768130600452422,3.962553759813309,1000.0,0.0,nan,0,126,0,31256,2458.6002186613173,2332.6969758299274,0.09466034543028902,0.5661419397203566,0.9965174108743667,0.9471350988745689,1.91865365653493,2.013072388372736,432.8631896972656,454.1949754333496,1.91865365653493,2.013072388372736,432.8631896972656,454.1949754333496,0.2832529831463161,0.280015682306009,0.9516243999654597,2.0044888672965717,198.99251776123046,1031.4227990784236
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,0.5821370672522616,0.7501143163442612,1.3006915966669719,nan,1.1304114716393607,4.840829501152038,1000.0,0.0,nan,0,1,0,31207,2552.253479022434,2224.997653010026,0.11829672558984766,0.5801238500266425,0.9979610868862697,0.9487658581137657,1.8873694192836388,1.9800300626426548,425.291259765625,446.91106872558595,1.8873694192836388,1.9800300626426548,425.291259765625,446.91106872558595,0.30302757536456554,0.28453805656944553,0.9519842375661726,1.9739681513948686,190.67258276367187,961.4621586166387
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,0.6003688230360735,0.7785809801022212,1.1468787105878193,nan,1.5790905687544081,5.654117124080658,1000.0,0.0,nan,0,2,0,30864,2716.8232350504277,2132.144357541719,0.12782455262418288,0.5955274273571018,0.9826746318075392,0.9463190293312073,1.8876339676347047,1.9550913144126385,425.6679043240017,441.1438838195801,1.8876339676347047,1.9550913144126385,425.6679043240017,441.1438838195801,0.31490570251735045,0.29005317357780364,0.9478845815909537,1.9521864525896655,184.11957580566406,901.760561247595
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,0.6186734459706534,0.7987606471776962,1.0205451601743698,nan,1.3258787711461386,6.431019277572632,1000.0,0.0,nan,0,39,0,31133,3015.5702536408894,1977.9277569760898,0.1494702948015425,0.6133724087354137,0.9751801093419393,0.9452034920454025,1.8732297147173034,1.9280228454697954,423.01336263020835,434.95157760620117,1.8732297147173034,1.9280228454697954,423.01336263020835,434.95157760620117,0.33503114037509096,0.295530878818042,0.9472948839498121,1.9242000689056677,186.6710319213867,881.6382103996626
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,0.6579995822671437,0.813103312253952,0.9196403946479161,nan,1.2031463848219976,7.213279950618744,1000.0,0.0,nan,0,93,0,30955,3317.143023725881,1740.0826687173271,0.17914438446499928,0.6384714412322969,0.9749090936448839,0.9501915821433067,1.8458289617433847,1.8903365252277404,416.58421495225696,426.41059661865233,1.8458289617433847,1.8903365252277404,416.58421495225696,426.41059661865233,0.3628752071719183,0.3029665941455203,0.9522324775883911,1.886661588793252,185.56127038574218,815.4502163410625
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,0.7246565338301768,0.8232799806197484,0.8404506729046504,nan,1.4045273765273716,7.97421694278717,1000.0,0.0,nan,0,127,0,31787,3694.316694997949,1479.0679798875678,0.21037811270005397,0.6840721734842993,0.9520217387572579,0.9561944445967674,1.8589466742630005,1.8515449580920602,419.50816942297894,417.5118312072754,1.8589466742630005,1.8515449580920602,419.50816942297894,417.5118312072754,0.399855737013752,0.3180948770932818,0.9557640758330512,1.8523083637957896,186.3021082763672,761.5657599249329
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,0.8218277138677211,0.8311019800106685,0.7771039150158564,nan,1.4983767304155562,8.652088031768798,1000.0,0.0,nan,0,41,0,31697,4135.028135256923,1266.670682894136,0.23133929282465432,0.7599607521814914,0.9281399581167433,0.9560046523809433,1.8730023473920088,1.8243106938861013,422.2160814073351,411.4459225463867,1.8730023473920088,1.8243106938861013,422.2160814073351,411.4459225463867,0.44278787656738916,0.3448750768625319,0.9537038978086699,1.8283311056434695,179.77814794921875,655.5292860269036
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,0.8337182582168634,0.8371253130833308,0.7265462108453115,nan,1.4743216131862842,9.2716752910614,1000.0,0.0,nan,0,46,0,31988,4294.951357661615,1107.2395735117254,0.2645347853221317,0.8198333868554384,0.9696242683812192,0.9533420339226722,1.7737052218381788,1.8017337199831673,400.36095870168583,406.3323733520508,1.7737052218381788,1.8017337199831673,400.36095870168583,406.3323733520508,0.48665422593545427,0.3617043536447157,0.9547546478711306,1.7993020237970723,177.74666577148437,606.1039809958315
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,0.8455589465705016,0.8421296461423238,0.6856336200237274,nan,1.6798375017113156,9.834904737472534,1000.0,0.0,nan,0,4,0,31676,4682.169730382517,983.6064139826783,0.2859025997158556,0.8407333250089476,0.9520551661650339,0.9486822962760926,1.7770916536802495,1.782811323967332,400.8866695827908,402.18374298095705,1.7770916536802495,1.782811323967332,400.8866695827908,402.18374298095705,0.5078348898330924,0.365397958444233,0.9489607901201336,1.7823390576133527,175.30541729736328,562.0006758868419
