algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3799659892916679,2.0955998420715334,nan,0.5636371799877712,0.5638625544309616,1000.0,nan,nan,0,0,0,30800,1.0,1.0,1.0,1.0,1.0,1.0,225.45499093191964,225.54495796203614,0.04447437226608758,1.9060445256894676,1288.099957924811,1288.9794921870032,225.45499093191964,225.54495796203614,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,2.0058664393858714,0.5538069871068001,1.8905356109142304,nan,0.6078345254063606,1.0205972015857696,1000.0,0.0,nan,0,17,0,31151,0.9927015006542206,0.928208010494709,0.9775283296402264,1.0401157491084794,0.9775283296402264,1.0401157491084794,220.25559520721436,234.66182830810547,0.13868445799693263,1.9798996724218758,1219.818316759083,1307.2815590178634,220.25559520721436,234.66182830810547,0.8751705437669098,0.9833777295805278,0.9329853060620802,1.0354796439626828,100.91291036987305,561.946809743436
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.231952720014586,0.6503316499789555,1.6800536402066548,nan,0.5991014321645101,1.5500230538845061,1000.0,0.0,nan,0,2,0,31304,0.9976995786031088,0.9636939129233361,0.943930988868139,0.9759563187462723,0.943930988868139,0.9759563187462723,212.9002482096354,220.11528144836427,0.2399401530205742,2.2017132060782263,1166.718643500377,1201.0881186238912,212.9002482096354,220.11528144836427,1.0246493742436351,1.0889921570086176,0.9660664012265759,0.9737219934059375,94.43312002563476,515.4368067545678
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.440065942108442,0.7094539811213811,1.4802899944782257,nan,0.5648861080408096,2.0224712693691256,1000.0,0.0,nan,0,126,0,31256,0.9973681509494782,0.9668279433250427,0.9163365141934264,0.9442481623460562,0.9163365141934264,0.9442481623460562,206.7328643798828,213.04380935668945,0.3821477971876604,2.4283242208139226,1175.0200136813596,1164.7317017948997,206.7328643798828,213.04380935668945,1.2006183666381653,1.1899586764531596,0.969604325836355,0.9417107397867263,93.48683831787109,512.8934812652142
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.55559300136255,0.7506669833262761,1.3001023916403454,nan,0.5335635436432702,2.473208476305008,1000.0,0.0,nan,0,1,0,31207,0.998200135571616,0.9694574165344239,0.8885167732620118,0.9140092781829164,0.8885167732620118,0.9140092781829164,200.21426609584265,206.30045402526855,0.4878334055658068,2.538499462856821,1202.3742002599988,1146.6437814593774,200.21426609584265,206.30045402526855,1.3080998284822125,1.2328475492655908,0.9713377813312495,0.9123415442161286,88.12618106079101,492.3239901910309
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.75623958756013,0.7791246467828751,1.1460974057515463,nan,0.7497706015904745,2.894934140443802,1000.0,0.0,nan,0,2,0,30864,0.9862934218512641,0.9690382313728333,0.8725053375671682,0.8873570176466873,0.8725053375671682,0.8873570176466873,196.75252787272134,200.22206115722656,0.5324414529179291,2.7133324102315437,1264.5316105684724,1149.0834628944908,196.75252787272134,200.22206115722656,1.4047978358433748,1.3024109578311165,0.9697812778527657,0.8867174716145549,83.63036996459961,482.3949541480289
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,3.0502467597577714,0.7993963132301967,1.0196839978297552,nan,0.623172010978063,3.2825627720355985,1000.0,0.0,nan,0,39,0,31133,0.9763474146525065,0.9649131980538368,0.855026511374896,0.8645771718905892,0.855026511374896,0.8645771718905892,193.0821960449219,195.04418312072755,0.6341145059197971,2.9761187593262046,1377.1075434624195,1163.0185505657212,193.0821960449219,195.04418312072755,1.5709162072823604,1.4028911209681432,0.9657109340956045,0.8639108467383314,83.81013912963867,506.5206465301612
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,3.3571707821964347,0.8137943132718404,0.9188015470902126,nan,0.5538466142283546,3.638946987390518,1000.0,0.0,nan,0,96,0,30952,0.9758203393883176,0.9587018105387688,0.8301838979349228,0.8440599077345532,0.8301838979349228,0.8440599077345532,187.36337110731336,190.39799293518067,0.7723055577396039,3.3216341192383227,1493.308177458331,1167.2038212630962,187.36337110731336,190.39799293518067,1.7920369823390914,1.5293302102966637,0.960115267049282,0.8429141821547671,82.90427853393555,520.6406228937383
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,3.456816364743947,0.8240636457999547,0.839201821287473,nan,0.6482206077679343,3.9787082040309905,1000.0,0.0,nan,0,132,0,31782,0.9549554690070774,0.9541789382696152,0.8220611441342621,0.8226719848473246,0.8220611441342621,0.8226719848473246,185.51517387058425,185.5073649597168,0.9200550281374251,3.4228947903627454,1639.3527772242,1127.9177901401886,185.51517387058425,185.5073649597168,1.9211909330275532,1.5578234627074645,0.9542590288837929,0.8226089833388025,82.7366439819336,526.5773438083887
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,3.6025417893195115,0.8319433122873306,0.775603175163269,nan,0.6963944286108017,4.299129581451416,1000.0,0.0,nan,0,42,0,31696,0.9303133123450809,0.9500617375969886,0.8165768827208756,0.801501339838125,0.8165768827208756,0.801501339838125,184.07484605577258,180.7666886138916,1.0211587055515077,3.5378877318850255,1809.1354734740623,1046.7137116057702,184.07484605577258,180.7666886138916,2.027850316084915,1.5942488211602412,0.9484311336771064,0.8027461094339484,78.93336990356445,483.8143616873744
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,3.8183981067692,0.8381516474485398,0.7247912883758545,nan,0.6783303367464166,4.615861778259277,1000.0,0.0,nan,0,52,0,31982,0.9743581006401464,0.9492331737279892,0.7598142069403843,0.7784272105902068,0.7598142069403843,0.7784272105902068,171.50617740028784,175.55278717041017,1.1800553703217558,3.7073245017945804,1849.6520343263596,941.6093631122244,171.50617740028784,175.55278717041017,2.190963022910886,1.6390698589101265,0.9514129619075827,0.7768123837895372,76.738349609375,446.93052254929137
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,4.147660000564557,0.8433703114589055,0.6832675371567408,nan,0.7707849625084136,4.921626050472259,1000.0,0.0,nan,0,4,0,31676,0.9576873514387343,0.9494868379831314,0.7493433007069844,0.7552388444565452,0.7493433007069844,0.7552388444565452,169.03734249538846,170.3738355255127,1.2904209442787677,3.9617141568258694,2001.3488421578618,832.8068294732268,169.03734249538846,170.3738355255127,2.358938229297608,1.7215111035437918,0.9501639445987317,0.7547520564405263,74.23487854003906,405.17129010697374
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,4.633313825878184,0.8476086463530859,0.6490364754199982,nan,0.8006077625534751,5.196796951293945,1000.0,0.0,nan,0,13,0,30687,0.948294536633925,0.9469144570827485,0.7337500037900746,0.7347128526210253,0.7337500037900746,0.7347128526210253,165.35014620694247,165.68126625061035,1.364423662051116,4.329326307053895,2115.1147868313387,738.5414239773033,165.35014620694247,165.68126625061035,2.550384720052228,1.8519097439562786,0.9469864043579282,0.7346626567104069,69.91020971679687,341.9490949012108
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,5.215537782791885,0.8510706440607707,0.620501951177915,nan,0.7495541309609133,5.451134378910065,1000.0,0.0,nan,0,108,0,30868,0.9251392168157241,0.9434941411018372,0.7277418823833953,0.7153145547145892,0.7277418823833953,0.7153145547145892,164.09534588982078,161.42908889770507,1.4648929236847656,4.840794763610121,2259.36935811329,658.3082347812541,164.09534588982078,161.42908889770507,2.8152536596549074,2.040768920234102,0.942056197724584,0.7162881241632975,70.15087731933593,340.1418520883535
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,5.330956096471404,0.8544256462653478,0.5960046712557475,nan,0.850099629826016,5.6797951579093935,1000.0,0.0,nan,0,4,0,30628,0.940993951426612,0.9384117218852043,0.6958165563800542,0.6975132020882685,0.6958165563800542,0.6975132020882685,157.31140984429254,157.3088299560547,1.5362865923588125,5.234829222478468,2333.074809720355,592.0957883425167,157.31140984429254,157.3088299560547,3.015703644406675,2.184744105369216,0.9385229183726334,0.6974401407898286,65.75513735961914,278.83366191197314
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,5.4802209327233244,0.8571293131510417,0.5752672032515208,nan,0.8067323546856642,5.8931694507598875,1000.0,0.0,nan,0,55,0,31195,0.9150809198617935,0.9333792129158973,0.6917749477277192,0.6801074409497975,0.6917749477277192,0.6801074409497975,155.7772741317749,153.42343032836914,1.652527331288366,5.364220782410697,2456.276929134283,537.6929458680311,155.7772741317749,153.42343032836914,3.137204711737298,2.220506818137973,0.9320237838007785,0.680971700711125,66.35424490356445,293.6780400795095
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,5.6434457693833275,0.8595896458625794,0.5571191481749217,nan,0.9036005599932238,6.07374127626419,1000.0,0.0,nan,0,7,0,30995,0.9290948726914146,0.9255959972739219,0.6626583069785935,0.6648233529769368,0.6626583069785935,0.6648233529769368,149.65529424493963,149.98117630004882,1.7332388033481865,5.504824894593884,2508.879125224546,494.3008621182812,149.65529424493963,149.98117630004882,3.241873239846466,2.2693787369623433,0.9257784031013742,0.6647104832803408,63.2848869934082,252.9156856022525
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,5.853310954870902,0.8616063114007314,0.5414461861054103,nan,0.6399376485496759,6.2318982195854185,1000.0,0.0,nan,0,79,0,30975,0.9101551175117493,0.9167624908685684,0.654447033525368,0.650479335037036,0.654447033525368,0.650479335037036,147.73570251464844,146.7349243927002,1.8965363365185874,5.684098461968613,2613.467614159207,457.2559662108395,147.73570251464844,146.7349243927002,3.411561186698597,2.316098761217706,0.9162730558051003,0.6507732386287645,63.421512237548825,266.53335013743043
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,6.187276664433313,0.8636566442251206,0.5275988699992498,nan,0.7236612681299448,6.3965266108512875,1000.0,0.0,nan,0,106,0,30752,0.8846534602344036,0.9109652110934258,0.6576141054905426,0.6346331200097829,0.6576141054905426,0.6346331200097829,148.25486373901367,143.14980422973633,2.051854001369542,5.91988879113022,2751.657610703014,425.1317875217833,148.25486373901367,143.14980422973633,3.5990679172738127,2.3815266683630014,0.909016192511276,0.6363354152305798,62.004077331542966,258.10575855120976
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,6.577550076748782,0.8652799785137176,0.5154502935210864,nan,0.7826692082665183,6.523128247261047,1000.0,0.0,nan,0,22,0,30998,0.9187046072699807,0.9016683477163315,0.6272744301772638,0.6216244851415383,0.6272744301772638,0.6216244851415383,141.53397993607953,140.205966796875,2.160825266016816,6.218466729894984,2781.2348429645167,398.82690247297825,141.53397993607953,140.205966796875,3.7838818515680837,2.477895948053329,0.9025564939489862,0.6219190320391356,59.19613427734375,220.71792753441065
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,6.997242597736188,0.8668239806095759,0.504537093937397,nan,0.6346422831217448,6.655377495288849,1000.0,0.0,nan,0,53,0,30679,0.9087258021036784,0.8949374946951866,0.6186021846691162,0.610470968599891,0.6186021846691162,0.610470968599891,139.38242797851564,137.68717247009278,2.2867077513373664,6.576212408058774,2845.6599988591424,376.51061016419845,139.38242797851564,137.68717247009278,4.0025096140259295,2.5968093321280343,0.8958994696306628,0.6110382627442557,59.256341827392575,235.97404403145367
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,7.416935118723593,0.8681749775012334,0.49480176995197933,nan,0.8038092454274496,6.760044596195221,1000.0,0.0,nan,0,27,0,30783,0.8769273807605108,0.8861397469043731,0.6211105746839684,0.6039979156606828,0.6211105746839684,0.6039979156606828,140.08177439371744,136.25516242980956,2.382638822322942,6.972271386677161,2956.0953968302056,360.30829845962916,140.08177439371744,136.25516242980956,4.21849184806463,2.737522318549428,0.8856182922169847,0.6049665567374726,57.86402755737305,215.0696089077766
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,7.629758788416456,0.8694546441237132,0.48610603670279184,nan,0.7748798853472659,6.825019438266754,1000.0,0.0,nan,0,121,0,31257,0.8575243322472823,0.8737605419754982,0.6210471321748703,0.6018456704109929,0.6210471321748703,0.6018456704109929,140.0864032946135,135.7597982788086,2.525902563999942,7.3645165522957265,3068.4211897469168,346.56525259661646,140.0864032946135,135.7597982788086,4.461348159318256,2.860890629475426,0.8723519210401736,0.6035115506553475,59.62720263671875,255.22610624902939
