algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3799659892916679,2.0955998420715334,nan,0.5636371799877712,0.5638625544309616,1000.0,nan,nan,0,0,0,30800,225.45499093191964,225.54495796203614,225.45499093191964,225.54495796203614,1.0,1.0,1.0,1.0,1288.099957924811,1288.9794921870032,1.0,1.0,0.04447437226608758,1.9060445256894676,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.9652382457627746,0.5538009867072106,1.8905393473307293,nan,0.6224066242575645,1.0205972015857696,1000.0,0.0,nan,0,17,0,31151,226.96338176727295,241.8083465576172,226.96338176727295,241.8083465576172,1.0072984993457794,1.071791989505291,0.9927015006542206,0.928208010494709,1256.9673431630538,1347.0942187841856,1.0072984993457794,1.071791989505291,0.1337982981654479,1.953438035115522,0.8616541929454775,0.9681856997138668,0.9329853060620802,1.0670146939379197,103.9861668395996,579.060642494892
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.0441914284155827,0.6503129837910334,1.6800639287630716,nan,0.6297460873921712,1.5500245171785354,1000.0,0.0,nan,0,2,0,31304,226.06525472005208,233.72624351501466,226.06525472005208,233.72624351501466,1.0023003737131755,1.036305170059204,0.9976996262868245,0.9636948299407959,1238.8646300953062,1275.3629907253278,1.0023003737131755,1.036305170059204,0.22301388505533035,2.0314050431111355,0.9463703482776524,1.005416115281468,0.9660672575928444,1.0339327424071556,100.27245504760742,547.3111351929902
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.1323225313301943,0.7094193150599798,1.4803164279460908,nan,0.6147811502218247,2.0224725890159605,1000.0,0.0,nan,0,126,0,31256,226.21001281738282,233.10691398620605,226.21001281738282,233.10691398620605,1.0026683330535888,1.033171421289444,0.9973316669464112,0.966828578710556,1285.7907020759217,1274.4211039612103,1.0026683330535888,1.033171421289444,0.33798432342882373,2.1134521624819462,1.0481714590500726,1.037338606291895,0.9696015867319974,1.0303984132680026,102.29116610717773,561.2000696675209
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.2251567522767868,0.7506386484702429,1.3001295510927837,nan,0.5992527476378849,2.473211045265198,1000.0,0.0,nan,0,1,0,31207,225.74442836216517,232.60288269042968,225.74442836216517,232.60288269042968,1.0018152637141091,1.0305415725708007,0.9981847362858909,0.9694584274291992,1355.6327534225873,1292.8421949315114,1.0018152637141091,1.0305415725708007,0.42088892800557187,2.1990468691371623,1.132152104458208,1.0657475857182954,0.9713377186628146,1.0286622813371855,99.3619970703125,555.0945950684369
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.3201841573737396,0.7791143137216568,1.1461382587750752,nan,0.8402116696039835,2.8949379539489746,1000.0,0.0,nan,0,2,0,30864,228.6272735595703,232.6245573425293,228.6272735595703,232.6245573425293,1.0138546029726665,1.0309604892134667,0.9861453970273336,0.9690395107865334,1468.8397433085354,1335.058112226127,1.0138546029726665,1.0309604892134667,0.45378808981112123,2.284250687542404,1.1859731289036344,1.0967632410809844,0.9697761278973812,1.030223872102619,97.16511386108398,560.4623602700044
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.403999027901691,0.7993739805618922,1.0197232220570247,nan,0.7092175841331482,3.282584409713745,1000.0,0.0,nan,0,38,0,31134,231.16268615722657,233.50885223388673,231.16268615722657,233.50885223388673,1.0236584583918253,1.0350804442167283,0.9763415416081747,0.9649195557832718,1648.7728535906765,1392.371786498054,1.0236584583918253,1.0350804442167283,0.5243584344547803,2.36436013242633,1.2603591136434003,1.1186764772951876,0.9657164385152418,1.0342835614847583,100.33842147827148,606.4119002069418
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.475615143662807,0.8137346456448237,0.9188552079598109,nan,0.6560984452565511,3.638935767412186,1000.0,0.0,nan,0,94,0,30954,231.15822092692056,234.8904884338379,231.15822092692056,234.8904884338379,1.0242332617441814,1.0413011461496353,0.9757667382558187,0.9586988538503647,1842.0311891487966,1439.9569243206713,1.0242332617441814,1.0413011461496353,0.6139265196711009,2.4369948148265688,1.3431538377332881,1.1307598125720926,0.9601081287095307,1.0398918712904694,102.2778913269043,642.295892537625
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.503003654442978,0.8240129798650742,0.8392986625432968,nan,0.7690500902092975,3.9786870217323305,1000.0,0.0,nan,0,127,0,31787,235.87987551481828,235.82721961975096,235.87987551481828,235.82721961975096,1.0452390624129253,1.0458261054754256,0.9547609375870746,0.9541738945245742,2083.963407951338,1433.874203957033,1.0452390624129253,1.0458261054754256,0.6985577756354041,2.4868025798540896,1.4138556973228784,1.1317613085869607,0.954234441566895,1.0457655584331051,105.18136212158203,669.4119983485746
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.5302977017458836,0.8319236439466476,0.7757122796773911,nan,0.8134973678323958,4.299161348342896,1000.0,0.0,nan,0,38,0,31700,241.17144860161676,236.79635009765624,241.17144860161676,236.79635009765624,1.0698641770415835,1.049931249022484,0.9301358229584165,0.9500687509775162,2369.64741984965,1371.165171746892,1.0698641770415835,1.049931249022484,0.7507490124609478,2.5142490419094017,1.4561490242403292,1.1294549232647717,0.948422912884196,1.0515770871158039,103.4007121887207,633.7733758133442
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,2.5573960476478956,0.8380623131990432,0.7249186370770137,nan,0.8198571801185608,4.615934047698975,1000.0,0.0,nan,0,45,0,31989,231.56700535824424,236.9681101989746,231.56700535824424,236.9681101989746,1.0258987451854504,1.0507519400119782,0.9741012548145495,0.9492480599880219,2496.407444949857,1271.0288614890533,1.0258987451854504,1.0507519400119782,0.8344110693386859,2.5380151773963324,1.5158527125617445,1.1150064370093178,0.951404273237812,1.0485957267621882,103.58679028320313,603.2750275037159
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,2.58179767370528,0.8433279802401861,0.6834430952866872,nan,0.9414804842736986,4.921648561954498,1000.0,0.0,nan,0,4,0,31676,235.20899454752603,236.98359245300293,235.20899454752603,236.98359245300293,1.0426806741290622,1.0505087974667549,0.9573193258709378,0.949491202533245,2781.989294215625,1158.376981346045,1.0426806741290622,1.0505087974667549,0.8869581690469022,2.5616010641893068,1.556815327103864,1.108003569383218,0.9501375613409445,1.0498624386590556,103.26096078491211,563.5024071301806
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,2.607822431500697,0.8475323136647542,0.6492030421892802,nan,0.9648496833714572,5.1968338632583615,1000.0,0.0,nan,0,11,0,30689,237.19028264825994,237.4743123626709,237.19028264825994,237.4743123626709,1.05254418741573,1.0530788055062295,0.9474558125842701,0.9469211944937705,3030.043583330334,1058.6188822639829,1.05254418741573,1.0530788055062295,0.9195424466732591,2.5848466514319615,1.58566412857674,1.1059545634116754,0.9469490655790573,1.0530509344209427,100.20791116333008,490.1085117388605
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,2.6351869379192108,0.850978978673617,0.6207054801781973,nan,0.9335680183242349,5.451076991558075,1000.0,0.0,nan,0,102,0,30874,242.37246434828813,238.42991149902343,242.37246434828813,238.42991149902343,1.0748909150852877,1.056515760421753,0.9251090849147123,0.9434842395782471,3333.9306196406387,972.2907669886615,1.0748909150852877,1.056515760421753,0.9592090238637963,2.6076141579587486,1.6185710775017774,1.1010189382357718,0.9420447113327167,1.0579552886672834,103.61262838745117,502.26994786324633
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,2.6595081620156837,0.8543149787187576,0.5961946169535319,nan,1.0075293845600553,5.679823381900787,1000.0,0.0,nan,0,3,0,30629,239.48351881239148,239.41692420959473,239.48351881239148,239.41692420959473,1.05927840868632,1.0615835994482041,0.94072159131368,0.938416400551796,3547.2945939484216,901.1426719898296,1.05927840868632,1.0615835994482041,0.9852659205861646,2.629553194302293,1.6429808300726159,1.0996265031294048,0.9385156671396283,1.0614843328603718,100.07747302246094,424.30837148700346
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,2.6859625645150493,0.8570276455084482,0.5754933834075928,nan,0.997493788599968,5.893159294128418,1000.0,0.0,nan,0,52,0,31198,244.42913722991943,240.61621131896973,244.42913722991943,240.61621131896973,1.0854592025279999,1.0666223761439324,0.9145407974720001,0.9333776238560677,3849.1851621379046,843.2640808399598,1.0854592025279999,1.0666223761439324,1.024685721208804,2.650874618880775,1.6751612802775924,1.092746254416587,0.9319823033831738,1.0680176966168262,104.06821691894531,460.4795575243969
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,2.7084213056822235,0.8594366463025411,0.5573352750142415,nan,1.083118503743952,6.07382405757904,1000.0,0.0,nan,0,5,0,30997,241.88701698996803,242.37787803649903,241.88701698996803,242.37787803649903,1.0710511641068892,1.0743913787603379,0.9289488358931108,0.9256086212396621,4052.7847635674507,798.7894887229564,1.0710511641068892,1.0743913787603379,1.0447012417056922,2.671262588948652,1.6953257806028759,1.0925069691521383,0.9257827556528752,1.074217244347125,102.2726655883789,408.6770602876665
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,2.7252498865507495,0.8614779800176621,0.5416874440511068,nan,0.8419133834540844,6.2319530844688416,1000.0,0.0,nan,0,74,0,30980,246.10225677490234,244.35456024169923,246.10225677490234,244.35456024169923,1.0901955589652061,1.0832294270396232,0.9098044410347939,0.9167705729603768,4350.18864495195,761.4334918833291,1.0901955589652061,1.0832294270396232,1.0961664614742237,2.690684757006666,1.7339737796872006,1.078111114640413,0.9162545631881114,1.0837454368118886,105.61709631347657,443.77943339179404
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,2.7469035928944256,0.8635333116849263,0.5278280985355377,nan,0.9008840024471283,6.396514501571655,1000.0,0.0,nan,0,98,0,30760,251.54100704193115,245.6464193725586,251.54100704193115,245.6464193725586,1.115773495286703,1.0890364709496498,0.8842265047132969,0.9109635290503502,4665.424810980858,729.5225975533016,1.115773495286703,1.0890364709496498,1.1412917857949367,2.709486157255544,1.7685695343791796,1.0649722646283122,0.908983008729087,1.0910169912709131,106.30787997436524,441.10263297270814
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,2.7673006666041187,0.8651589792966843,0.5157106366753578,nan,1.0342033126137473,6.523380241394043,1000.0,0.0,nan,0,17,0,31003,244.61122686212713,247.71848922729492,244.61122686212713,247.71848922729492,1.0841328393329273,1.0982967281341554,0.9158671606670726,0.9017032718658448,4787.039083768906,704.6718227044128,1.0841328393329273,1.0982967281341554,1.1735594076723954,2.727436265874223,1.7951101509531264,1.0564825840440648,0.9024416736516907,1.0975583263483093,104.46884268188477,387.1835889246811
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,2.790479430336052,0.8666909790039062,0.5048124804099401,nan,0.8779126683870951,6.655437908172607,1000.0,0.0,nan,0,52,0,30680,246.0399607340495,249.23785255432128,246.0399607340495,249.23785255432128,1.092022454738617,1.1050543215870858,0.9079775452613831,0.8949456784129143,5017.628460650259,681.5946671061643,1.092022454738617,1.1050543215870858,1.2063596844292506,2.7447242781159518,1.821705521903931,1.0471572484104017,0.8958548784255982,1.1041451215744018,107.07633984375,423.16672066197344
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,2.810512957075126,0.8680586453278859,0.49508553942044575,nan,1.0123210748036702,6.7598086047172545,1000.0,0.0,nan,0,24,0,30786,253.62120310465494,251.281608505249,253.62120310465494,251.281608505249,1.1245717753966649,1.113891212940216,0.875428224603335,0.8861087870597839,5340.946527043886,664.4895847548017,1.1245717753966649,1.113891212940216,1.226211119596356,2.761210025515055,1.840210681963836,1.0434243898726283,0.8855042269207397,1.1144957730792604,106.59955227661133,393.978550550974
