algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3736103228231271,6.201365800698598,nan,203.47300720214844,203.5543684387207,1000.0,nan,nan,0,0,0,30800,225.45499093191964,225.54495796203614,1288.099957924811,1288.9794921870032,0.04447437226608758,1.9060445256894676,1.0,1.0,1.0,1.0,1.0,1.0,225.45499093191964,225.54495796203614,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.9341558839577189,0.5265959876030684,11.473805949687957,nan,176.97018313407898,3.026783046089113,1000.0,0.0,nan,0,14173,0,16995,250.20562362670898,445.96122146606444,1136.7054002191578,445.9612311570135,0.13475804326195184,1.9094202221307,1.1107462155394434,1.9766816882048608,1.1107462155394434,1.9766816882048608,0.8780905994062778,0.003452330556465313,250.20562362670898,445.96122146606444,0.844622914809451,0.9490142790601748,0.06824035047126624,1.9125383198592742,186.39106854248047,214.75906526981845
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,1.9673373483603538,0.5994236519187689,14.853719329833984,nan,197.90010884602864,167.20969284057617,1000.0,nan,nan,0,0,0,31306,223.7521504720052,269.6085971832275,1150.0291169946981,269.6086021205473,0.2266387804130149,1.9284791526093006,0.9920309295337753,1.1953854527224024,0.9920309295337753,1.1953854527224024,0.9879287163416545,0.7804661592841149,223.7521504720052,269.6085971832275,0.9073749292915291,0.9635863380824359,0.7949402911718502,1.1811979278487774,114.55600338745117,142.34431435805988
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.0707160706787513,0.6303529827296734,18.439393902222317,nan,177.86148376464843,189.89747932434082,1000.0,nan,nan,0,0,0,31382,242.48156051635743,243.85860168457032,1167.632793615486,243.85860723993832,0.3470122918172483,1.976301913944988,1.0749274934975745,1.0808238438065318,1.0749274934975745,1.0808238438065318,0.8923360906541348,0.8862601697444916,242.48156051635743,243.85860168457032,0.9987281406683443,0.9870173354336199,0.8868125261908227,1.080287811960263,107.24270309448242,144.24875464059477
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.23349781606454,0.6569693188369274,16.880008129676185,nan,181.41282762799943,205.2225439453125,1000.0,nan,nan,0,0,0,31208,232.9409888131278,226.01397254943848,1239.0632722181758,226.0139769260271,0.43584943814724,2.119110126021369,1.0336450094344394,1.0013501349544747,1.0336450094344394,1.0013501349544747,0.9241711374904428,0.9577839908003807,232.9409888131278,226.01397254943848,1.1091537132968916,1.0416080463327155,0.9555850190885156,1.0034628837522295,96.92793670654297,125.09936239251977
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.412247286417652,0.6881263166417678,13.613417870601019,nan,125.16831970214844,203.6498738861084,1000.0,0.0,nan,0,4,0,30862,295.4934319390191,225.270662689209,946.846668987273,225.27066597715086,0.4709295927143299,2.270024406569275,1.3105862234095471,0.998367586788833,1.3105862234095471,0.998367586788833,0.6222185840209326,0.9504450124502182,295.4934319390191,225.270662689209,1.1905675182563078,1.0988719693025821,0.9363108600298183,1.0118124084614952,95.42714685058594,107.15150643263127
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.460704736155442,0.695648649384578,15.919551466902098,nan,148.12321065266926,201.60385025024414,1000.0,nan,nan,0,0,0,31172,263.51471659342445,225.0134365081787,1232.6977437866635,225.01344060273317,0.5499552161280642,2.4051266735795593,1.166779507955411,0.9974259382295811,1.166779507955411,0.9974259382295811,0.7610708766927322,0.9408966863155365,263.51471659342445,225.0134365081787,1.2920237991086618,1.144651653557566,0.9283506995976665,1.00924130355929,97.91081610107422,126.98630855469315
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.5039470665567625,0.6913303160667419,17.9310647102197,nan,147.67337036132812,198.83316436767578,1000.0,nan,nan,0,0,0,31048,258.6069039238824,225.474310836792,1413.6815598962523,225.47431541700854,0.6532541296660913,2.464714318902748,1.14561474253807,0.9995584322266847,1.14561474253807,0.9995584322266847,0.7713188160624769,0.9279654037952423,258.6069039238824,225.474310836792,1.377838205360754,1.1548540587499754,0.9150312818723534,1.0116181275734966,99.49957287597657,141.0822623230685
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.548310195549464,0.6867773169775804,19.00267266412576,nan,114.10763477242511,196.32595413208008,1000.0,0.0,nan,0,61,0,31853,292.97856869904894,225.5873365020752,1261.2565750781334,225.5873403391214,0.752065711490464,2.5031979805730034,1.298425849486986,1.0004132841956885,1.298425849486986,1.0004132841956885,0.5934320689158757,0.9162652269005775,292.97856869904894,225.5873365020752,1.4525186191234798,1.1549331936945608,0.8829685334761465,1.0311500061764052,103.71194876098633,148.25273858924268
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.582571944076628,0.6928823157896599,17.2972893345356,nan,92.19199582603243,193.82298210144043,1000.0,0.0,nan,0,19,0,31719,313.25400204128687,225.79145637512207,1195.6542469256565,225.79145975243932,0.8148544770615742,2.5397335417359534,1.3893843714403613,1.0011311230773774,1.3893843714403613,1.0011311230773774,0.4797713505880286,0.9045880705118179,313.25400204128687,225.79145637512207,1.504806102931326,1.1582687837570285,0.8695114606098536,1.033188730740376,101.59372662353516,133.36013679029938
