algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3755096560219924,2.099625094731649,nan,9.638195582798549,9.642049570083618,1000.0,nan,nan,0,0,0,30800,225.45499093191964,225.54495796203614,1.0,1.0,1288.099957924811,1288.9794921870032,1.0,1.0,225.45499093191964,225.54495796203614,1.0,1.0,0.04447437226608758,1.9060445256894676,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.9341558839577189,0.5358629874885082,1.9029880619049073,nan,9.109688252210617,5.751608688831329,1000.0,0.0,nan,0,501,0,30667,234.12512588500977,319.8375416564941,1.039226851555602,1.41764191984074,1242.4662450582746,1381.2071042265516,1.039226851555602,1.41764191984074,234.12512588500977,319.8375416564941,0.9503287449479103,0.5681105419993401,0.13479552317659857,1.9142901416025901,0.846593370546995,0.9512256464370084,0.5964230014770119,1.3896111740418409,135.42702069091797,592.2417615324855
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,2.00660313352559,0.6242759850124519,1.6992355426152548,nan,9.44267323811849,9.479448199272156,1000.0,nan,nan,0,0,0,31306,222.25862935384114,235.64104194641112,0.9854187137185472,1.0447945940785062,1188.581526770401,922.3660323281244,0.9854187137185472,1.0447945940785062,222.25862935384114,235.64104194641112,0.9946745077768961,0.9340991550683975,0.22679152620916787,1.983678694979054,0.9295463937171223,0.9871840169262184,0.9383253424666649,1.0406520907975791,100.92417565917968,404.60385873436184
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.0871102263529027,0.676107647716999,1.5072099634011586,nan,9.049393773078918,9.300193133354187,1000.0,nan,nan,0,0,0,31382,227.0577476501465,237.2746395111084,1.0064670049741076,1.0516454783952316,1255.0323095457175,749.9542329909726,1.0064670049741076,1.0516454783952316,227.0577476501465,237.2746395111084,0.9628815114498138,0.9163271486759186,0.3472125285356129,2.0468906238541944,1.0270837666630455,1.0152189043077728,0.9205593634735454,1.0475383444478565,103.99216571044921,350.18298557821777
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.2587602745589823,0.7209456500411033,1.3248786425590515,nan,9.082593304770333,9.654334802627563,1000.0,nan,nan,0,0,0,31208,221.14106641496932,227.43991218566896,0.9813579091774977,1.007665403607704,1301.8492922185812,651.9664352407265,0.9813579091774977,1.007665403607704,221.14106641496932,227.43991218566896,0.9785921147891453,0.9512109911441803,0.43608383077120644,2.17462491135278,1.131500263003836,1.0632697956362713,0.9530022796069351,1.0059443525702139,97.16791473388672,297.2383542784109
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.4329619412536108,0.754985314309597,1.1682122254371643,nan,8.322823259565565,9.766043124198914,1000.0,0.0,nan,0,2,0,30864,239.23016696506076,222.7435319519043,1.0608904086153923,0.9871680066519519,1356.8434563034918,576.258705693094,1.0608904086153923,0.9871680066519519,239.23016696506076,222.7435319519043,0.8847165770000882,0.9622188073396682,0.4713967636851505,2.357297019466361,1.2257568659976346,1.1334981141689027,0.9588813907221744,0.99034265554033,93.40355578613281,254.92666449070046
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.490900744175353,0.7739163134495417,1.0457308926184972,nan,8.585775216420492,9.749159679412841,1000.0,nan,nan,0,0,0,31172,228.12503560384116,220.83743194580077,1.0101729151203023,0.9789135784836277,1592.658920312268,527.5874057063902,1.0101729151203023,0.9789135784836277,228.12503560384116,220.83743194580077,0.9273614803949992,0.960553786456585,0.5505903842780311,2.4591955889943775,1.3140324661645695,1.1656985778638835,0.9582380441732185,0.9810944624350234,95.17872384643555,258.8147298919241
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.547105195675886,0.7864196465412776,0.950806988477707,nan,8.525551875432333,9.67817705154419,1000.0,nan,nan,0,0,0,31048,224.36127132839627,220.09189041137697,0.994053395897849,0.9756962078844207,1738.0120963159077,496.7010399486356,0.994053395897849,0.9756962078844207,224.36127132839627,220.09189041137697,0.9338696002960205,0.9535578346252441,0.6540588826107879,2.5075624232702793,1.3954602988745846,1.1712735981292668,0.9519322005980605,0.9772119390047955,96.11376193237305,261.2488514468269
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.599386684678579,0.7941019803285598,0.879742178718249,nan,7.947945988696555,9.576773562431335,1000.0,nan,nan,0,0,0,31914,236.46278381347656,219.9034987640381,1.047902458485141,0.9752098663011205,1912.7783908748977,472.5049721726172,1.047902458485141,0.9752098663011205,236.46278381347656,219.9034987640381,0.8648208185382511,0.9435677635669708,0.7533465813059217,2.55513748646085,1.4740629433678927,1.1743354950400235,0.9354458813442778,0.9827073085443153,98.83868756103516,276.98979484929214
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.656420141520469,0.8029566458861033,0.8166129221518834,nan,7.805580642488268,9.46688063621521,1000.0,nan,nan,0,0,0,31738,238.62731424967447,219.98653335571288,1.0585397718708212,0.9754004586101165,2204.2843106480855,457.28182420025377,1.0585397718708212,0.9754004586101165,238.62731424967447,219.98653335571288,0.8417730033397675,0.9327419018745422,0.8166090381267855,2.602941576295557,1.5311420533942939,1.1815464945859429,0.9252307084175425,0.9822651725490735,96.58519665527344,262.2669648634326
