algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3752599894007047,2.1006191317240397,nan,10.709105900355748,10.71338816165924,1000.0,nan,nan,0,0,0,30800,1.0,1.0,225.45499093191964,225.54495796203614,1.0,1.0,1.0,1.0,1288.099957924811,1288.9794921870032,225.45499093191964,225.54495796203614,0.04447437226608758,1.9060445256894676,0.7891024336354395,0.9388193239754351,1.0,1.0,93.37435305786133,533.6251962857486
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,1,1.9341558839577189,0.534311987310648,1.9087398453553517,nan,10.744246125221252,10.962452774047852,1000.0,nan,nan,0,0,0,31168,1.044139317534817,1.4605748647042192,235.22881698608398,329.5238946533203,1.044139317534817,1.4605748647042192,0.945366907864809,0.5247461138665677,1238.146078893501,1349.2262563466168,235.22881698608398,329.5238946533203,0.13478992148142666,1.9135266965151516,0.8462846314949166,0.9508790973258298,0.5559032097182892,1.429727787136115,139.3368800048828,579.3111770632388
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,2,1.9673373483603538,0.6210959847768148,1.7187986183166504,nan,11.513005956013997,26.517161293029787,1000.0,0.0,nan,0,3,0,31303,0.9906067414575336,1.109864128400458,223.4304646809896,250.31636390686035,0.9906067414575336,1.109864128400458,0.9893816749254862,0.8677151289582252,1175.88938891812,736.8889660759414,223.4304646809896,250.31636390686035,0.226682282427393,1.9459680755094377,0.9143965996602109,0.9710364566247518,0.8762034926303598,1.1015438455904867,106.82945950317382,330.0322680979201
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,3,2.027817992769656,0.670431981831789,1.523489051659902,nan,10.5500009059906,35.495697784423825,1000.0,0.0,nan,0,122,0,31260,1.011180948392059,1.0742019582909632,228.11969223022462,242.36318855285646,1.011180948392059,1.0742019582909632,0.9580240070819854,0.8930837216973305,1254.002837247057,355.741598984512,228.11969223022462,242.36318855285646,0.34709479426885775,1.993326389767556,1.005587432468337,0.993718004165258,0.8989873840050264,1.068472775572881,106.07006311035157,192.45675308368706
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,4,2.2111781630440634,0.713438650816679,1.3399283838272096,nan,10.453612327575684,46.68399465560913,1000.0,nan,nan,0,0,0,31208,0.9863176194278293,0.9962204658920575,222.26035526820593,224.85673545837403,0.9863176194278293,0.9962204658920575,0.9734299949237278,0.9631230056285858,1301.813282274335,229.0060528636977,222.26035526820593,224.85673545837403,0.43595643513449467,2.1488416410495126,1.1211105175005018,1.053072828731009,0.9637972946478942,0.9955726161233697,96.16598413085937,128.05319304916046
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,5,2.423557356906208,0.746787647853295,1.1977431201934814,nan,12.55431736840142,54.82607425689697,1000.0,0.0,nan,0,2,0,30864,1.090425219110716,0.9836599597132181,245.89277140299478,221.95194122314453,1.090425219110716,0.9836599597132181,0.8536674843894111,0.9659067156910897,1331.0425083040454,221.95194539202305,245.89277140299478,221.95194122314453,0.4711511767685918,2.3434132338663143,1.220055999607681,1.1277981689311662,0.9610734473575245,0.9882575067686127,93.20684637451171,112.73954330628204
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,6,2.472204321515456,0.7620386470357577,1.083892314831416,nan,11.526521301269531,62.03684144973755,1000.0,0.0,nan,0,35,0,31137,1.0225794417137508,0.979643751509563,230.92834981282553,221.00168899536132,1.0225794417137508,0.979643751509563,0.914187777042389,0.9597784620523453,1601.1682941415716,221.0016924771678,230.92834981282553,221.00168899536132,0.550296775150295,2.453302826385821,1.3114991956445052,1.1632561139503472,0.9565977165865344,0.9826392647796226,95.3285260925293,136.43572581511427
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,7,2.5250805408313948,0.7732239804665247,0.9871550303697586,nan,10.69856670167711,68.58378952026368,1000.0,0.0,nan,0,87,0,30961,1.004818338705319,0.9780897818355431,226.796991136339,220.63127365112305,1.004818338705319,0.9780897818355431,0.9223241110642751,0.9509907069802285,1744.8676029861062,220.63127785320873,226.796991136339,220.63127365112305,0.6537217932930652,2.4994145168849093,1.3919988827298029,1.168059961525453,0.9486237403449662,0.9802967268981851,96.41720114135742,151.0677448487833
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,8,2.5806356856370454,0.7763876481850942,0.9392115209499995,nan,11.137883849765943,74.66038131713867,1000.0,0.0,nan,0,98,0,31816,1.0805578478745799,0.9763109510472517,243.82031648055366,220.1521778869629,1.0805578478745799,0.9763109510472517,0.829445657522782,0.9423749727010727,1882.2271052150768,220.1521820967465,243.82031648055366,220.1521778869629,0.7527790203337762,2.5456343898432863,1.4699211681375801,1.1706523116760186,0.9307275545436705,0.9870628731415501,99.27660571289063,174.64331967859215
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,9,2.6381111844439675,0.7803899796803793,0.892905107140541,nan,12.0886599222819,80.28223808288574,1000.0,0.0,nan,0,36,0,31702,1.0875361871060796,0.9744711931676556,245.1639641655816,219.7777133178711,1.0875361871060796,0.9744711931676556,0.8100458714697096,0.9337586802244187,2206.8582594619525,219.7777178206439,245.1639641655816,219.7777133178711,0.8157862045672197,2.5929830558355196,1.5266649450745395,1.1776641543733386,0.9235438611529289,0.9838068348689933,96.73698803710937,167.35798446888785
