algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.3798339896649122,2.0957252049446105,nan,0.5635410398244858,0.5640534126758575,1000.0,nan,nan,0,0,0,10662,0.05718133577068404,1.906044525689468,1.0,1.0,1.0,1.0,1294.534361076787,1288.5584086082727,225.4163589477539,225.6212565612793,1.0,1.0,225.4163589477539,225.6212565612793,0.4269539737544407,0.7946720006967081,1.0,1.0,50.53424392700195,288.7805063874975
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,1,1.9699631891013898,0.5536984871327877,1.8906422755122185,nan,0.6073581984168605,1.021136149764061,1000.0,0.0,nan,0,17,0,10947,0.13965558638679934,1.9606362054919617,0.9924807234814292,0.9283825713396072,0.997494292216293,1.060954657087933,1244.2828463261876,1331.7635625605535,225.09765705309417,239.22792449951172,0.997494292216293,1.060954657087933,225.09765705309417,239.22792449951172,0.5038517102078318,0.8545087704681282,0.9386167300849402,1.0508223299235535,56.399295867919925,313.63546067250587
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,2,2.086300873063258,0.6499294836819172,1.6801767992973327,nan,0.6029890269041062,1.5504379045963288,1000.0,0.0,nan,0,17,0,11041,0.2333765270236673,2.0699600706971957,0.9981778055429459,0.9636244940757751,0.9819847858960667,1.0158538959545422,1220.1824246625918,1248.7135222530228,221.61958389282228,229.16071823120117,0.9819847858960667,1.0158538959545422,221.61958389282228,229.16071823120117,0.600693235758373,0.9269900228769434,0.9693833793203036,1.01020904427813,54.69692700195313,298.5500014371082
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,3,2.236377105734189,0.7085197320580483,1.480445338487625,nan,0.5845906888997113,2.0235077643394472,1000.0,0.0,nan,0,128,0,11472,0.3595034419499736,2.2083560598427825,0.9979717797703214,0.966996431350708,0.9724138108114523,1.0024736993353753,1250.1048052959052,1233.9858617800146,219.29140670211225,226.08474548339845,0.9724138108114523,1.0024736993353753,219.29140670211225,226.08474548339845,0.7292739655285353,1.0051914408769662,0.9735817416446415,0.9960830143735967,57.05868505859375,314.3028318419818
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,4,2.4208432797143393,0.7501762318611145,1.300214823782444,nan,0.5699642300605774,2.473821272850037,1000.0,0.0,nan,0,22,0,10894,0.44713202632799187,2.380503702040241,0.9988602797190348,0.9693686896562577,0.9618844703618622,0.9902196786379881,1299.9495724085891,1238.4008864738921,216.95216623942056,223.28695083618163,0.9618844703618622,0.9902196786379881,216.95216623942056,223.28695083618163,0.8338063614704417,1.072208617740421,0.9738674067844779,0.9858973587314604,52.46766815185547,294.47836190148763
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,5,2.465465962468986,0.778929480612278,1.1461241123080255,nan,0.6971211930116018,2.8971604609489443,1000.0,0.0,nan,0,53,0,11527,0.5175033724084149,2.4582429380989654,0.9873733487394121,0.969453222155571,0.9632402667126941,0.9802864184100214,1401.3311998270806,1268.176690748458,217.24144999186197,221.28583465576173,0.9632402667126941,0.9802864184100214,217.24144999186197,221.28583465576173,0.905651285546525,1.1053268108826533,0.9721868007870044,0.9776861579816154,52.07785913085937,304.08326134346646
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,6,2.5159846403430586,0.7994274801015854,1.019793248474598,nan,0.6806386543644799,3.2847069001197813,1000.0,0.0,nan,0,44,0,10804,0.5893146882175136,2.50506229076991,0.9769518905215793,0.9652162891626358,0.9634704256571922,0.9745225987973285,1550.4044312693968,1310.7843526951785,217.30360582139758,219.8262454223633,0.9634704256571922,0.9745225987973285,217.30360582139758,219.8262454223633,0.972464208727993,1.1267323844690604,0.9670064656411187,0.9728366740810362,51.78817889404297,317.971430064734
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,7,2.5709809579234584,0.8137452286481858,0.9189458262920379,nan,0.6479805274443193,3.641025197505951,1000.0,0.0,nan,0,50,0,11000,0.6802836804766129,2.5542072260157624,0.977551671591672,0.9589248698949814,0.9533245025810924,0.9706920173677004,1705.969843376375,1343.3443459521357,215.23241979425603,219.02099685668946,0.9533245025810924,0.9706920173677004,215.23241979425603,219.02099685668946,1.0550683895844428,1.147654974907246,0.962283801348483,0.9675601704389677,53.274425842285154,343.73154229898756
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,8,2.632553607384679,0.8240054784715176,0.8393361888825893,nan,0.7057170779616745,3.9779592967033386,1000.0,0.0,nan,0,98,0,11612,0.7754487929936679,2.6064254943622807,0.9532930895134255,0.9536757498979569,0.9662322589460098,0.9658790188899345,1923.830909359053,1326.7657210654943,217.8870244909216,218.04608810424804,0.9662322589460098,0.9658790188899345,217.8870244909216,218.04608810424804,1.1416441332673903,1.166766970750859,0.9535943969028202,0.9659541171695726,55.37511694335937,369.24001331848774
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,9,2.694547763770915,0.8320009781420231,0.7756520846486091,nan,0.7038922508557638,4.296435146331787,1000.0,0.0,nan,0,78,0,11658,0.8600182642051573,2.6629040090205844,0.9447452823321024,0.94914606153965,0.9644301948812769,0.960408185524006,2127.258239716188,1258.205316201089,217.6376756032308,216.7062368774414,0.9644301948812769,0.960408185524006,217.6376756032308,216.7062368774414,1.2205954131682424,1.1819649367029907,0.9482942978220601,0.9611866389479937,53.78785580444336,353.7494587465948
