algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,0,1.9060445256894678,0.3804239901304245,2.0956626520156862,nan,0.5643468648195267,0.0,1000.0,0.0,nan,0,1,0,115,225.73837089538574,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.06099342482206297,0.0,1293.8435728713762,0.0,225.73837089538574,0.0,0.06099342482206297,0.3354638365213463,1.0,1.0,7.223627868652343,41.40299433188404
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,1,1.9666856178034735,0.5545437873005867,1.8905339434146882,nan,0.5983719602227211,0.0,1000.0,0.0,nan,0,4,0,206,224.88071823120117,0.0,0.9946254715323448,0.0,0.997363618604175,0.0,0.997363618604175,0.0,0.14606407584321043,0.0,1257.6783766041412,0.0,224.88071823120117,0.0,0.14606407584321043,0.5093143764749666,0.9946254715323448,0.997363618604175,10.794274475097657,60.36856207699878
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,2,2.0493162809615133,0.6506533827781678,1.6799695372581482,nan,0.5911811590194702,0.0,1000.0,0.0,nan,0,10,0,262,222.45935962818288,0.0,0.9981787072287666,0.0,0.9859197040292753,0.0,0.9859197040292753,0.0,0.24780793399964307,0.0,1233.5263906910254,0.0,222.45935962818288,0.0,0.24780793399964307,0.6468523069612638,0.9981787072287666,0.9859197040292753,12.012805419921875,66.61042509731537
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,3,2.092278473261176,0.7090309826135636,1.4801165301799775,nan,0.5866396086556571,0.0,1000.0,0.0,nan,0,19,0,289,220.7394757952009,0.0,0.9980944991111755,0.0,0.9781460230455997,0.0,0.9781460230455997,0.0,0.35143012762077636,0.0,1251.65960472711,0.0,220.7394757952009,0.0,0.35143012762077636,0.7502359327290171,0.9980944991111755,0.9781460230455997,12.36141064453125,70.09293786471817
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,4,2.1595878985756296,0.7502705813646317,1.299939909696579,nan,0.5652245810398688,0.0,1000.0,0.0,nan,0,8,0,236,218.4965538611779,0.0,0.9992109078627366,0.0,0.969270823008004,0.0,0.969270823008004,0.0,0.45249636291251083,0.0,1307.4170378377603,0.0,218.4965538611779,0.0,0.45249636291251083,0.8282086001652424,0.9992109078627366,0.969270823008004,11.36182080078125,67.98568596756354
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,5,2.2345316148955927,0.779000981092453,1.1458396031856537,nan,0.7108325481414794,0.0,1000.0,0.0,nan,0,30,0,148,219.813712310791,0.0,0.9862336605787277,0.0,0.9740159926840677,0.0,0.9740159926840677,0.0,0.5116030512679206,0.0,1425.4341780422803,0.0,219.813712310791,0.0,0.5116030512679206,0.8681869419670031,0.9862336605787277,0.9740159926840677,8.79254849243164,57.01736712169121
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,6,2.2345316148955927,0.7993275805711746,1.0195302242040634,nan,0.6586709347638217,0.0,1000.0,0.0,nan,0,24,0,158,219.0973725752397,0.0,0.9810364490205591,0.0,0.9712085882389765,0.0,0.9712085882389765,0.0,0.5837735867470037,0.0,1555.9092502308233,0.0,219.0973725752397,0.0,0.5837735867470037,0.9098440525020535,0.9810364490205591,0.9712085882389765,9.640284393310546,68.46000701015623
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,7,2.3440811993983384,0.8134711798429489,0.9187643021345139,nan,0.6411848109343956,0.0,1000.0,0.0,nan,0,46,0,274,217.0178417337352,0.0,0.9813955898942619,0.0,0.9631303337455264,0.0,0.9631303337455264,0.0,0.6798048684293381,0.0,1727.5574249373078,0.0,217.0178417337352,0.0,0.6798048684293381,0.9571238973445366,0.9813955898942619,0.9631303337455264,12.58703482055664,100.19833064636386
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,8,2.377343331005127,0.823720779299736,0.8391374796628952,nan,0.7342288843516646,0.0,1000.0,0.0,nan,0,66,0,264,221.57488329657193,0.0,0.9524908620735695,0.0,0.9825688084291164,0.0,0.9825688084291164,0.0,0.7536561813740975,0.0,1966.1837176585461,0.0,221.57488329657193,0.0,0.7536561813740975,0.9901041022269127,0.9524908620735695,0.9825688084291164,12.851343231201172,114.03865562419568
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,9,2.4256481651040227,0.8318547790050507,0.7755013508796692,nan,0.7165227245401453,0.0,1000.0,0.0,nan,0,26,0,228,223.6057665789569,0.0,0.9353516653732017,0.0,0.9906881685441831,0.0,0.9906881685441831,0.0,0.822295972579444,0.0,2188.809995028037,0.0,223.6057665789569,0.0,0.822295972579444,1.0142481589810115,0.9353516653732017,0.9906881685441831,12.074711395263671,118.195739731514
